dataset,fold,seed,method,subject_id,BA,macro_F1,NLL,trials,inference_random_effect,backbone
WBCIC,0,0,ERM,1,0.925,0.924969987995198,0.3438564405886107,400,False,EEGNeX
WBCIC,0,0,ERM,3,0.915,0.9149659863945578,0.3825406097152168,400,False,EEGNeX
WBCIC,0,0,ERM,5,0.87,0.8697916666666667,0.3698593533481334,400,False,EEGNeX
WBCIC,0,0,ERM,16,0.5025,0.5005490196078431,0.7250514424937227,400,False,EEGNeX
WBCIC,0,0,ERM,19,0.8,0.7999949998749969,0.42504586950852724,400,False,EEGNeX
WBCIC,0,0,ERM,21,0.8574999999999999,0.8574991093694335,0.39739291815298583,400,False,EEGNeX
WBCIC,0,0,ERM,28,0.72,0.7171717171717171,0.5338088033868124,400,False,EEGNeX
WBCIC,0,0,ERM,33,0.96,0.9599909979745442,0.3024263470126359,400,False,EEGNeX
WBCIC,0,0,ERM,37,0.8400000000000001,0.839421918908069,0.4688995094787164,400,False,EEGNeX
WBCIC,0,0,SubjectBalancedERM,1,0.925,0.924969987995198,0.34386824524481596,400,False,EEGNeX
WBCIC,0,0,SubjectBalancedERM,3,0.915,0.9149659863945578,0.38253038106433557,400,False,EEGNeX
WBCIC,0,0,SubjectBalancedERM,5,0.87,0.8697916666666667,0.36983910060238157,400,False,EEGNeX
WBCIC,0,0,SubjectBalancedERM,16,0.5,0.49787853681805627,0.7250669974425229,400,False,EEGNeX
WBCIC,0,0,SubjectBalancedERM,19,0.8,0.7999949998749969,0.4250449285491625,400,False,EEGNeX
WBCIC,0,0,SubjectBalancedERM,21,0.8574999999999999,0.8574991093694335,0.3973887011266291,400,False,EEGNeX
WBCIC,0,0,SubjectBalancedERM,28,0.72,0.7171717171717171,0.533774191778359,400,False,EEGNeX
WBCIC,0,0,SubjectBalancedERM,33,0.96,0.9599909979745442,0.3024208004739596,400,False,EEGNeX
WBCIC,0,0,SubjectBalancedERM,37,0.8400000000000001,0.839421918908069,0.4688848677827031,400,False,EEGNeX
WBCIC,0,0,Mixup,1,0.925,0.924969987995198,0.3493991081303355,400,False,EEGNeX
WBCIC,0,0,Mixup,3,0.9125000000000001,0.9124556806883485,0.38805015421140054,400,False,EEGNeX
WBCIC,0,0,Mixup,5,0.8725,0.8723204506337037,0.37483859308772893,400,False,EEGNeX
WBCIC,0,0,Mixup,16,0.5075,0.5052457760672062,0.7229804595600906,400,False,EEGNeX
WBCIC,0,0,Mixup,19,0.8049999999999999,0.804980498049805,0.4291924927545282,400,False,EEGNeX
WBCIC,0,0,Mixup,21,0.8574999999999999,0.8574991093694335,0.4022489066044363,400,False,EEGNeX
WBCIC,0,0,Mixup,28,0.72,0.7168785864152278,0.5351783081678085,400,False,EEGNeX
WBCIC,0,0,Mixup,33,0.96,0.9599909979745442,0.30877256184709734,400,False,EEGNeX
WBCIC,0,0,Mixup,37,0.835,0.8344038538739462,0.4715534963680455,400,False,EEGNeX
WBCIC,0,0,GroupDRO,1,0.9225,0.9224607457525372,0.3453995221946626,400,False,EEGNeX
WBCIC,0,0,GroupDRO,3,0.9175,0.917474726635032,0.38645335175006595,400,False,EEGNeX
WBCIC,0,0,GroupDRO,5,0.8725,0.8723204506337037,0.37532312428042347,400,False,EEGNeX
WBCIC,0,0,GroupDRO,16,0.5275,0.5250032985882043,0.7209707886967897,400,False,EEGNeX
WBCIC,0,0,GroupDRO,19,0.795,0.7949538646195394,0.4282300099273181,400,False,EEGNeX
WBCIC,0,0,GroupDRO,21,0.8574999999999999,0.8574991093694335,0.4007794870774098,400,False,EEGNeX
WBCIC,0,0,GroupDRO,28,0.7175,0.7141971912918667,0.5346833738200314,400,False,EEGNeX
WBCIC,0,0,GroupDRO,33,0.9550000000000001,0.9549819927971188,0.30716464957740597,400,False,EEGNeX
WBCIC,0,0,GroupDRO,37,0.825,0.8240100565681961,0.4775014169570512,400,False,EEGNeX
WBCIC,0,0,ProspectiveOnly,1,0.9199999999999999,0.9199679871948779,0.3416666616453008,400,False,EEGNeX
WBCIC,0,0,ProspectiveOnly,3,0.915,0.9149468417761101,0.3810083874300787,400,False,EEGNeX
WBCIC,0,0,ProspectiveOnly,5,0.8674999999999999,0.867260238806344,0.3681898700989051,400,False,EEGNeX
WBCIC,0,0,ProspectiveOnly,16,0.505,0.5028997514498756,0.7257492801133865,400,False,EEGNeX
WBCIC,0,0,ProspectiveOnly,19,0.8,0.7999949998749969,0.4235133398494628,400,False,EEGNeX
WBCIC,0,0,ProspectiveOnly,21,0.86,0.8599964999124978,0.3954825799130056,400,False,EEGNeX
WBCIC,0,0,ProspectiveOnly,28,0.7224999999999999,0.719836697606623,0.5330018763682725,400,False,EEGNeX
WBCIC,0,0,ProspectiveOnly,33,0.96,0.9599909979745442,0.3001757601639302,400,False,EEGNeX
WBCIC,0,0,ProspectiveOnly,37,0.8400000000000001,0.839421918908069,0.46787927137344176,400,False,EEGNeX
WBCIC,0,0,RandomEffectOnly,1,0.9199999999999999,0.9199679871948779,0.34428152370443293,400,False,EEGNeX
WBCIC,0,0,RandomEffectOnly,3,0.9175,0.9174582132204429,0.3833107845088805,400,False,EEGNeX
WBCIC,0,0,RandomEffectOnly,5,0.87,0.8697916666666667,0.3703197231601277,400,False,EEGNeX
WBCIC,0,0,RandomEffectOnly,16,0.505,0.5028997514498756,0.7243491118047509,400,False,EEGNeX
WBCIC,0,0,RandomEffectOnly,19,0.8,0.7999949998749969,0.4253745173203338,400,False,EEGNeX
WBCIC,0,0,RandomEffectOnly,21,0.8574999999999999,0.8574991093694335,0.3976167492667529,400,False,EEGNeX
WBCIC,0,0,RandomEffectOnly,28,0.725,0.7222222222222222,0.5342580509915539,400,False,EEGNeX
WBCIC,0,0,RandomEffectOnly,33,0.96,0.9599909979745442,0.30318759932148115,400,False,EEGNeX
WBCIC,0,0,RandomEffectOnly,37,0.8400000000000001,0.839421918908069,0.46934041081804123,400,False,EEGNeX
WBCIC,0,0,AdversarialMixed,1,0.9225,0.922476258354121,0.3403972189430489,400,False,EEGNeX
WBCIC,0,0,AdversarialMixed,3,0.9175,0.917474726635032,0.37938915163213877,400,False,EEGNeX
WBCIC,0,0,AdversarialMixed,5,0.8674999999999999,0.867260238806344,0.36699214861285134,400,False,EEGNeX
WBCIC,0,0,AdversarialMixed,16,0.49749999999999994,0.4952000050228855,0.7262421889476002,400,False,EEGNeX
WBCIC,0,0,AdversarialMixed,19,0.8,0.7999949998749969,0.42270912258362386,400,False,EEGNeX
WBCIC,0,0,AdversarialMixed,21,0.8574999999999999,0.8574991093694335,0.39441066043134115,400,False,EEGNeX
WBCIC,0,0,AdversarialMixed,28,0.725,0.7222222222222222,0.5329298572055625,400,False,EEGNeX
WBCIC,0,0,AdversarialMixed,33,0.96,0.9599909979745442,0.2987734009062189,400,False,EEGNeX
WBCIC,0,0,AdversarialMixed,37,0.8400000000000001,0.839421918908069,0.46709789315666767,400,False,EEGNeX
WBCIC,0,0,PERSIST-RE,1,0.9225,0.9224607457525372,0.340463935303272,400,False,EEGNeX
WBCIC,0,0,PERSIST-RE,3,0.915,0.9149659863945578,0.3793583585869367,400,False,EEGNeX
WBCIC,0,0,PERSIST-RE,5,0.8674999999999999,0.867260238806344,0.36696405671558485,400,False,EEGNeX
WBCIC,0,0,PERSIST-RE,16,0.49750000000000005,0.4955294117647059,0.7263732561089623,400,False,EEGNeX
WBCIC,0,0,PERSIST-RE,19,0.8,0.7999949998749969,0.42277339937254366,400,False,EEGNeX
WBCIC,0,0,PERSIST-RE,21,0.8574999999999999,0.8574991093694335,0.39445777298669993,400,False,EEGNeX
WBCIC,0,0,PERSIST-RE,28,0.72,0.7171717171717171,0.5327896393979433,400,False,EEGNeX
WBCIC,0,0,PERSIST-RE,33,0.96,0.9599909979745442,0.29861695394174753,400,False,EEGNeX
WBCIC,0,0,PERSIST-RE,37,0.8400000000000001,0.839421918908069,0.467004925786812,400,False,EEGNeX
WBCIC,0,1,ERM,1,0.9225,0.9224607457525372,0.3309015609316641,400,False,EEGNeX
WBCIC,0,1,ERM,3,0.925,0.924969987995198,0.34868759799041354,400,False,EEGNeX
WBCIC,0,1,ERM,5,0.875,0.8747463613817982,0.3599085342815722,400,False,EEGNeX
WBCIC,0,1,ERM,16,0.51,0.5092147435897436,0.738651587762433,400,False,EEGNeX
WBCIC,0,1,ERM,19,0.805,0.805,0.4245326933742939,400,False,EEGNeX
WBCIC,0,1,ERM,21,0.86,0.8599124452782989,0.39623554270094813,400,False,EEGNeX
WBCIC,0,1,ERM,28,0.6975,0.6948893974065599,0.5357237390423932,400,False,EEGNeX
WBCIC,0,1,ERM,33,0.96,0.9599909979745442,0.28237340038625836,400,False,EEGNeX
WBCIC,0,1,ERM,37,0.8600000000000001,0.8593106220480353,0.4525001345958877,400,False,EEGNeX
WBCIC,0,1,SubjectBalancedERM,1,0.9225,0.9224607457525372,0.33091669203465957,400,False,EEGNeX
WBCIC,0,1,SubjectBalancedERM,3,0.925,0.924969987995198,0.34867061404543165,400,False,EEGNeX
WBCIC,0,1,SubjectBalancedERM,5,0.875,0.8747463613817982,0.3598898655631995,400,False,EEGNeX
WBCIC,0,1,SubjectBalancedERM,16,0.51,0.5092147435897436,0.7386676736470733,400,False,EEGNeX
