dataset,fold,seed,method,subject_id,BA,macro_F1,NLL,trials,inference_random_effect
OpenBMI,0,0,ERM,15,0.8400000000000001,0.838693416675068,0.44738274825329843,200,False
OpenBMI,0,0,ERM,19,0.71,0.7013695808876532,0.5686820335412522,200,False
OpenBMI,0,0,ERM,32,0.8300000000000001,0.8298468621759583,0.47301501848730143,200,False
OpenBMI,0,0,ERM,33,0.9450000000000001,0.9449656035021888,0.3648485802948127,200,False
OpenBMI,0,0,ERM,41,0.76,0.7593984962406015,0.5656354787288406,200,False
OpenBMI,0,0,ERM,46,0.6799999999999999,0.6715927750410509,0.5734699591602005,200,False
OpenBMI,0,0,ERM,47,0.9450000000000001,0.9449876222149984,0.39893401221866626,200,False
OpenBMI,0,0,ERM,49,0.725,0.7089254055198327,0.5430552785351979,200,False
OpenBMI,0,0,SubjectBalancedERM,15,0.8400000000000001,0.838693416675068,0.44738274825329843,200,False
OpenBMI,0,0,SubjectBalancedERM,19,0.71,0.7013695808876532,0.5686820335412522,200,False
OpenBMI,0,0,SubjectBalancedERM,32,0.8300000000000001,0.8298468621759583,0.47301501848730143,200,False
OpenBMI,0,0,SubjectBalancedERM,33,0.9450000000000001,0.9449656035021888,0.3648485802948127,200,False
OpenBMI,0,0,SubjectBalancedERM,41,0.76,0.7593984962406015,0.5656354787288406,200,False
OpenBMI,0,0,SubjectBalancedERM,46,0.6799999999999999,0.6715927750410509,0.5734699591602005,200,False
OpenBMI,0,0,SubjectBalancedERM,47,0.9450000000000001,0.9449876222149984,0.39893401221866626,200,False
OpenBMI,0,0,SubjectBalancedERM,49,0.725,0.7089254055198327,0.5430552785351979,200,False
OpenBMI,0,0,Mixup,15,0.8400000000000001,0.838693416675068,0.44863999924282966,200,False
OpenBMI,0,0,Mixup,19,0.71,0.7013695808876532,0.5687444481908441,200,False
OpenBMI,0,0,Mixup,32,0.8300000000000001,0.8298468621759583,0.47387821152549975,200,False
OpenBMI,0,0,Mixup,33,0.9450000000000001,0.9449656035021888,0.3665117190495677,200,False
OpenBMI,0,0,Mixup,41,0.76,0.7593984962406015,0.5660751148089067,200,False
OpenBMI,0,0,Mixup,46,0.6799999999999999,0.6715927750410509,0.5738619431917814,200,False
OpenBMI,0,0,Mixup,47,0.9450000000000001,0.9449876222149984,0.40066261482968757,200,False
OpenBMI,0,0,Mixup,49,0.725,0.7089254055198327,0.5435009983520436,200,False
OpenBMI,0,0,GroupDRO,15,0.8400000000000001,0.838693416675068,0.44746633906455313,200,False
OpenBMI,0,0,GroupDRO,19,0.71,0.7013695808876532,0.5687138585153394,200,False
OpenBMI,0,0,GroupDRO,32,0.8300000000000001,0.8298468621759583,0.47310239221428885,200,False
OpenBMI,0,0,GroupDRO,33,0.9450000000000001,0.9449656035021888,0.3649757140224476,200,False
