dataset,fold,seed,method,rank,lambda_R,lambda_P,center_e_norm,center_a_norm,center_e_mean_norm,center_a_mean_norm,random_effect_variance,random_effect_parameter_norm,subject_count,future_session_used
OpenBMI,0,0,ERM,1,0.001,0.5,0.09842298179864883,0.15254239737987518,2.3283064365386963e-10,4.197414082973694e-10,0.000681838602758944,0.21157005429267883,32,False
OpenBMI,0,0,SubjectBalancedERM,1,0.001,0.5,0.08488081395626068,0.17462778091430664,1.1641532182693481e-10,2.6031257704950406e-10,0.000716456794179976,0.22283010184764862,32,False
OpenBMI,0,0,Mixup,1,0.001,0.5,0.1307099461555481,0.15805061161518097,3.4924596548080444e-10,3.504565249112801e-10,0.0009476397535763681,0.24270617961883545,32,False
OpenBMI,0,0,GroupDRO,1,0.001,0.5,0.08790777623653412,0.1752113252878189,0.0,0.0,0.0007365690544247627,0.22626054286956787,32,False
OpenBMI,0,0,ProspectiveOnly,1,0.001,0.5,0.12256761640310287,0.16049741208553314,0.0,3.4924596548080444e-10,0.0008934867801144719,0.22982636094093323,32,False
OpenBMI,0,0,RandomEffectOnly,1,0.001,0.5,0.16186203062534332,0.19889456033706665,1.1641532182693481e-10,1.1943213085174875e-09,0.0014730605762451887,0.31981825828552246,32,False
OpenBMI,0,0,AdversarialMixed,1,0.001,0.5,0.074183389544487,0.184774249792099,2.3283064365386963e-10,5.936039992882058e-10,0.0007194507634267211,0.2534829378128052,32,False
OpenBMI,0,0,PERSIST-RE,1,0.001,0.5,0.12346355617046356,0.22151733934879303,0.0,9.946529155868689e-10,0.0012706054840236902,0.2985021770000458,32,False
OpenBMI,0,1,ERM,1,0.001,0.5,0.09541942924261093,0.1498401015996933,2.3283064365386963e-10,9.674561152195338e-10,0.0006500872550532222,0.20083825290203094,32,False
OpenBMI,0,1,SubjectBalancedERM,1,0.001,0.5,0.1087065190076828,0.1590278595685959,1.1641532182693481e-10,7.454217798574803e-10,0.0007826232467778027,0.22138412296772003,32,False
OpenBMI,0,1,Mixup,1,0.001,0.5,0.11345301568508148,0.1791744828224182,3.4924596548080444e-10,2.6031257704950406e-10,0.0009247917914763093,0.23926010727882385,32,False
OpenBMI,0,1,GroupDRO,1,0.001,0.5,0.12413309514522552,0.155347540974617,2.3283064365386963e-10,2.6031257704950406e-10,0.0008801264921203256,0.23689725995063782,32,False
OpenBMI,0,1,ProspectiveOnly,1,0.001,0.5,0.12114214897155762,0.17683078348636627,0.0,1.4725503039159094e-09,0.0009697360219433904,0.24045713245868683,32,False
OpenBMI,0,1,RandomEffectOnly,1,0.001,0.5,0.11256155371665955,0.21562033891677856,9.313225746154785e-10,5.732789798429394e-10,0.0011466832365840673,0.30634427070617676,32,False
OpenBMI,0,1,AdversarialMixed,1,0.001,0.5,0.10924741625785828,0.23864614963531494,2.3283064365386963e-10,9.599853134645286e-10,0.0012889998033642769,0.33012956380844116,32,False
OpenBMI,0,1,PERSIST-RE,1,0.001,0.5,0.1474618911743164,0.21055203676223755,2.3283064365386963e-10,5.820766091346741e-10,0.001405137125402689,0.32110726833343506,32,False
OpenBMI,0,2,ERM,1,0.001,0.5,0.10273592919111252,0.1704118400812149,2.3283064365386963e-10,7.809377033929366e-10,0.0008014286868274212,0.22239096462726593,32,False
OpenBMI,0,2,SubjectBalancedERM,1,0.001,0.5,0.09578540921211243,0.14929169416427612,2.3283064365386963e-10,3.29272248356105e-10,0.0006497406284324825,0.21966145932674408,32,False
OpenBMI,0,2,Mixup,1,0.001,0.5,0.09505751729011536,0.1437612771987915,2.9103830456733704e-11,1.646361241780525e-10,0.0006195340538397431,0.2191535383462906,32,False
OpenBMI,0,2,GroupDRO,1,0.001,0.5,0.12560652196407318,0.17823144793510437,8.149072527885437e-10,2.6031257704950406e-10,0.0010131648741662502,0.25658586621284485,32,False
OpenBMI,0,2,ProspectiveOnly,1,0.001,0.5,0.13006116449832916,0.14223015308380127,3.7834979593753815e-10,1.4551915228366852e-10,0.0008667762740515172,0.22516073286533356,32,False
OpenBMI,0,2,RandomEffectOnly,1,0.001,0.5,0.12311773002147675,0.18404854834079742,0.0,4.799926567322643e-10,0.0010266475146636367,0.3007824718952179,32,False
OpenBMI,0,2,AdversarialMixed,1,0.001,0.5,0.1319701075553894,0.19340592622756958,2.3283064365386963e-10,3.958549044114079e-10,0.0011555536184459925,0.3066534399986267,32,False
OpenBMI,0,2,PERSIST-RE,1,0.001,0.5,0.15266869962215424,0.19652368128299713,0.0,4.973264577934344e-10,0.0013649030588567257,0.31643977761268616,32,False
OpenBMI,1,0,ERM,1,0.001,0.5,0.10017421096563339,0.1443227380514145,0.0,1.1641532182693481e-10,0.0006543254712596536,0.22201432287693024,32,False
OpenBMI,1,0,SubjectBalancedERM,1,0.001,0.5,0.09912716597318649,0.15531416237354279,1.7462298274040222e-10,1.4551915228366852e-11,0.0006998705794103444,0.2228223979473114,32,False
OpenBMI,1,0,Mixup,1,0.001,0.5,0.11708322167396545,0.15523944795131683,2.3283064365386963e-10,4.656612873077393e-10,0.0008247373625636101,0.2312673181295395,32,False
