dataset,comparison,delta_BA,CI95_L,CI95_U,positive_fold_seed_units,fold_seed_units
OpenBMI,SubjectBalancedERM-ERM,0.0,0.0,0.0,0,15
OpenBMI,Mixup-ERM,-8.333333333334359e-05,-0.0004166666666666874,0.0002499999999999919,3,15
OpenBMI,GroupDRO-ERM,-0.0002916666666666762,-0.0008333333333333526,0.0002499999999999808,3,15
OpenBMI,ProspectiveOnly-ERM,-8.333333333334359e-05,-0.0005416666666666792,0.0003333333333333299,4,15
OpenBMI,RandomEffectOnly-ERM,-4.166666666667318e-05,-0.0005000000000000171,0.0003750000000000031,5,15
OpenBMI,AdversarialMixed-ERM,-0.00012500000000000843,-0.0005416666666666847,0.0002916666666666623,4,15
OpenBMI,PERSIST-RE-ERM,-2.7755575615628915e-18,-0.0004166666666666735,0.0003750000000000059,5,15
WBCIC,SubjectBalancedERM-ERM,-5.415722071342227e-18,-0.00010162601626016495,0.00010162601626015141,2,15
WBCIC,Mixup-ERM,0.00012195121951220335,-0.00022357723577234935,0.0005081300813008329,6,15
WBCIC,GroupDRO-ERM,0.00024410671242388685,-0.00024349389222537332,0.0008333333333333039,4,15
WBCIC,ProspectiveOnly-ERM,0.00028455284552846726,-4.065040650406327e-05,0.0007317073170731822,6,15
WBCIC,RandomEffectOnly-ERM,0.0003861788617886349,8.130081300814008e-05,0.0008130081300813141,8,15
WBCIC,AdversarialMixed-ERM,0.0002439024390244013,-4.0650406504038966e-05,0.0006097560975609681,6,15
WBCIC,PERSIST-RE-ERM,0.0002032520325203353,-6.0975609756090846e-05,0.0005284552845528578,6,15
