backbone,dataset,comparison,delta_BA,CI95_L,CI95_U,positive_fold_seed_units,fold_seed_units
ATCNet-Official,WBCIC,SubjectBalancedERM-ERM,0.0000203252032520,0.0000000000000000,0.0000609756097561,1,15
ATCNet-Official,WBCIC,Mixup-ERM,0.0000815050864068,-0.0003453241818850,0.0005287616946521,6,15
ATCNet-Official,WBCIC,GroupDRO-ERM,-0.0000405482698043,-0.0005697185112555,0.0004672805082322,7,15
ATCNet-Official,WBCIC,ProspectiveOnly-ERM,-0.0001827225558688,-0.0004471544715447,0.0000815050864070,4,15
ATCNet-Official,WBCIC,RandomEffectOnly-ERM,-0.0001220533562119,-0.0003864852718879,0.0001421742860645,3,15
ATCNet-Official,WBCIC,AdversarialMixed-ERM,-0.0000810965396086,-0.0003654451117375,0.0002034563059199,3,15
ATCNet-Official,WBCIC,PERSIST-RE-ERM,-0.0002641255055767,-0.0005891244842097,0.0000410589533031,3,15
