dataset,method,BA,CI95_L,CI95_U,subjects
OpenBMI,ERM,0.7673333333333334,0.7397083333333334,0.7945416666666667,40
OpenBMI,SubjectBalancedERM,0.7673333333333334,0.7407072916666666,0.7945,40
OpenBMI,Mixup,0.76725,0.740375,0.7935010416666668,40
OpenBMI,GroupDRO,0.7670416666666666,0.7402062500000001,0.7942083333333333,40
OpenBMI,ProspectiveOnly,0.76725,0.740540625,0.7938354166666667,40
OpenBMI,RandomEffectOnly,0.7672916666666667,0.7407916666666667,0.7944593750000001,40
OpenBMI,AdversarialMixed,0.7672083333333333,0.7403322916666666,0.7941677083333334,40
OpenBMI,PERSIST-RE,0.7673333333333334,0.7413333333333332,0.79454375,40
WBCIC,ERM,0.7857374269722597,0.7437912964211301,0.8263988642398988,41
WBCIC,SubjectBalancedERM,0.7857374269722597,0.7433238678146832,0.8248533342525638,41
WBCIC,Mixup,0.785859378191772,0.7434503947583446,0.826557615312334,41
WBCIC,GroupDRO,0.7859815336846836,0.7432556175184867,0.8258108504922989,41
WBCIC,ProspectiveOnly,0.7860219798177881,0.7445157392654329,0.8260273522081955,41
WBCIC,RandomEffectOnly,0.7861236058340485,0.7435304265228582,0.8262669776729173,41
WBCIC,AdversarialMixed,0.7859813294112841,0.7437125566858683,0.8267480287616946,41
WBCIC,PERSIST-RE,0.78594067900478,0.7442430547044165,0.8258195091310209,41
