dataset,center_e_mean_norm,center_a_mean_norm,random_effect_variance,population_nll,mixed_nll,mixed_minus_population_nll,source_only
OpenBMI,0.0,9.946529155868689e-10,0.0012706054840236902,0.45072975754737854,0.4502195715904236,-0.0005101859569549561,True
WBCIC,2.3283064365386963e-10,1.1641532182693481e-10,0.00176808494143188,0.48149630427360535,0.481205552816391,-0.00029075145721435547,True
