backbone,dataset,fold,seed,method,rank,lambda_R,lambda_P,center_e_norm,center_a_norm,center_e_mean_norm,center_a_mean_norm,random_effect_variance,random_effect_parameter_norm,future_session_used
EEGNeX,WBCIC,0,0,ERM,1,0.001,0.5,0.0959819033741951,0.15784130990505219,2.3283064365386963e-10,1.1641532182693481e-10,0.0006926367059350014,0.3819795548915863,False
EEGNeX,WBCIC,0,0,SubjectBalancedERM,1,0.001,0.5,0.0947783887386322,0.15590062737464905,1.7462298274040222e-10,5.206251540990081e-10,0.0006755660870112479,0.36012664437294006,False
EEGNeX,WBCIC,0,0,Mixup,1,0.001,0.5,0.11107407510280609,0.1780661791563034,2.3283064365386963e-10,9.599853134645286e-10,0.0009012768277898431,0.36679381132125854,False
EEGNeX,WBCIC,0,0,GroupDRO,1,0.001,0.5,0.09708890318870544,0.1815163493156433,0.0,5.820766091346741e-10,0.0008270597318187356,0.35819053649902344,False
EEGNeX,WBCIC,0,0,ProspectiveOnly,1,0.001,0.5,0.12263089418411255,0.16206052899360657,3.4924596548080444e-10,6.794357854111865e-10,0.0009019903372973204,0.3707391023635864,False
EEGNeX,WBCIC,0,0,RandomEffectOnly,1,0.001,0.5,0.15771962702274323,0.16818803548812866,3.4924596548080444e-10,3.540633897181067e-10,0.0012514381669461727,0.5310676693916321,False
EEGNeX,WBCIC,0,0,AdversarialMixed,1,0.001,0.5,0.16386468708515167,0.17199236154556274,2.3283064365386963e-10,3.4924596548080444e-10,0.001335727283731103,0.5474742650985718,False
EEGNeX,WBCIC,0,0,PERSIST-RE,1,0.001,0.5,0.15679901838302612,0.17965565621852875,9.313225746154785e-10,4.656612873077393e-10,0.0013054145965725183,0.5253821015357971,False
EEGNeX,WBCIC,0,1,ERM,1,0.001,0.5,0.11794237792491913,0.13205015659332275,3.4924596548080444e-10,6.507814426237601e-11,0.0007255043601617217,0.36691662669181824,False
EEGNeX,WBCIC,0,1,SubjectBalancedERM,1,0.001,0.5,0.10571616888046265,0.13415364921092987,1.7462298274040222e-10,2.3283064365386963e-10,0.0006461830344051123,0.3646053373813629,False
EEGNeX,WBCIC,0,1,Mixup,1,0.001,0.5,0.11231263726949692,0.14992335438728333,4.656612873077393e-10,3.4924596548080444e-10,0.0007636853842996061,0.362216591835022,False
EEGNeX,WBCIC,0,1,GroupDRO,1,0.001,0.5,0.09455543756484985,0.15438875555992126,1.1641532182693481e-10,5.342752906756232e-10,0.0006667581619694829,0.35949593782424927,False
EEGNeX,WBCIC,0,1,ProspectiveOnly,1,0.001,0.5,0.12431550770998001,0.1526905745267868,0.0,4.197414082973694e-10,0.000868597358930856,0.3807803988456726,False
EEGNeX,WBCIC,0,1,RandomEffectOnly,1,0.001,0.5,0.16202151775360107,0.17319880425930023,0.0,0.0,0.0013229616452008486,0.5768570899963379,False
EEGNeX,WBCIC,0,1,AdversarialMixed,1,0.001,0.5,0.1728256642818451,0.19771341979503632,3.4924596548080444e-10,5.820766091346741e-10,0.0015839925035834312,0.5672022104263306,False
EEGNeX,WBCIC,0,1,PERSIST-RE,1,0.001,0.5,0.1643320769071579,0.1946648806333542,2.3283064365386963e-10,4.656612873077393e-10,0.0014726289082318544,0.5615624189376831,False
EEGNeX,WBCIC,0,2,ERM,1,0.001,0.5,0.11656595766544342,0.16276130080223083,2.3283064365386963e-10,2.098707041486847e-10,0.0008588061900809407,0.3472106158733368,False
EEGNeX,WBCIC,0,2,SubjectBalancedERM,1,0.001,0.5,0.13594657182693481,0.15654900670051575,2.3283064365386963e-10,2.3283064365386963e-10,0.0009851858485490084,0.3775278925895691,False
EEGNeX,WBCIC,0,2,Mixup,1,0.001,0.5,0.10282986611127853,0.16385482251644135,4.656612873077393e-10,2.3999632836613216e-10,0.0007672612555325031,0.3701798617839813,False
EEGNeX,WBCIC,0,2,GroupDRO,1,0.001,0.5,0.12507539987564087,0.15132535994052887,2.3283064365386963e-10,2.3999632836613216e-10,0.0008681225590407848,0.3687628507614136,False
EEGNeX,WBCIC,0,2,ProspectiveOnly,1,0.001,0.5,0.07196015119552612,0.16774030029773712,1.4551915228366852e-10,2.4695417932818486e-10,0.0006136567099019885,0.3713509440422058,False
EEGNeX,WBCIC,0,2,RandomEffectOnly,1,0.001,0.5,0.21174287796020508,0.18971313536167145,4.656612873077393e-10,2.3283064365386963e-10,0.002017578575760126,0.5776965022087097,False
