dataset,method,fold,seed,identity_probe_accuracy,subjects,source_only
OpenBMI,ERM,0,0,0.20989583333333334,32,True
OpenBMI,PERSIST-RE,0,0,0.21875,32,True
WBCIC,ERM,0,0,0.26119791666666664,32,True
WBCIC,PERSIST-RE,0,0,0.2640625,32,True
