fold,seed,task,block,inner_split,utility_CE,BA_drop,random_draws,persistence_supported
1,1,mi,0,0,-0.0021814682933264384,-0.008196721311475419,100,True
1,1,mi,0,1,0.0036688451060032934,0.008163265306122436,100,True
1,1,mi,0,2,0.004466909306083844,0.010409498967851372,100,True
1,1,mi,0,3,-0.006521489153688775,-0.003593717411881636,100,True
1,1,mi,0,4,-0.0016301155956311986,0.012001728248867916,100,True
1,1,mi,1,0,0.005506265153802481,0.016873719262295084,100,True
1,1,mi,1,1,0.010813340412480499,0.026530612244897944,100,True
1,1,mi,1,2,0.01160422903474101,0.016002304331823813,100,True
1,1,mi,1,3,-0.0019664839383604082,0.020519484686592593,100,True
1,1,mi,1,4,0.014687843296664393,0.02549967195276126,100,True
1,1,mi,2,0,0.04529372845122526,0.06394082991803274,100,True
1,1,mi,2,1,0.06658972818817832,0.08655462184873941,100,True
1,1,mi,2,2,0.049394013482534804,0.07986750092013262,100,True
1,1,mi,2,3,0.026573658294336888,0.06964431823651163,100,True
1,1,mi,2,4,0.06885362976816711,0.09991838824790777,100,True
1,1,mi,3,0,-0.013080161548577163,-0.004290471311475419,100,True
1,1,mi,3,1,-0.003912587289649716,0.014365746298519388,100,True
1,1,mi,3,2,0.0007027752834256606,0.003328479301019427,100,True
1,1,mi,3,3,-0.009824598243559413,-0.012265165006176582,100,True
1,1,mi,3,4,-0.009876500132656674,-0.0161943319838056,100,True
1,1,mi,4,0,0.027353025756482685,0.03701331967213106,100,True
1,1,mi,4,1,0.04519633597976258,0.06082432973189278,100,True
1,1,mi,4,2,0.035347221175063503,0.08241986846105842,100,True
1,1,mi,4,3,0.027061670760025525,0.06799987165294974,100,True
1,1,mi,4,4,0.04304440848606983,0.0939895344929671,100,True
1,1,mi,5,0,0.0038449461787587458,0.015913165983606592,100,False
1,1,mi,5,1,0.005238392690259941,0.01632653061224487,100,False
1,1,mi,5,2,0.0029879193475742527,0.017642540525835804,100,False
1,1,mi,5,3,0.014092181911370627,0.027658789366447056,100,False
1,1,mi,5,4,0.0066094374139540335,0.006072874493927127,100,False
1,1,erp,0,0,0.0004996302952947618,0.005494505494505475,100,True
1,1,erp,0,1,0.006410231510231901,-0.0068345225402554055,100,True
1,1,erp,0,2,0.0026231257793205565,0.0,100,True
1,1,erp,0,3,0.0004906891111173817,0.0,100,True
1,1,erp,0,4,-0.005285447444981495,0.015178571428571486,100,True
1,1,erp,1,0,-0.004812670881746972,0.00976651710148041,100,True
