model,fold,seed,checkpoint_sha256,selected_epoch,normalizer_sha256,subject,session,session_id,BA,Macro_F1,accuracy,trials
EEGNet,0,0,f8b4c783e2058c4e20ff5cb26771eabe77ad5a2a22d1e9c95fa5017e26f4f2e8,14,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-069,S1,1,0.875,0.87468671679198,0.875,160
EEGNet,0,0,f8b4c783e2058c4e20ff5cb26771eabe77ad5a2a22d1e9c95fa5017e26f4f2e8,14,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-084,S1,1,0.98125,0.9812492675495137,0.98125,160
EEGNet,0,0,f8b4c783e2058c4e20ff5cb26771eabe77ad5a2a22d1e9c95fa5017e26f4f2e8,14,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-006,S1,1,0.96875,0.9687487792491895,0.96875,160
EEGNet,0,0,f8b4c783e2058c4e20ff5cb26771eabe77ad5a2a22d1e9c95fa5017e26f4f2e8,14,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-014,S1,1,0.9,0.9,0.9,160
EEGNet,0,0,f8b4c783e2058c4e20ff5cb26771eabe77ad5a2a22d1e9c95fa5017e26f4f2e8,14,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-054,S1,1,0.9375,0.9374609130706691,0.9375,160
EEGNet,0,0,f8b4c783e2058c4e20ff5cb26771eabe77ad5a2a22d1e9c95fa5017e26f4f2e8,14,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-020,S1,1,0.89375,0.892807881773399,0.89375,160
EEGNet,0,0,f8b4c783e2058c4e20ff5cb26771eabe77ad5a2a22d1e9c95fa5017e26f4f2e8,14,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-021,S1,1,0.74375,0.7308717948717949,0.74375,160
EEGNet,0,0,f8b4c783e2058c4e20ff5cb26771eabe77ad5a2a22d1e9c95fa5017e26f4f2e8,14,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-094,S1,1,0.9875,0.9874980465697765,0.9875,160
EEGNet,0,0,f8b4c783e2058c4e20ff5cb26771eabe77ad5a2a22d1e9c95fa5017e26f4f2e8,14,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-091,S1,1,0.825,0.8227567653109669,0.825,160
EEGNet,0,0,f8b4c783e2058c4e20ff5cb26771eabe77ad5a2a22d1e9c95fa5017e26f4f2e8,14,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-026,S1,1,0.8687499999999999,0.8684982975226019,0.86875,160
EEGNet,0,0,f8b4c783e2058c4e20ff5cb26771eabe77ad5a2a22d1e9c95fa5017e26f4f2e8,14,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-017,S1,1,0.95625,0.9561660991742007,0.95625,160
EEGNet,0,0,f8b4c783e2058c4e20ff5cb26771eabe77ad5a2a22d1e9c95fa5017e26f4f2e8,14,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-036,S1,1,0.98125,0.9812434058848813,0.98125,160
EEGNet,0,0,f8b4c783e2058c4e20ff5cb26771eabe77ad5a2a22d1e9c95fa5017e26f4f2e8,14,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-012,S1,1,0.8374999999999999,0.837092731829574,0.8375,160
EEGNet,0,0,f8b4c783e2058c4e20ff5cb26771eabe77ad5a2a22d1e9c95fa5017e26f4f2e8,14,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-011,S1,1,0.875,0.87468671679198,0.875,160
EEGNet,0,0,f8b4c783e2058c4e20ff5cb26771eabe77ad5a2a22d1e9c95fa5017e26f4f2e8,14,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-087,S1,1,0.96875,0.9687487792491895,0.96875,160
EEGNet,0,0,f8b4c783e2058c4e20ff5cb26771eabe77ad5a2a22d1e9c95fa5017e26f4f2e8,14,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-009,S1,1,0.69375,0.6922956159974881,0.69375,160
EEGNet,0,0,f8b4c783e2058c4e20ff5cb26771eabe77ad5a2a22d1e9c95fa5017e26f4f2e8,14,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-059,S1,1,0.98125,0.9812492675495137,0.98125,160
EEGNet,0,0,f8b4c783e2058c4e20ff5cb26771eabe77ad5a2a22d1e9c95fa5017e26f4f2e8,14,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-010,S1,1,0.90625,0.9059524276029625,0.90625,160
EEGNet,0,0,f8b4c783e2058c4e20ff5cb26771eabe77ad5a2a22d1e9c95fa5017e26f4f2e8,14,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-028,S1,1,0.9375,0.93734335839599,0.9375,160
EEGNet,0,0,f8b4c783e2058c4e20ff5cb26771eabe77ad5a2a22d1e9c95fa5017e26f4f2e8,14,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-069,S2,2,0.9482631189948263,0.9455882352941176,0.9459459459459459,74
EEGNet,0,0,f8b4c783e2058c4e20ff5cb26771eabe77ad5a2a22d1e9c95fa5017e26f4f2e8,14,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-084,S2,2,0.8617635733538699,0.8622685185185185,0.8627450980392157,102
EEGNet,0,0,f8b4c783e2058c4e20ff5cb26771eabe77ad5a2a22d1e9c95fa5017e26f4f2e8,14,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-006,S2,2,0.92229524157235,0.91752016677241,0.9175824175824175,182
EEGNet,0,0,f8b4c783e2058c4e20ff5cb26771eabe77ad5a2a22d1e9c95fa5017e26f4f2e8,14,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-014,S2,2,0.85,0.849906191369606,0.85,80
EEGNet,0,0,f8b4c783e2058c4e20ff5cb26771eabe77ad5a2a22d1e9c95fa5017e26f4f2e8,14,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-054,S2,2,0.9315217391304347,0.9300813008130082,0.9302325581395349,43
EEGNet,0,0,f8b4c783e2058c4e20ff5cb26771eabe77ad5a2a22d1e9c95fa5017e26f4f2e8,14,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-020,S2,2,0.9396551724137931,0.939614783966684,0.9396551724137931,116
EEGNet,0,0,f8b4c783e2058c4e20ff5cb26771eabe77ad5a2a22d1e9c95fa5017e26f4f2e8,14,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-021,S2,2,0.7516129032258064,0.7546343107516009,0.7678571428571429,56
EEGNet,0,0,f8b4c783e2058c4e20ff5cb26771eabe77ad5a2a22d1e9c95fa5017e26f4f2e8,14,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-094,S2,2,0.948849104859335,0.9488942179589661,0.948905109489051,137
