seed,fold,model,outer_subjects,selected_epoch,inner_val_S2_BA,outer_S2_BA,checkpoint_sha256,parameter_count
0,0,EEGNet,19,14,0.9235293193180167,0.9115280572445601,f8b4c783e2058c4e20ff5cb26771eabe77ad5a2a22d1e9c95fa5017e26f4f2e8,34194
0,0,SIRE-EEG,19,31,0.9282004506126704,0.917724244051865,e50621c5ba773e2233340f93080c1c91336672eda5b922ed0148edcca13bf522,48074
0,1,EEGNet,19,25,0.9407544712145013,0.9160596226939367,00e8d743c5edcb5329f81b8a0c4e05e83b32229e937aa8a2cec67baa522b133d,34194
0,1,SIRE-EEG,19,22,0.9495928152198403,0.9056680850267899,fd1fdbe952b12043eacfa60ac3a60bac45c32d284a1f0a5bc31afd6326eb42af,48074
0,2,EEGNet,19,31,0.9193001211860962,0.9269027221317884,9fe48219bfd6ae934039d51d9cea9e6d1882979c8fd1ef0d8242125d27556c92,34194
0,2,SIRE-EEG,19,19,0.917616827926752,0.9082496276258313,dc0c4c9d4280586fa17c7e42d20ada52a75988853c593f41113e11af8e40c2e5,48074
0,3,EEGNet,18,24,0.9115697228632909,0.9219006625271319,49c10a31bdca970b44c3b34abe1f1358d1cf223ee7926b5e85af5300a740143e,34194
0,3,SIRE-EEG,18,24,0.9020476288045511,0.9252027162056543,dc96640e69f0766baad4ae17aefe6eed6902db62a9c7d907ddd0601724c00865,48074
0,4,EEGNet,18,10,0.9380431479872332,0.898423000617717,8196341de04facdf1d0168df7c658808edc10d5dc7494ddf1f8eb0a21dd2986e,34194
0,4,SIRE-EEG,18,26,0.9410342887971705,0.9236365136779933,183e5c44071b3b446060a6c3bc25a46de2782596965a853c4a80c66ba98262c0,48074
