row_type,model,metric,mean,ci95_low,ci95_high,improved,tied,harmed,future_S2_BA,future_S2_Macro_F1,WS_BA,subjects,bootstrap_resamples
model,EEGNet,,,,,,,,0.9150660599563729,0.9138883772410241,0.8812494390400862,93,
model,SIRE-EEG,,,,,,,,0.9159172399493647,0.914869889632633,0.8807795316991365,93,
paired_contrast,SIRE-EEG minus EEGNet,future S2 BA,0.0008511799929913391,-0.006126435105746657,0.0076826752546677625,40,12,41,,,,93,20000
paired_contrast,SIRE-EEG minus EEGNet,WS-BA,-0.0004699073409496681,-0.007908741044459138,0.006481389305569696,45,9,39,,,,93,20000
