seed,fold,role,subject
0,0,inner_train,sub-055
0,0,inner_train,sub-039
0,0,inner_train,sub-061
0,0,inner_train,sub-079
0,0,inner_train,sub-007
0,0,inner_train,sub-005
0,0,inner_train,sub-044
0,0,inner_train,sub-015
0,0,inner_train,sub-065
0,0,inner_train,sub-062
0,0,inner_train,sub-088
0,0,inner_train,sub-040
0,0,inner_train,sub-095
0,0,inner_train,sub-016
0,0,inner_train,sub-078
0,0,inner_train,sub-068
0,0,inner_train,sub-074
0,0,inner_train,sub-089
0,0,inner_train,sub-053
0,0,inner_train,sub-056
0,0,inner_train,sub-024
0,0,inner_train,sub-003
0,0,inner_train,sub-076
0,0,inner_train,sub-077
0,0,inner_train,sub-086
0,0,inner_train,sub-057
0,0,inner_train,sub-045
0,0,inner_train,sub-018
0,0,inner_train,sub-050
0,0,inner_train,sub-041
0,0,inner_train,sub-008
0,0,inner_train,sub-034
0,0,inner_train,sub-042
0,0,inner_train,sub-085
0,0,inner_train,sub-027
0,0,inner_train,sub-067
0,0,inner_train,sub-030
0,0,inner_train,sub-075
0,0,inner_train,sub-022
0,0,inner_train,sub-046
0,0,inner_train,sub-019
0,0,inner_train,sub-092
0,0,inner_train,sub-060
0,0,inner_train,sub-072
0,0,inner_train,sub-058
0,0,inner_train,sub-073
0,0,inner_train,sub-082
0,0,inner_train,sub-090
0,0,inner_train,sub-029
0,0,inner_train,sub-064
0,0,inner_train,sub-070
0,0,inner_train,sub-081
0,0,inner_train,sub-032
0,0,inner_train,sub-033
0,0,inner_train,sub-025
0,0,inner_train,sub-066
0,0,inner_train,sub-043
0,0,inner_train,sub-031
0,0,inner_train,sub-048
0,0,inner_train,sub-083
0,0,inner_train,sub-038
0,0,inner_train,sub-023
0,0,inner_train,sub-051
0,0,inner_train,sub-063
0,0,inner_val,sub-093
0,0,inner_val,sub-071
0,0,inner_val,sub-013
0,0,inner_val,sub-047
0,0,inner_val,sub-049
0,0,inner_val,sub-001
0,0,inner_val,sub-037
0,0,inner_val,sub-052
