dataset,role,fold,seed,subject,block,recipe,population_CE,adapter_CE,utility_CE,population_BA,adapter_BA,delta_BA,held_block_used_for_fit,future_labels_used_for_fit
OpenBMI,outcome,0,0,15,0,upda_r1_l20.001_one_se,0.38462965853365505,0.1735914356212767,0.21103822291237834,0.84,0.92,0.08000000000000007,False,False
OpenBMI,outcome,0,0,15,1,upda_r1_l20.001_one_se,0.6496090686925469,0.24090756803810406,0.4087015006544428,0.72,0.84,0.12,False,False
OpenBMI,outcome,0,0,15,2,upda_r1_l20.001_one_se,0.004544514831486039,0.005551488220865718,-0.001006973389379679,1.0,1.0,0.0,False,False
OpenBMI,outcome,0,0,15,3,upda_r1_l20.001_one_se,0.01816119667445278,0.07341730685871986,-0.055256110184267085,1.0,1.0,0.0,False,False
OpenBMI,outcome,0,0,19,0,upda_r1_l20.001_one_se,0.1818762562232746,0.4438077826610825,-0.2619315264378079,0.92,0.8,-0.12,False,False
OpenBMI,outcome,0,0,19,1,upda_r1_l20.001_one_se,0.21167488344839083,0.47059471804909264,-0.2589198346007018,0.96,0.68,-0.2799999999999999,False,False
OpenBMI,outcome,0,0,19,2,upda_r1_l20.001_one_se,1.302837634169731,0.8724634877545822,0.4303741464151488,0.4,0.6,0.19999999999999996,False,False
OpenBMI,outcome,0,0,19,3,upda_r1_l20.001_one_se,0.8142391269018987,0.3813845800566709,0.4328545468452278,0.6,0.8,0.20000000000000007,False,False
OpenBMI,outcome,0,0,32,0,upda_r1_l20.001_one_se,0.28225081041593186,0.5875661606581188,-0.305315350242187,0.8,0.56,-0.24,False,False
OpenBMI,outcome,0,0,32,1,upda_r1_l20.001_one_se,0.7144229196903342,0.7279641747278327,-0.013541255037498479,0.68,0.56,-0.12,False,False
OpenBMI,outcome,0,0,32,2,upda_r1_l20.001_one_se,0.1328687124478556,0.16898071178449345,-0.036111999336637834,0.96,1.0,0.040000000000000036,False,False
OpenBMI,outcome,0,0,32,3,upda_r1_l20.001_one_se,0.05491558836038185,0.18974564162381546,-0.1348300532634336,1.0,1.0,0.0,False,False
OpenBMI,outcome,0,0,33,0,upda_r1_l20.001_one_se,0.4489826386120096,0.31134650923409646,0.13763612937791314,0.8,0.88,0.07999999999999996,False,False
OpenBMI,outcome,0,0,33,1,upda_r1_l20.001_one_se,0.2509080270114611,0.15007601339796575,0.10083201361349534,0.92,0.96,0.039999999999999925,False,False
OpenBMI,outcome,0,0,33,2,upda_r1_l20.001_one_se,0.027692447943118377,0.07948149892658515,-0.051789050983466776,1.0,1.0,0.0,False,False
OpenBMI,outcome,0,0,33,3,upda_r1_l20.001_one_se,0.03613839266506941,0.08550468485622256,-0.049366292191153155,1.0,1.0,0.0,False,False
OpenBMI,outcome,0,0,41,0,upda_r1_l20.001_one_se,0.6546680503414558,0.5136988687469701,0.14096918159448568,0.72,0.76,0.040000000000000036,False,False
OpenBMI,outcome,0,0,41,1,upda_r1_l20.001_one_se,0.741368368134935,0.7210674378350116,0.020300930299923414,0.76,0.48,-0.28,False,False
OpenBMI,outcome,0,0,41,2,upda_r1_l20.001_one_se,0.639985096055996,0.6422051761874041,-0.0022200801314081753,0.72,0.72,0.0,False,False
OpenBMI,outcome,0,0,41,3,upda_r1_l20.001_one_se,0.6334165994335398,0.5812812522622118,0.05213534717132795,0.68,0.64,-0.040000000000000036,False,False
OpenBMI,outcome,0,0,46,0,upda_r1_l20.001_one_se,0.8341896850999643,0.8261312538613044,0.008058431238659902,0.52,0.28,-0.24,False,False
OpenBMI,outcome,0,0,46,1,upda_r1_l20.001_one_se,0.6499537079060812,0.6658009390121723,-0.015847231106091098,0.72,0.44,-0.27999999999999997,False,False
OpenBMI,outcome,0,0,46,2,upda_r1_l20.001_one_se,0.35381709949656304,0.3291986492522963,0.024618450244266732,0.84,0.88,0.040000000000000036,False,False
OpenBMI,outcome,0,0,46,3,upda_r1_l20.001_one_se,0.841451431830494,0.621982688606549,0.21946874322394494,0.64,0.8,0.16000000000000003,False,False
OpenBMI,outcome,0,0,47,0,upda_r1_l20.001_one_se,0.10055165270484195,0.009578812432783615,0.09097284027205833,1.0,1.0,0.0,False,False
OpenBMI,outcome,0,0,47,1,upda_r1_l20.001_one_se,0.4264414231619466,0.6182628886465288,-0.19182146548458218,0.8,0.8,0.0,False,False
OpenBMI,outcome,0,0,47,2,upda_r1_l20.001_one_se,0.1170312780043907,0.06090070246954287,0.05613057553484783,0.96,0.96,0.0,False,False
OpenBMI,outcome,0,0,47,3,upda_r1_l20.001_one_se,0.15835844661351622,0.1286098704366337,0.029748576176882535,0.96,0.96,0.0,False,False
OpenBMI,outcome,0,0,49,0,upda_r1_l20.001_one_se,0.14504204418045039,0.20853016274493705,-0.06348811856448666,0.96,0.92,-0.039999999999999925,False,False
OpenBMI,outcome,0,0,49,1,upda_r1_l20.001_one_se,0.11231537612876631,0.16041266031629697,-0.04809728418753066,0.92,0.92,0.0,False,False
OpenBMI,outcome,0,0,49,2,upda_r1_l20.001_one_se,0.8370282521520024,0.5942973162687409,0.24273093588326144,0.72,0.72,0.0,False,False
OpenBMI,outcome,0,0,49,3,upda_r1_l20.001_one_se,1.0620032131761756,0.9372315362580262,0.12477167691814939,0.48,0.52,0.040000000000000036,False,False
OpenBMI,outcome,0,1,15,0,upda_r1_l20.001_one_se,0.5691797673338906,0.30047760899874076,0.2687021583351499,0.76,0.92,0.16000000000000003,False,False
OpenBMI,outcome,0,1,15,1,upda_r1_l20.001_one_se,0.8885317690579118,0.40321349514931,0.48531827390860177,0.6,0.8,0.20000000000000007,False,False
