dataset,role,fold,seed,method,BA,macro_F1,CE,subjects
OpenBMI,outcome,0,0,correct_adapter,0.79875,0.7934358577735933,0.5032416288042922,8
OpenBMI,outcome,0,0,eb_u_pda,0.79875,0.7934358577735933,0.5032416288042922,8
OpenBMI,outcome,0,0,intercept_only,0.8,0.795159082165491,0.49529611727134387,8
OpenBMI,outcome,0,0,oracle_alpha,0.82125,0.8172041445926588,0.4648083121581326,8
OpenBMI,outcome,0,0,ordinary_adapter,0.58375,0.4805241289345917,1.6861566668068089,8
OpenBMI,outcome,0,0,persistent_ce,0.78875,0.7784137379607232,0.4895129827747567,8
OpenBMI,outcome,0,0,population,0.8025,0.7969124193611099,0.49297947032477174,8
OpenBMI,outcome,0,0,previous_full_pda,0.75125,0.7384755715466721,0.5668942283305123,8
OpenBMI,outcome,0,0,random_gate,0.8025,0.7969164209617502,0.4879236119604267,8
OpenBMI,outcome,0,0,shuffled_adapter,0.79625,0.7895681288519938,0.498167598816964,8
OpenBMI,outcome,0,0,u_pda,0.79875,0.7934358577735933,0.5032416288042922,8
OpenBMI,outcome,0,0,wrong_adapter,0.8,0.7945826993497533,0.5000181133717566,8
OpenBMI,outcome,0,1,correct_adapter,0.785,0.7810414324840269,0.5596579837559674,8
OpenBMI,outcome,0,1,eb_u_pda,0.785,0.7810414324840269,0.5596579837559674,8
OpenBMI,outcome,0,1,intercept_only,0.76,0.7525586594014998,0.5954859445458677,8
OpenBMI,outcome,0,1,oracle_alpha,0.79375,0.7898550786274143,0.5467347256113478,8
OpenBMI,outcome,0,1,ordinary_adapter,0.555,0.4306436946070332,1.9454124805676798,8
OpenBMI,outcome,0,1,persistent_ce,0.755,0.7476376977846331,0.5630850594027986,8
OpenBMI,outcome,0,1,population,0.785,0.7807932870787357,0.552025194358153,8
OpenBMI,outcome,0,1,previous_full_pda,0.72,0.7027641683522523,0.6633992936659282,8
OpenBMI,outcome,0,1,random_gate,0.785,0.7805287419828182,0.5389249863362197,8
OpenBMI,outcome,0,1,shuffled_adapter,0.7775,0.7726979595032403,0.5527747345708206,8
OpenBMI,outcome,0,1,u_pda,0.785,0.7810414324840269,0.5596579837559674,8
OpenBMI,outcome,0,1,wrong_adapter,0.78625,0.7821015411959786,0.565892421430136,8
OpenBMI,outcome,0,2,correct_adapter,0.78375,0.7794304606015016,0.5206405212453473,8
OpenBMI,outcome,0,2,eb_u_pda,0.78375,0.7794304606015016,0.5206405212453473,8
OpenBMI,outcome,0,2,intercept_only,0.7775,0.7730017715145783,0.5216900242266854,8
OpenBMI,outcome,0,2,oracle_alpha,0.7975,0.7931584682388018,0.4954259538535605,8
OpenBMI,outcome,0,2,ordinary_adapter,0.55375,0.42589561030025036,1.8861782064188017,8
OpenBMI,outcome,0,2,persistent_ce,0.76625,0.756784241848418,0.5038837436164193,8
OpenBMI,outcome,0,2,population,0.78125,0.7763417098013039,0.5142507590206504,8
OpenBMI,outcome,0,2,previous_full_pda,0.74625,0.7294285355933812,0.6183348971107849,8
OpenBMI,outcome,0,2,random_gate,0.785,0.7801953807415958,0.5050097822558396,8
OpenBMI,outcome,0,2,shuffled_adapter,0.78,0.7738878074371583,0.5183996952846848,8
OpenBMI,outcome,0,2,u_pda,0.78375,0.7794304606015016,0.5206405212453473,8
OpenBMI,outcome,0,2,wrong_adapter,0.7825,0.7778393291595533,0.5298013176633848,8
OpenBMI,outcome,1,0,correct_adapter,0.69375,0.6871865288926623,0.6112919982848602,8
OpenBMI,outcome,1,0,eb_u_pda,0.69375,0.6871865288926623,0.6112919982848602,8
OpenBMI,outcome,1,0,intercept_only,0.70625,0.7043128382772237,0.6102126752378102,8
OpenBMI,outcome,1,0,oracle_alpha,0.7125,0.7081414841266904,0.6138716544824779,8
OpenBMI,outcome,1,0,ordinary_adapter,0.5025,0.3387945782339781,2.336679813727526,8
OpenBMI,outcome,1,0,persistent_ce,0.66875,0.6615417355490038,0.5938647842579102,8
OpenBMI,outcome,1,0,population,0.6925,0.684750514526761,0.6438293357758276,8
OpenBMI,outcome,1,0,previous_full_pda,0.65,0.6277608166399749,0.658475414855207,8
OpenBMI,outcome,1,0,random_gate,0.69625,0.6893948631424133,0.6333905444826515,8
OpenBMI,outcome,1,0,shuffled_adapter,0.69125,0.6838988077735682,0.6256730060977811,8
OpenBMI,outcome,1,0,u_pda,0.69375,0.6871865288926623,0.6112919982848602,8
OpenBMI,outcome,1,0,wrong_adapter,0.6925,0.6859099777986347,0.6216176042644632,8
OpenBMI,outcome,1,1,correct_adapter,0.72875,0.7217545413883244,0.5816278947826642,8
OpenBMI,outcome,1,1,eb_u_pda,0.72875,0.7217545413883244,0.5816278947826642,8
OpenBMI,outcome,1,1,intercept_only,0.72875,0.7193242293358066,0.6342763969952081,8
OpenBMI,outcome,1,1,oracle_alpha,0.75125,0.7448910687546086,0.5954081825826776,8
OpenBMI,outcome,1,1,ordinary_adapter,0.51,0.3545661453754083,2.0774869801753146,8
OpenBMI,outcome,1,1,persistent_ce,0.70125,0.6933560430198941,0.5401107705792256,8
OpenBMI,outcome,1,1,population,0.73625,0.7290782458881176,0.6152703129132435,8
OpenBMI,outcome,1,1,previous_full_pda,0.7025,0.679750543952629,0.6486134826511589,8
OpenBMI,outcome,1,1,random_gate,0.72875,0.7216696948780855,0.590713246780947,8
OpenBMI,outcome,1,1,shuffled_adapter,0.7324999999999999,0.7255540718502872,0.6010261516911124,8
OpenBMI,outcome,1,1,u_pda,0.72875,0.7217545413883244,0.5816278947826642,8
OpenBMI,outcome,1,1,wrong_adapter,0.7324999999999999,0.726396549415091,0.5943581127936497,8
OpenBMI,outcome,1,2,correct_adapter,0.71375,0.7047364970531016,0.6371845652525912,8
OpenBMI,outcome,1,2,eb_u_pda,0.71375,0.7047364970531016,0.6371845652525912,8
OpenBMI,outcome,1,2,intercept_only,0.69375,0.6890180789445384,0.661543644362597,8
OpenBMI,outcome,1,2,oracle_alpha,0.715,0.7060051458398108,0.638669680442491,8
OpenBMI,outcome,1,2,ordinary_adapter,0.50375,0.3414347111544111,2.2550532932467777,8
OpenBMI,outcome,1,2,persistent_ce,0.66,0.6525511854869098,0.6116345219521917,8
OpenBMI,outcome,1,2,population,0.7125,0.7047964255974095,0.6723703705209738,8
OpenBMI,outcome,1,2,previous_full_pda,0.6625,0.6427027739523588,0.68792135059123,8
OpenBMI,outcome,1,2,random_gate,0.71375,0.7061420723009907,0.6637851096109992,8
OpenBMI,outcome,1,2,shuffled_adapter,0.7125,0.7046160504170343,0.652341457592893,8
OpenBMI,outcome,1,2,u_pda,0.71375,0.7047364970531016,0.6371845652525912,8
OpenBMI,outcome,1,2,wrong_adapter,0.7162499999999999,0.7091254255680858,0.6476619736101235,8
OpenBMI,outcome,2,0,correct_adapter,0.68875,0.6847075445376853,0.6317012902073454,8
OpenBMI,outcome,2,0,eb_u_pda,0.68875,0.6847075445376853,0.6317012902073454,8
OpenBMI,outcome,2,0,intercept_only,0.6875,0.6834578261648372,0.6651991335300261,8
OpenBMI,outcome,2,0,oracle_alpha,0.7,0.6963583672094718,0.6258383606439927,8
OpenBMI,outcome,2,0,ordinary_adapter,0.5,0.3333333333333333,2.282364999251905,8
OpenBMI,outcome,2,0,persistent_ce,0.6799999999999999,0.6755148323268279,0.6085016591056773,8
OpenBMI,outcome,2,0,population,0.68875,0.6841664340071119,0.6590697188021121,8
OpenBMI,outcome,2,0,previous_full_pda,0.65375,0.6302428839944303,0.6367930113639049,8
OpenBMI,outcome,2,0,random_gate,0.6912499999999999,0.687497333575582,0.6231771802111895,8
OpenBMI,outcome,2,0,shuffled_adapter,0.6849999999999999,0.6812424081600655,0.6269875527164069,8
OpenBMI,outcome,2,0,u_pda,0.68875,0.6847075445376853,0.6317012902073454,8
OpenBMI,outcome,2,0,wrong_adapter,0.68875,0.682358479588637,0.6637751362777421,8
OpenBMI,outcome,2,1,correct_adapter,0.7825,0.7795215167668769,0.4701062216325742,8
