dataset,role,fold,seed,subject,method,recipe,alpha,BA,macro_F1,margin,CE,ECE,future_session_used_for_fit,future_labels_used_for_fit,population_checkpoint_unchanged,oracle_label,population_checkpoint_id,certificate,rank,l2
OpenBMI,outcome,0,0,19,u_pda,upda_r1_l20.001_one_se,0.0,0.71,0.7064480210547626,1.557218017578125,0.6390310716172292,0.12319040243114007,False,False,True,,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,0,19,eb_u_pda,upda_r1_l20.001_one_se,0.0,0.71,0.7064480210547626,1.557218017578125,0.6390310716172292,0.12319040243114007,False,False,True,,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,0,19,random_gate,upda_r1_l20.001_one_se,0.0,0.71,0.7064480210547626,1.557218017578125,0.6390310716172292,0.12319040243114007,False,False,True,,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,0,19,correct_adapter,upda_r1_l20.001_one_se,0.0,0.71,0.7064480210547626,1.557218017578125,0.6390310716172292,0.12319040243114007,False,False,True,,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,0,19,wrong_adapter,upda_r1_l20.001_one_se,0.0,0.71,0.7064480210547626,1.557218017578125,0.6390310716172292,0.12319040243114007,False,False,True,,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,0,19,shuffled_adapter,upda_r1_l20.001_one_se,0.0,0.71,0.7064480210547626,1.557218017578125,0.6390310716172292,0.12319040243114007,False,False,True,,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,0,19,oracle_alpha,upda_r1_l20.001_one_se,0.75,0.77,0.769792813532179,1.3627990354252961,0.5522981712829683,0.09631222680806571,False,False,True,DIAGNOSTIC_UPPER_BOUND_ONLY,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,0,32,population,upda_r1_l20.001_one_se,0.0,0.78,0.7742200328407225,2.549443359375,0.5769818425267573,0.11943964721280918,False,False,True,,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,0,32,intercept_only,upda_r1_l20.001_one_se,1.0,0.78,0.7708333333333333,2.5494433593749997,0.7474550541581556,0.1702309482530605,False,False,True,,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,0,32,ordinary_adapter,upda_r1_l20.001_one_se,1.0,0.58,0.5,2.0058813173147882,1.4603985073453378,0.3636150592370012,False,False,True,,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,0,32,previous_full_pda,upda_r1_l20.001_one_se,1.0,0.78,0.7756017951856384,2.676908467311077,0.577345536197495,0.12287041900431347,False,False,True,,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,0,32,persistent_ce,upda_r1_l20.001_one_se,1.0,0.85,0.84998499849985,1.5788373378433649,0.46272624597538864,0.10263550841402966,False,False,True,,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,0,32,u_pda,upda_r1_l20.001_one_se,0.0,0.78,0.7742200328407225,2.549443359375,0.5769818425267573,0.11943964721280918,False,False,True,,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,0,32,eb_u_pda,upda_r1_l20.001_one_se,0.0,0.78,0.7742200328407225,2.549443359375,0.5769818425267573,0.11943964721280918,False,False,True,,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,0,32,random_gate,upda_r1_l20.001_one_se,0.0,0.78,0.7742200328407225,2.549443359375,0.5769818425267573,0.11943964721280918,False,False,True,,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,0,32,correct_adapter,upda_r1_l20.001_one_se,0.0,0.78,0.7742200328407225,2.549443359375,0.5769818425267573,0.11943964721280918,False,False,True,,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,0,32,wrong_adapter,upda_r1_l20.001_one_se,0.0,0.78,0.7742200328407225,2.549443359375,0.5769818425267573,0.11943964721280918,False,False,True,,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,0,32,shuffled_adapter,upda_r1_l20.001_one_se,0.0,0.78,0.7742200328407225,2.549443359375,0.5769818425267573,0.11943964721280918,False,False,True,,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,0,32,oracle_alpha,upda_r1_l20.001_one_se,1.0,0.85,0.84998499849985,1.5788373378433649,0.46272624597538864,0.10263550841402966,False,False,True,DIAGNOSTIC_UPPER_BOUND_ONLY,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,0,33,population,upda_r1_l20.001_one_se,0.0,0.96,0.959983993597439,3.358642578125,0.1578073786418514,0.055591921318823984,False,False,True,,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,0,33,intercept_only,upda_r1_l20.001_one_se,1.0,0.9199999999999999,0.9197109594540345,3.358642578125,0.1992322497426534,0.06600847690788149,False,False,True,,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,0,33,ordinary_adapter,upda_r1_l20.001_one_se,1.0,0.6,0.5238095238095238,2.3118718597352403,1.2993706139157928,0.34002097158848643,False,False,True,,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,0,33,previous_full_pda,upda_r1_l20.001_one_se,1.0,0.7,0.6703296703296704,1.201519931930064,0.5440284659032504,0.17722663404815636,False,False,True,,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,0,33,persistent_ce,upda_r1_l20.001_one_se,1.0,0.95,0.9499549594635172,3.079375635562491,0.1780646204227802,0.06355953121419118,False,False,True,,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,0,33,u_pda,upda_r1_l20.001_one_se,0.0,0.96,0.959983993597439,3.358642578125,0.1578073786418514,0.055591921318823984,False,False,True,,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,0,33,eb_u_pda,upda_r1_l20.001_one_se,0.0,0.96,0.959983993597439,3.358642578125,0.1578073786418514,0.055591921318823984,False,False,True,,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,0,33,random_gate,upda_r1_l20.001_one_se,0.5,0.96,0.96,3.219009106843745,0.16145754706390902,0.0848819911044514,False,False,True,,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,0,33,correct_adapter,upda_r1_l20.001_one_se,0.0,0.96,0.959983993597439,3.358642578125,0.1578073786418514,0.055591921318823984,False,False,True,,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,0,33,wrong_adapter,upda_r1_l20.001_one_se,0.0,0.96,0.959983993597439,3.358642578125,0.1578073786418514,0.055591921318823984,False,False,True,,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
