dataset,role,fold,seed,subject,alpha,historical_utility,future_gain,BA_cert,BA_pop
OpenBMI,outcome,0,0,15,0.0,0.14086915999829358,-0.030000000000000027,0.76,0.79
OpenBMI,outcome,0,0,19,0.0,0.08559433305546672,0.0,0.71,0.71
OpenBMI,outcome,0,0,32,0.0,-0.12244966446993923,0.0,0.78,0.78
OpenBMI,outcome,0,0,33,0.0,0.034328199954197135,0.0,0.96,0.96
OpenBMI,outcome,0,0,41,0.0,0.05279634473358222,0.0,0.77,0.77
OpenBMI,outcome,0,0,46,0.0,0.05907459840019512,0.0,0.71,0.71
OpenBMI,outcome,0,0,47,0.0,-0.00374236837519837,0.0,0.96,0.96
OpenBMI,outcome,0,0,49,0.0,0.06397930251234837,0.0,0.74,0.74
OpenBMI,outcome,0,1,15,0.0,0.14086915999829358,-0.009999999999999898,0.8200000000000001,0.83
OpenBMI,outcome,0,1,19,0.0,0.08559433305546672,0.0,0.72,0.72
OpenBMI,outcome,0,1,32,0.0,-0.12244966446993923,0.0,0.73,0.73
OpenBMI,outcome,0,1,33,0.0,0.034328199954197135,0.0,0.88,0.88
OpenBMI,outcome,0,1,41,0.0,0.05279634473358222,0.010000000000000009,0.75,0.74
OpenBMI,outcome,0,1,46,0.0,0.05907459840019512,0.0,0.73,0.73
OpenBMI,outcome,0,1,47,0.0,-0.00374236837519837,0.0,0.8,0.8
OpenBMI,outcome,0,1,49,0.0,0.06397930251234837,0.0,0.8500000000000001,0.8500000000000001
OpenBMI,outcome,0,2,15,0.0,0.14086915999829358,0.020000000000000018,0.78,0.76
OpenBMI,outcome,0,2,19,0.0,0.08559433305546672,0.0,0.76,0.76
OpenBMI,outcome,0,2,32,0.0,-0.12244966446993923,0.0,0.74,0.74
OpenBMI,outcome,0,2,33,0.0,0.034328199954197135,0.0,0.9,0.9
OpenBMI,outcome,0,2,41,0.0,0.05279634473358222,0.0,0.71,0.71
OpenBMI,outcome,0,2,46,0.0,0.05907459840019512,0.0,0.6599999999999999,0.6599999999999999
OpenBMI,outcome,0,2,47,0.0,-0.00374236837519837,0.0,0.9199999999999999,0.9199999999999999
OpenBMI,outcome,0,2,49,0.0,0.06397930251234837,0.0,0.8,0.8
OpenBMI,outcome,1,0,2,0.0,0.018731916918047466,0.0,0.73,0.73
OpenBMI,outcome,1,0,14,0.0,0.06960279774770918,0.030000000000000027,0.71,0.6799999999999999
OpenBMI,outcome,1,0,34,0.0,0.099598770769742,-0.010000000000000009,0.72,0.73
OpenBMI,outcome,1,0,40,0.0,-0.015613456914634505,0.0,0.71,0.71
OpenBMI,outcome,1,0,43,0.0,-0.04058716782704701,0.0,0.81,0.81
OpenBMI,outcome,1,0,44,0.0,-0.00017969935215932098,0.0,0.6599999999999999,0.6599999999999999
OpenBMI,outcome,1,0,48,0.0,-0.051729449705359726,0.0,0.67,0.67
OpenBMI,outcome,1,0,50,0.0,0.2580630538045766,-0.010000000000000009,0.54,0.55
OpenBMI,outcome,1,1,2,0.0,0.018731916918047466,0.0,0.6699999999999999,0.6699999999999999
OpenBMI,outcome,1,1,14,0.0,0.06960279774770918,0.0,0.76,0.76
OpenBMI,outcome,1,1,34,0.0,0.099598770769742,0.0,0.63,0.63
OpenBMI,outcome,1,1,40,0.0,-0.015613456914634505,0.0,0.8,0.8
OpenBMI,outcome,1,1,43,0.0,-0.04058716782704701,0.0,0.84,0.84
OpenBMI,outcome,1,1,44,0.0,-0.00017969935215932098,0.0,0.8999999999999999,0.8999999999999999
OpenBMI,outcome,1,1,48,0.0,-0.051729449705359726,0.0,0.61,0.61
OpenBMI,outcome,1,1,50,0.0,0.2580630538045766,-0.05999999999999994,0.62,0.6799999999999999
OpenBMI,outcome,1,2,2,0.0,0.018731916918047466,0.0,0.71,0.71
