dataset,fold,seed,subject,correct_adapter,full_pda,ordinary_adapter,population,shuffled_adapter,wrong_adapter,full_pda_minus_population_future_BA,ordinary_adapter_minus_population_future_BA,correct_minus_wrong_future_BA,correct_minus_shuffled_future_BA,persistent_norm,transient_norm,persistent_transient_ratio,historical_crossfit_gain
OpenBMI,0,0,15,0.78,0.78,0.76,0.79,0.65,0.73,-0.010000000000000009,-0.030000000000000027,0.050000000000000044,0.13,0.1803884685456564,0.0651699414680118,2.767970393746611,-0.02
OpenBMI,0,0,19,0.7,0.7,0.66,0.71,0.69,0.73,-0.010000000000000009,-0.04999999999999993,-0.030000000000000027,0.010000000000000009,0.8039391405791357,0.3667690594738144,2.1919491838611136,-0.0999999999999999
OpenBMI,0,0,32,0.77,0.77,0.78,0.78,0.77,0.81,-0.010000000000000009,0.0,-0.040000000000000036,0.0,0.3741773108669736,0.2260505730489657,1.655281408138353,-0.0599999999999999
OpenBMI,0,0,33,0.92,0.92,0.92,0.96,0.94,0.94,-0.039999999999999925,-0.039999999999999925,-0.019999999999999907,-0.019999999999999907,0.6216623333698783,0.2331150268907744,2.6667621631322667,-0.2199999999999999
OpenBMI,0,0,41,0.72,0.72,0.71,0.77,0.72,0.75,-0.050000000000000044,-0.06000000000000005,-0.030000000000000027,0.0,0.1369110957338826,0.0009581245472495,142.89488368387077,-0.26
OpenBMI,0,0,46,0.65,0.65,0.63,0.71,0.75,0.75,-0.05999999999999994,-0.07999999999999996,-0.09999999999999998,-0.09999999999999998,0.0795182142452593,0.0627465040301996,1.2672931420527846,-0.18
OpenBMI,0,0,47,0.8999999999999999,0.8999999999999999,0.95,0.96,0.81,0.93,-0.06000000000000005,-0.010000000000000009,-0.030000000000000138,0.08999999999999986,0.0811893474056751,0.0670634905020027,1.2106340841780454,-0.0399999999999999
OpenBMI,0,0,49,0.79,0.79,0.77,0.74,0.74,0.75,0.050000000000000044,0.030000000000000027,0.040000000000000036,0.050000000000000044,0.4652643998790796,0.1421354275306792,3.2733879790712592,-0.0299999999999999
OpenBMI,0,1,15,0.78,0.78,0.81,0.83,0.74,0.82,-0.04999999999999993,-0.019999999999999907,-0.039999999999999925,0.040000000000000036,0.2470498042145352,0.2814885470060403,0.8776549058290244,-0.01
OpenBMI,0,1,19,0.6799999999999999,0.6799999999999999,0.68,0.72,0.6699999999999999,0.66,-0.040000000000000036,-0.039999999999999925,0.019999999999999907,0.010000000000000009,0.4911309693238948,0.1560779275494824,3.146703554019118,-0.28
OpenBMI,0,1,32,0.74,0.74,0.6599999999999999,0.73,0.51,0.69,0.010000000000000009,-0.07000000000000006,0.050000000000000044,0.22999999999999998,0.411974580726094,0.0880463751041201,4.679063507599369,-0.21
OpenBMI,0,1,33,0.5,0.5,0.67,0.88,0.87,0.8400000000000001,-0.38,-0.20999999999999996,-0.3400000000000001,-0.37,1.070394687396591,0.0596393764591762,17.947784684323224,-0.61
OpenBMI,0,1,41,0.77,0.77,0.7,0.74,0.74,0.6699999999999999,0.030000000000000027,-0.040000000000000036,0.10000000000000009,0.030000000000000027,0.2901767852064492,0.0757243906603725,3.8320121519089616,-0.4
OpenBMI,0,1,46,0.73,0.73,0.72,0.73,0.73,0.72,0.0,-0.010000000000000009,0.010000000000000009,0.0,0.1759272576460917,0.1481415415903694,1.1875619475633206,-0.2
