dataset,role,fold,seed,subject,alpha_oracle,oracle_minus_population_BA,oracle_label
OpenBMI,outcome,0,0,15,0.0,0.0,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,0,0,19,0.75,0.06000000000000005,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,0,0,32,1.0,0.06999999999999995,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,0,0,33,0.0,0.0,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,0,0,41,0.0,0.0,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,0,0,46,0.0,0.0,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,0,0,47,0.0,0.0,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,0,0,49,0.25,0.020000000000000018,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,0,1,15,0.25,1.1102230246251565e-16,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,0,1,19,0.5,0.010000000000000009,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,0,1,32,0.0,0.0,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,0,1,33,0.25,0.009999999999999898,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,0,1,41,0.75,0.040000000000000036,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,0,1,46,0.0,0.0,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,0,1,47,0.0,0.0,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,0,1,49,0.25,0.010000000000000009,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,0,2,15,0.5,0.020000000000000018,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,0,2,19,0.0,0.0,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,0,2,32,0.5,0.010000000000000009,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,0,2,33,0.25,0.009999999999999898,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,0,2,41,1.0,0.030000000000000027,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,0,2,46,0.25,0.010000000000000009,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,0,2,47,0.25,0.020000000000000018,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,0,2,49,0.75,0.030000000000000027,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,1,0,2,0.5,0.040000000000000036,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,1,0,14,0.75,0.050000000000000044,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,1,0,34,0.0,0.0,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,1,0,40,0.0,0.0,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,1,0,43,0.0,0.0,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,1,0,44,1.0,0.050000000000000044,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,1,0,48,0.0,0.0,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,1,0,50,0.25,0.019999999999999907,DIAGNOSTIC_UPPER_BOUND_ONLY
