dataset,role,fold,seed,subject,recipe,alpha,mean_CE,SE_CE,mean_BA,selected_one_se,selected_eb,historical_utility,historical_utility_se,positive_held_blocks,future_labels_used_for_selection,population_checkpoint_id,certificate,rank,l2
OpenBMI,outcome,0,0,15,upda_r1_l20.001_one_se,0.5,0.2642361096830352,0.15572398428772297,0.89,0.5,0.5,0.14086915999829358,0.10616489490442514,2,False,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,0,19,upda_r1_l20.001_one_se,0.0,0.6276569751858239,0.26808633118984276,0.72,0.0,0.0,0.08559433305546672,0.19977633545918497,2,False,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,0,32,upda_r1_l20.001_one_se,0.0,0.29611450772862585,0.1471960818099348,0.86,0.0,0.0,-0.12244966446993923,0.0664005315775702,0,False,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,0,33,upda_r1_l20.001_one_se,0.0,0.19093037655791462,0.10033089758439956,0.93,0.0,0.0,0.034328199954197135,0.049595223591906865,2,False,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,0,41,upda_r1_l20.001_one_se,0.25,0.6673595284914816,0.025066351860612568,0.7200000000000001,0.25,0.25,0.05279634473358222,0.03143464787197026,3,False,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,0,46,upda_r1_l20.001_one_se,0.0,0.6698529810832756,0.11428299673368791,0.68,0.0,0.0,0.05907459840019512,0.05410594367219745,3,False,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,0,47,upda_r1_l20.001_one_se,0.0,0.2005957001211739,0.07625729487882496,0.9299999999999999,0.0,0.0,-0.00374236837519837,0.0639342958943141,3,False,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,0,49,upda_r1_l20.001_one_se,0.0,0.5390972214093487,0.2414566561288358,0.7699999999999999,0.0,0.0,0.06397930251234837,0.07328992878796461,2,False,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,1,15,upda_r1_l20.001_one_se,0.5,0.2642361096830352,0.15572398428772297,0.89,0.5,0.5,0.14086915999829358,0.10616489490442514,2,False,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,1,19,upda_r1_l20.001_one_se,0.0,0.6276569751858239,0.26808633118984276,0.72,0.0,0.0,0.08559433305546672,0.19977633545918497,2,False,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,1,32,upda_r1_l20.001_one_se,0.0,0.29611450772862585,0.1471960818099348,0.86,0.0,0.0,-0.12244966446993923,0.0664005315775702,0,False,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,1,33,upda_r1_l20.001_one_se,0.0,0.19093037655791462,0.10033089758439956,0.93,0.0,0.0,0.034328199954197135,0.049595223591906865,2,False,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,1,41,upda_r1_l20.001_one_se,0.25,0.6673595284914816,0.025066351860612568,0.7200000000000001,0.25,0.25,0.05279634473358222,0.03143464787197026,3,False,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
