projector_id,seed,rank,matrix_sha256,idempotence_error,symmetry_error,orthonormality_error
0,7162106232248030214,16,4479b3944a8533cdd2ae30997de9c5ded1fc6d200f8e855722275a30770167fb,5.960464477539063e-08,0.0,9.992007221626409e-16
1,8524457767450490180,16,c8d8736a7bad8509911a401b9356f70dc3d4e443b28a1fd39eae0558725a7397,5.960464477539063e-08,0.0,8.881784197001252e-16
2,2032425219364348648,16,bf2cee2f3529bdcba49aaa73532d9c68c1b6f79fc9496eae65ff85e0f2537975,5.960464477539063e-08,0.0,4.440892098500626e-16
3,5123126640501747250,16,e55e1a0510b9e33af001cc6d0e982ce5ed813ba4e813ad75f6bf164efec61540,8.940696716308594e-08,0.0,4.440892098500626e-16
4,835825638980628638,16,e9e2d1db8ca45ca1ff8aafc640867bdea5df6becdbe65e379ef8bee76ef414fb,8.940696716308594e-08,0.0,5.551115123125783e-16
5,21192274745977377,16,962c9cfbc0f7b0d88b389916fea3d0b0b264dd7f0629d1e7a7039d4e3102f7e3,8.940696716308594e-08,0.0,6.661338147750939e-16
6,8795915152993773876,16,cc4ab52e76135b9d0e7a82f4cf1595506db2ae8c275aaded3bf5a96de5dfead6,1.1920928955078125e-07,0.0,4.440892098500626e-16
7,7974490351156671855,16,2f6cf74aa20754d18a1678f6a9385ee68a3bfbb6b44291f7f12b6db088007a71,8.940696716308594e-08,0.0,4.440892098500626e-16
8,8640340471241411254,16,e36c09a8bb29571455c394746232d16060fc9221f9cc0857ab7a2c0ba6b9ead3,1.1920928955078125e-07,0.0,6.661338147750939e-16
9,6436542768440460801,16,4ab65c9def161a09f6edcd23c0c67b1bd261c85812fffe42718d54ff22cfa0c6,8.940696716308594e-08,0.0,4.440892098500626e-16
10,8535054426415686793,16,20978180f5c0d173d02a71a7e7774d2dd32bc1c1dd0125e9b6f6b7d0759a8980,5.960464477539063e-08,0.0,6.661338147750939e-16
11,2222799416549167020,16,718969e9588fce050d986069032ca429e9f4724659292ecd93a57a06a17d2a1c,1.1920928955078125e-07,0.0,8.881784197001252e-16
12,328105442792895929,16,963ebbfedce400e49e11b23b3e531cc01475cdc4d760ed54900db7fa14680a4a,8.940696716308594e-08,0.0,8.881784197001252e-16
13,5792546212496672524,16,9b3d8cabc7f4f95d2a642051abd050134e961c4632238d8cfae8c9a87bbc79d3,5.960464477539063e-08,0.0,6.661338147750939e-16
14,4587652079114496681,16,5d646c6c4e532c4752bef250e893b2e5e66ca3c5902d6611712b354801c7aada,1.4901161193847656e-07,0.0,5.551115123125783e-16
15,6930177611476124905,16,12095ecd64e4085ff673507ea6a73baa69a9277a01243a99641b90595cfc1f95,1.1920928955078125e-07,0.0,8.881784197001252e-16
16,1281339636750752565,16,70aee74951d354bce14409da1898570c759db2baa9857b06bc5c6b9bf681affc,5.960464477539063e-08,0.0,7.771561172376096e-16
17,3485683264761637721,16,fd1dc7c28beed323140a9fb8e727c35521a6be0bd37d069bd7dc9eff9f20707b,8.940696716308594e-08,0.0,6.661338147750939e-16
18,2511060447692567879,16,38f2fcc847e5949e9026197478ddd46634110da9f0cb91efdf6aca73f41b2e28,8.940696716308594e-08,0.0,5.551115123125783e-16
19,7807497341571309368,16,201898329edcfc54cb3e6a7889029a58a332d3011465a7972781885c3d6bfdb9,8.940696716308594e-08,0.0,4.440892098500626e-16
20,7514554748195668806,16,f26d06888c3bfbf7749382201a93474e8277f9f2bc041e70ce19be6b695d8cb0,8.940696716308594e-08,0.0,8.881784197001252e-16
21,5149246501962575106,16,667511b51ce501ec722b45bed850271b0f6bfb1dceba3d90f297b4cc07cf9bb4,1.1920928955078125e-07,0.0,8.881784197001252e-16
22,3940267543397206453,16,8310dff4eaa3cacf74d77544c0040a68b52853f11d03de87e3567435c5bdd5d2,1.1920928955078125e-07,0.0,6.661338147750939e-16
23,7582906139715394857,16,ce259184e620606b126bd17bc31b192dc004c022fd7ad6627e55f1b044952cb3,8.940696716308594e-08,0.0,6.661338147750939e-16
24,2412676928565541900,16,3c53303d2127f9d48953ee18f0d4d9a514b771e9a4cb089b2bcc0815745d31eb,8.940696716308594e-08,0.0,8.881784197001252e-16
25,4352972171658793125,16,7be2a8014b4ac78ecd3cf3b971c49b8b5c0c64063ea76ce3c4ba21278798a3f2,8.940696716308594e-08,0.0,6.661338147750939e-16
26,8330980915071610023,16,ca4134ed9b18de2d3da5e78d82d50d32fc07621d6727cb5336035fb8d271d805,1.1920928955078125e-07,0.0,7.771561172376096e-16
27,92376468427291395,16,985dca910058138cfce60e0e4b1e579bfcf0c72d752fcdf7235b83f6e04ea9d1,1.4901161193847656e-07,0.0,5.551115123125783e-16
28,571700761547212838,16,88ea21fc9eac6f068a0927b57bafb259bfedc9b7dc41a9a13d7e1e94d78f0ccb,8.940696716308594e-08,0.0,6.661338147750939e-16
29,7623629062113757793,16,e3c5d0847998d8f245c2a22f0b852823a7741dcdb706382cfa55b68281ac2af4,8.940696716308594e-08,0.0,8.881784197001252e-16
30,5008484911508387832,16,0eb4ea9e89d37b5f561e93ea711f45878ead3be829a3d181f315c5c3a9fde120,8.940696716308594e-08,0.0,7.771561172376096e-16
31,6786698185760605243,16,763f2e05051b461479c9b366b5f0ee46bff9a413e075d374e17fdb9b899973b4,1.1920928955078125e-07,0.0,4.440892098500626e-16
32,7063934545455229207,16,445b28b979316bc99e691aa9b20ac1301d4da0bd0cc0087c94a43f2cc9d6a597,5.960464477539063e-08,0.0,6.661338147750939e-16
33,892290791741540593,16,cfcd63551c51db4b10058672defeb264dea589b224721c458159eee440ce64c4,8.940696716308594e-08,0.0,1.1102230246251565e-15
34,1006859061488364889,16,cc11fc75cbf405485e6f8d14b09ebaabc39dcd1ea0071d7003e39b2de17aace0,8.940696716308594e-08,0.0,5.551115123125783e-16
35,4728690455732558282,16,74d052aca147809e96ec4d8e1b0135fc51885f87bbf67c15e25ce8d87fcd7b67,8.940696716308594e-08,0.0,4.440892098500626e-16
36,3072397926233307522,16,7e516217eeb57f50a55b34f86e477b30c86e26bf7e882c49c147752de77a1e3a,5.960464477539063e-08,0.0,7.771561172376096e-16
