task,fold,selected_epoch,inner_val_BA,epochs_ran,early_stopped,checkpoint,checkpoint_sha,elapsed_seconds
OpenBMI_ERP,0,6,0.880959595959596,60,False,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_tfformer_remaining_tasks_seed0_v1/runtime/checkpoints/OpenBMI_ERP/fold0/selected.pt,f58d9fc91d70cc9bd266d5de44e8af8e9093c09a250fb102aaa5ee393f0682b4,228.163604458794
OpenBMI_ERP,1,2,0.8389898989898988,10,True,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_tfformer_remaining_tasks_seed0_v1/runtime/checkpoints/OpenBMI_ERP/fold1/selected.pt,959a5974123899ee9d4600b48ae5aeefaf9f4fbf06f71099a64873742c78e7ef,445.97538942843676
OpenBMI_ERP,2,11,0.7996969696969697,19,True,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_tfformer_remaining_tasks_seed0_v1/runtime/checkpoints/OpenBMI_ERP/fold2/selected.pt,130eb33e468f1eaf651359ef5f98ed8747eee0e2512d058c846b36fad47e29e0,887.6228848770261
OpenBMI_ERP,3,1,0.85510101010101,10,True,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_tfformer_remaining_tasks_seed0_v1/runtime/checkpoints/OpenBMI_ERP/fold3/selected.pt,1d4c9e7c1d7321e7876aebce26e8d83d85b621ae75bfe73ad8ea21ad06bd77c9,471.2315491102636
OpenBMI_ERP,4,4,0.8239393939393941,12,True,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_tfformer_remaining_tasks_seed0_v1/runtime/checkpoints/OpenBMI_ERP/fold4/selected.pt,e3bfe4293e28bb98064883f3a0484624f1d6865c8d4ff6da05e7a2758271b747,538.4329604832456
OpenBMI_MI,0,2,0.7166666666666667,10,True,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_tfformer_remaining_tasks_seed0_v1/runtime/checkpoints/OpenBMI_MI/fold0/selected.pt,5cf0f16d2d3980e040ccab7a45348d6a2010af49761a43cc7ce12306372c3b72,65.90806458704174
OpenBMI_MI,1,2,0.8066666666666666,10,True,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_tfformer_remaining_tasks_seed0_v1/runtime/checkpoints/OpenBMI_MI/fold1/selected.pt,ce69e9700f4723a75e76395f0719f1e584585dbd41d783c102a66615ee6e7996,68.73297499399632
OpenBMI_MI,2,1,0.7683333333333334,10,True,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_tfformer_remaining_tasks_seed0_v1/runtime/checkpoints/OpenBMI_MI/fold2/selected.pt,41733077ef93f708ef3dc1a69b87b9e209a11724d94a2b6d53d4a612c55e7c92,71.57663066126406
OpenBMI_MI,3,7,0.77,15,True,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_tfformer_remaining_tasks_seed0_v1/runtime/checkpoints/OpenBMI_MI/fold3/selected.pt,9ccf73c1aca776a37660c2d4e423e6c4855782ce06f952ed3f20ae0c58d820fe,110.65711101144552
OpenBMI_MI,4,3,0.7383333333333333,11,True,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_tfformer_remaining_tasks_seed0_v1/runtime/checkpoints/OpenBMI_MI/fold4/selected.pt,945caf6e9be8cd15b4451ee6810b086238ba23edaa03f31cdcd84fa3c1fdb10d,69.05965493060648
WBCIC_MI,0,16,0.6857108585858587,24,True,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_tfformer_remaining_tasks_seed0_v1/runtime/checkpoints/WBCIC_MI/fold0/selected.pt,10f38b272e2bb26b3274dc27cc2b9d828f9408a867f38e6ef54fb09affbd5ade,504.0460007702932
WBCIC_MI,1,6,0.893709595959596,14,True,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_tfformer_remaining_tasks_seed0_v1/runtime/checkpoints/WBCIC_MI/fold1/selected.pt,dfa58ac5f4b1641727679abfa2c17b52db46fae453a12a47d0ac6aa267bf6f2e,274.2389998137951
WBCIC_MI,2,4,0.89,12,True,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_tfformer_remaining_tasks_seed0_v1/runtime/checkpoints/WBCIC_MI/fold2/selected.pt,359ff31c0f01e269a6bd9cf18f4287ea100ad4325533083c4e0ba7b58c55827a,268.85043673124164
WBCIC_MI,3,1,0.76,10,True,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_tfformer_remaining_tasks_seed0_v1/runtime/checkpoints/WBCIC_MI/fold3/selected.pt,7254245d182c15e9b9d80468dbc10373c7942d25d4e63fa48955c8ede611ecce,212.83337847702205
WBCIC_MI,4,1,0.764,10,True,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_tfformer_remaining_tasks_seed0_v1/runtime/checkpoints/WBCIC_MI/fold4/selected.pt,eb9b3ed3ca514f1a01100d317ac47aeed242023d766d1e22c712bf3e28494d8b,218.63697750214487
