task,fold,subject_id,TFFormer_BA,LiteBN_BA,delta_pp
OpenBMI_ERP,0,4,0.8963636363636364,0.8821212121212121,1.4242424242424279
OpenBMI_ERP,0,12,0.9587878787878787,0.9603030303030302,-0.15151515151514694
OpenBMI_ERP,0,13,0.9118181818181819,0.8996969696969697,1.21212121212122
OpenBMI_ERP,0,17,0.8045454545454546,0.7818181818181817,2.272727272727282
OpenBMI_ERP,0,18,0.9054545454545455,0.8927272727272728,1.2727272727272698
OpenBMI_ERP,0,24,0.7863636363636364,0.7809090909090909,0.545454545454549
OpenBMI_ERP,0,25,0.8024242424242425,0.796969696969697,0.545454545454549
OpenBMI_ERP,0,29,0.8433333333333333,0.8503030303030303,-0.696969696969707
OpenBMI_ERP,0,36,0.9451515151515152,0.9387878787878787,0.636363636363646
OpenBMI_ERP,0,37,0.933030303030303,0.9363636363636364,-0.33333333333334103
OpenBMI_ERP,0,39,0.7506060606060606,0.7387878787878788,1.1818181818181839
OpenBMI_ERP,0,42,0.873030303030303,0.87,0.303030303030305
OpenBMI_ERP,0,51,0.7833333333333333,0.7627272727272727,2.0606060606060628
OpenBMI_ERP,0,54,0.733030303030303,0.7387878787878788,-0.5757575757575739
OpenBMI_ERP,1,4,0.8906060606060606,0.8824242424242423,0.818181818181829
OpenBMI_ERP,1,12,0.9554545454545454,0.9533333333333334,0.21212121212120794
OpenBMI_ERP,1,13,0.9190909090909092,0.9190909090909091,1.1102230246251565e-14
OpenBMI_ERP,1,17,0.8372727272727273,0.8336363636363636,0.363636363636366
OpenBMI_ERP,1,18,0.9254545454545454,0.9124242424242424,1.3030303030303059
OpenBMI_ERP,1,24,0.7845454545454545,0.8106060606060606,-2.6060606060606006
OpenBMI_ERP,1,25,0.7954545454545454,0.7927272727272727,0.27272727272726893
OpenBMI_ERP,1,29,0.8136363636363637,0.8078787878787879,0.575757575757585
OpenBMI_ERP,1,36,0.9512121212121212,0.95,0.12121212121212199
OpenBMI_ERP,1,37,0.9478787878787879,0.9515151515151515,-0.363636363636366
OpenBMI_ERP,1,39,0.7418181818181818,0.7448484848484849,-0.303030303030305
OpenBMI_ERP,1,42,0.8266666666666667,0.8260606060606062,0.060606060606049894
OpenBMI_ERP,1,51,0.7515151515151515,0.753030303030303,-0.15151515151515804
OpenBMI_ERP,1,54,0.7327272727272727,0.7215151515151514,1.1212121212121229
OpenBMI_ERP,2,4,0.9293939393939394,0.9284848484848485,0.09090909090909705
OpenBMI_ERP,2,12,0.9733333333333334,0.9736363636363636,-0.030303030303024947
OpenBMI_ERP,2,13,0.9363636363636364,0.9339393939393938,0.2424242424242551
OpenBMI_ERP,2,17,0.8327272727272728,0.8284848484848485,0.424242424242427
OpenBMI_ERP,2,18,0.9003030303030304,0.9048484848484848,-0.4545454545454408
OpenBMI_ERP,2,24,0.8475757575757576,0.8627272727272728,-1.5151515151515138
