task,arm,comparator,metric,biological_subjects,delta,ci95_lower,ci95_upper,bootstrap_replicates
OpenBMI_MI,LOCAL_CONSTRAINED_P,CE_ONLY_CONTINUATION,BA,20,0.006083333333333324,0.00124999999999999,0.01104166666666665,20000
OpenBMI_MI,LOCAL_CONSTRAINED_P,CE_ONLY_CONTINUATION,macro_F1,20,0.006499496510202258,0.0014651242265450737,0.01174193291491363,20000
OpenBMI_MI,LOCAL_CONSTRAINED_P,CE_ONLY_CONTINUATION,NLL,20,-0.009235502531131113,-0.014996424599861103,-0.0033677536218116684,20000
OpenBMI_MI,LOCAL_CONSTRAINED_P,CE_ONLY_CONTINUATION,worst_session_BA,20,0.007750000000000012,0.0015000000000000124,0.014416666666666699,20000
OpenBMI_MI,LOCAL_CONSTRAINED_P,BASELINE,BA,20,-0.008583333333333332,-0.01695833333333332,-0.0005416666666666625,20000
OpenBMI_MI,LOCAL_CONSTRAINED_P,BASELINE,macro_F1,20,-0.010196114563498731,-0.01972440459610632,-0.0008943443017191312,20000
OpenBMI_MI,LOCAL_CONSTRAINED_P,BASELINE,NLL,20,0.012174282254030305,-0.003390488683556517,0.028475498723952716,20000
OpenBMI_MI,LOCAL_CONSTRAINED_P,BASELINE,worst_session_BA,20,-0.0069999999999999785,-0.01749999999999998,0.0034166666666666846,20000
OpenBMI_MI,CE_ONLY_CONTINUATION,BASELINE,BA,20,-0.014666666666666656,-0.02462499999999999,-0.004666666666666647,20000
OpenBMI_MI,CE_ONLY_CONTINUATION,BASELINE,macro_F1,20,-0.01669561107370099,-0.02757211969470882,-0.005627753124674608,20000
OpenBMI_MI,CE_ONLY_CONTINUATION,BASELINE,NLL,20,0.021409784785161416,0.00189981440004583,0.04125504162395372,20000
OpenBMI_MI,CE_ONLY_CONTINUATION,BASELINE,worst_session_BA,20,-0.01474999999999999,-0.02774999999999996,-0.001081250000000169,20000
