task,fold,subject,session,is_future_session,arm,BA,macro_F1,NLL,trials
OpenBMI_MI,0,8,1,False,BASELINE,0.8200000000000001,0.8193496587715776,0.35484781861305237,100
OpenBMI_MI,0,8,1,False,CE_ONLY_CONTINUATION,0.76,0.7575757575757576,0.4582776725292206,100
OpenBMI_MI,0,8,1,False,LOCAL_CONSTRAINED_P,0.78,0.7785829307568438,0.42056384682655334,100
OpenBMI_MI,0,8,2,True,BASELINE,0.82,0.82,0.3999220132827759,100
OpenBMI_MI,0,8,2,True,CE_ONLY_CONTINUATION,0.75,0.7487689679429204,0.4663703441619873,100
OpenBMI_MI,0,8,2,True,LOCAL_CONSTRAINED_P,0.77,0.7694235588972431,0.4440911114215851,100
OpenBMI_MI,0,9,1,False,BASELINE,0.69,0.6846709388668497,0.629992663860321,100
OpenBMI_MI,0,9,1,False,CE_ONLY_CONTINUATION,0.64,0.6179966044142615,0.6716169118881226,100
OpenBMI_MI,0,9,1,False,LOCAL_CONSTRAINED_P,0.66,0.6458333333333333,0.6509102582931519,100
OpenBMI_MI,0,9,2,True,BASELINE,0.56,0.5592948717948718,0.947243332862854,100
OpenBMI_MI,0,9,2,True,CE_ONLY_CONTINUATION,0.52,0.5198079231692677,1.0034396648406982,100
OpenBMI_MI,0,9,2,True,LOCAL_CONSTRAINED_P,0.54,0.5398159263705482,0.9846788048744202,100
OpenBMI_MI,0,11,1,False,BASELINE,0.71,0.7013695808876532,0.649151623249054,100
OpenBMI_MI,0,11,1,False,CE_ONLY_CONTINUATION,0.67,0.648,0.8163544535636902,100
OpenBMI_MI,0,11,1,False,LOCAL_CONSTRAINED_P,0.67,0.6515679442508711,0.7513563632965088,100
OpenBMI_MI,0,11,2,True,BASELINE,0.6799999999999999,0.6666666666666666,0.6692366600036621,100
OpenBMI_MI,0,11,2,True,CE_ONLY_CONTINUATION,0.63,0.5960257670051315,0.8063048720359802,100
OpenBMI_MI,0,11,2,True,LOCAL_CONSTRAINED_P,0.62,0.5876736111111112,0.7651328444480896,100
OpenBMI_MI,0,14,1,False,BASELINE,0.6699999999999999,0.6624040920716112,0.6540834903717041,100
OpenBMI_MI,0,14,1,False,CE_ONLY_CONTINUATION,0.7,0.6899545266639107,0.7021108269691467,100
OpenBMI_MI,0,14,1,False,LOCAL_CONSTRAINED_P,0.69,0.6807743795695603,0.672065794467926,100
OpenBMI_MI,0,14,2,True,BASELINE,0.6699999999999999,0.6683750376846548,0.760894775390625,100
OpenBMI_MI,0,14,2,True,CE_ONLY_CONTINUATION,0.63,0.6254681647940075,0.8087798953056335,100
OpenBMI_MI,0,14,2,True,LOCAL_CONSTRAINED_P,0.69,0.6862030569895738,0.7866276502609253,100
OpenBMI_MI,0,19,1,False,BASELINE,0.76,0.7552019583843329,0.5314570069313049,100
OpenBMI_MI,0,19,1,False,CE_ONLY_CONTINUATION,0.78,0.7777777777777778,0.5570728778839111,100
OpenBMI_MI,0,19,1,False,LOCAL_CONSTRAINED_P,0.76,0.7552019583843329,0.5475088357925415,100
OpenBMI_MI,0,19,2,True,BASELINE,0.76,0.7591328783621036,0.5684944987297058,100
OpenBMI_MI,0,19,2,True,CE_ONLY_CONTINUATION,0.7,0.6995192307692308,0.6141761541366577,100
OpenBMI_MI,0,19,2,True,LOCAL_CONSTRAINED_P,0.72,0.7189883580891208,0.581057608127594,100
OpenBMI_MI,0,26,1,False,BASELINE,0.78,0.7756017951856384,0.5077369809150696,100
OpenBMI_MI,0,26,1,False,CE_ONLY_CONTINUATION,0.85,0.8487750781328763,0.4275915026664734,100
OpenBMI_MI,0,26,1,False,LOCAL_CONSTRAINED_P,0.82,0.8173701298701299,0.46076735854148865,100
OpenBMI_MI,0,26,2,True,BASELINE,0.86,0.86,0.3150796592235565,100
OpenBMI_MI,0,26,2,True,CE_ONLY_CONTINUATION,0.84,0.8399359743897559,0.31895774602890015,100
OpenBMI_MI,0,26,2,True,LOCAL_CONSTRAINED_P,0.84,0.84,0.3167858123779297,100
OpenBMI_MI,1,1,1,False,BASELINE,0.79,0.7898108297467721,0.5782501697540283,100
OpenBMI_MI,1,1,1,False,CE_ONLY_CONTINUATION,0.75,0.7469379491851402,0.6065239906311035,100
OpenBMI_MI,1,1,1,False,LOCAL_CONSTRAINED_P,0.75,0.7469379491851402,0.5929141044616699,100
OpenBMI_MI,1,1,2,True,BASELINE,0.76,0.7552019583843329,0.5711194276809692,100
OpenBMI_MI,1,1,2,True,CE_ONLY_CONTINUATION,0.71,0.69662098545873,0.7062912583351135,100
OpenBMI_MI,1,1,2,True,LOCAL_CONSTRAINED_P,0.7,0.6847414880201765,0.6787621378898621,100
OpenBMI_MI,1,8,1,False,BASELINE,0.79,0.7863899908452854,0.6442917585372925,100
OpenBMI_MI,1,8,1,False,CE_ONLY_CONTINUATION,0.73,0.7198879551820728,0.7817672491073608,100
OpenBMI_MI,1,8,1,False,LOCAL_CONSTRAINED_P,0.73,0.7198879551820728,0.7394406795501709,100
OpenBMI_MI,1,8,2,True,BASELINE,0.86,0.859775641025641,0.40969234704971313,100
OpenBMI_MI,1,8,2,True,CE_ONLY_CONTINUATION,0.8300000000000001,0.8286117552172598,0.48044419288635254,100
OpenBMI_MI,1,8,2,True,LOCAL_CONSTRAINED_P,0.8500000000000001,0.8492613807657522,0.46413570642471313,100
OpenBMI_MI,1,11,1,False,BASELINE,0.69,0.6783898744683059,0.6329461932182312,100
OpenBMI_MI,1,11,1,False,CE_ONLY_CONTINUATION,0.66,0.6458333333333333,0.6794250011444092,100
OpenBMI_MI,1,11,1,False,LOCAL_CONSTRAINED_P,0.69,0.6828644501278772,0.6340010166168213,100
OpenBMI_MI,1,11,2,True,BASELINE,0.7,0.6899545266639107,0.7077370285987854,100
OpenBMI_MI,1,11,2,True,CE_ONLY_CONTINUATION,0.7,0.6921182266009853,0.7849767804145813,100
OpenBMI_MI,1,11,2,True,LOCAL_CONSTRAINED_P,0.71,0.7033248081841432,0.7422950863838196,100
OpenBMI_MI,1,15,1,False,BASELINE,0.96,0.9599358974358975,0.12292357534170151,100
OpenBMI_MI,1,15,1,False,CE_ONLY_CONTINUATION,0.94,0.9397832195905259,0.16106319427490234,100
OpenBMI_MI,1,15,1,False,LOCAL_CONSTRAINED_P,0.95,0.949874686716792,0.14780232310295105,100
OpenBMI_MI,1,15,2,True,BASELINE,0.87,0.8689384010484928,0.31819474697113037,100
