task,fold,subject,session,arm,trials,P_raw_L2_movement_mean,P_standardized_RMS_movement_mean,P_movement_to_native_norm_ratio_mean,C_raw_L2_movement_mean,C_standardized_RMS_movement_mean,C_movement_to_native_norm_ratio_mean
OpenBMI_MI,0,8,1,CE_ONLY_CONTINUATION,100,2.6554203033447266,0.30318504571914673,0.2924310564994812,14.507590293884277,0.2664515972137451,0.22494828701019287
OpenBMI_MI,0,8,1,LOCAL_CONSTRAINED_P,100,0.30383431911468506,0.03158123791217804,0.032566651701927185,5.063258171081543,0.0918981060385704,0.07849746942520142
OpenBMI_MI,0,8,2,CE_ONLY_CONTINUATION,100,2.7858755588531494,0.3175200819969177,0.3027559518814087,15.076360702514648,0.2779804468154907,0.23089760541915894
OpenBMI_MI,0,8,2,LOCAL_CONSTRAINED_P,100,0.31014031171798706,0.03331485390663147,0.034038275480270386,5.149969577789307,0.09395170211791992,0.07891275733709335
OpenBMI_MI,0,9,1,CE_ONLY_CONTINUATION,100,1.4772415161132812,0.1655704528093338,0.3126164674758911,8.901788711547852,0.1654081493616104,0.2157072275876999
OpenBMI_MI,0,9,1,LOCAL_CONSTRAINED_P,100,0.24312442541122437,0.025719350203871727,0.05042021721601486,3.310389995574951,0.06097113713622093,0.08019546419382095
OpenBMI_MI,0,9,2,CE_ONLY_CONTINUATION,100,1.4218031167984009,0.15938714146614075,0.29852235317230225,8.99258041381836,0.1662837266921997,0.21221554279327393
OpenBMI_MI,0,9,2,LOCAL_CONSTRAINED_P,100,0.21741633117198944,0.023146558552980423,0.04521184042096138,3.329360008239746,0.06102825328707695,0.07844500243663788
OpenBMI_MI,0,11,1,CE_ONLY_CONTINUATION,100,1.263105869293213,0.13857394456863403,0.24562543630599976,8.95362663269043,0.1642463654279709,0.22086836397647858
OpenBMI_MI,0,11,1,LOCAL_CONSTRAINED_P,100,0.2534692883491516,0.026202650740742683,0.048895806074142456,3.226710319519043,0.05870659276843071,0.07949361205101013
OpenBMI_MI,0,11,2,CE_ONLY_CONTINUATION,100,1.437746286392212,0.16070964932441711,0.2611704170703888,9.921546936035156,0.18205760419368744,0.22659239172935486
OpenBMI_MI,0,11,2,LOCAL_CONSTRAINED_P,100,0.23464025557041168,0.024693312123417854,0.042430330067873,3.573793411254883,0.06496811658143997,0.08162017911672592
OpenBMI_MI,0,14,1,CE_ONLY_CONTINUATION,100,1.5838183164596558,0.17971017956733704,0.3266935348510742,9.580039024353027,0.17673279345035553,0.21683575212955475
OpenBMI_MI,0,14,1,LOCAL_CONSTRAINED_P,100,0.2361987680196762,0.025088686496019363,0.04901605471968651,3.548135995864868,0.06485848873853683,0.0804908275604248
OpenBMI_MI,0,14,2,CE_ONLY_CONTINUATION,100,1.7693134546279907,0.19963957369327545,0.2953493595123291,10.442767143249512,0.19240187108516693,0.21890516579151154
OpenBMI_MI,0,14,2,LOCAL_CONSTRAINED_P,100,0.26284658908843994,0.028013013303279877,0.04424962028861046,3.786245107650757,0.06911947578191757,0.0796930193901062
OpenBMI_MI,0,19,1,CE_ONLY_CONTINUATION,100,1.471311330795288,0.16758999228477478,0.30189985036849976,9.0512113571167,0.16780173778533936,0.22105272114276886
OpenBMI_MI,0,19,1,LOCAL_CONSTRAINED_P,100,0.17973333597183228,0.019355956465005875,0.03737452253699303,3.2565114498138428,0.059806857258081436,0.07955002039670944
OpenBMI_MI,0,19,2,CE_ONLY_CONTINUATION,100,1.366186261177063,0.15525983273983002,0.30076760053634644,8.884098052978516,0.1642998307943344,0.22173166275024414
OpenBMI_MI,0,19,2,LOCAL_CONSTRAINED_P,100,0.18464341759681702,0.01985962688922882,0.040749069303274155,3.193643569946289,0.0585048645734787,0.0797649696469307
OpenBMI_MI,0,26,1,CE_ONLY_CONTINUATION,100,1.935393214225769,0.21857786178588867,0.2604990005493164,12.401208877563477,0.22778917849063873,0.2283099889755249
OpenBMI_MI,0,26,1,LOCAL_CONSTRAINED_P,100,0.254595011472702,0.027292566373944283,0.03379490226507187,4.528156280517578,0.08230754733085632,0.08345464617013931
OpenBMI_MI,0,26,2,CE_ONLY_CONTINUATION,100,2.5335991382598877,0.27883264422416687,0.2028059959411621,16.769197463989258,0.30504125356674194,0.2348889857530594
OpenBMI_MI,0,26,2,LOCAL_CONSTRAINED_P,100,0.43518975377082825,0.04630869999527931,0.035174332559108734,5.877825736999512,0.10572831332683563,0.08231285959482193
OpenBMI_MI,1,1,1,CE_ONLY_CONTINUATION,100,1.3471449613571167,0.14405010640621185,0.15678925812244415,13.958934783935547,0.24745287001132965,0.20961439609527588
OpenBMI_MI,1,1,1,LOCAL_CONSTRAINED_P,100,0.3643273413181305,0.03657049313187599,0.04189322516322136,4.87664270401001,0.08687411993741989,0.07318286597728729
OpenBMI_MI,1,1,2,CE_ONLY_CONTINUATION,100,1.2576470375061035,0.13462136685848236,0.15215030312538147,13.093133926391602,0.2313942164182663,0.20643924176692963
OpenBMI_MI,1,1,2,LOCAL_CONSTRAINED_P,100,0.3743091821670532,0.03750182315707207,0.04459556192159653,4.605962753295898,0.08182403445243835,0.07258803397417068
OpenBMI_MI,1,8,1,CE_ONLY_CONTINUATION,100,1.5546836853027344,0.162061408162117,0.1429029405117035,14.23708724975586,0.25236621499061584,0.201416477560997
OpenBMI_MI,1,8,1,LOCAL_CONSTRAINED_P,100,0.43331053853034973,0.04266580939292908,0.03981374576687813,4.830131530761719,0.08604209870100021,0.06852949410676956
OpenBMI_MI,1,8,2,CE_ONLY_CONTINUATION,100,1.289186716079712,0.13540813326835632,0.14562740921974182,13.452519416809082,0.23937512934207916,0.2147660255432129
OpenBMI_MI,1,8,2,LOCAL_CONSTRAINED_P,100,0.3529747426509857,0.03562355786561966,0.04094383865594864,4.583443641662598,0.08177337050437927,0.0732894316315651
OpenBMI_MI,1,11,1,CE_ONLY_CONTINUATION,100,0.7077444195747375,0.07608545571565628,0.15691442787647247,7.440212249755859,0.132613405585289,0.18877319991588593
OpenBMI_MI,1,11,1,LOCAL_CONSTRAINED_P,100,0.19380313158035278,0.01970776729285717,0.04393920302391052,2.8304364681243896,0.05051866173744202,0.0718519389629364
OpenBMI_MI,1,11,2,CE_ONLY_CONTINUATION,100,0.7250298261642456,0.07892811298370361,0.14278551936149597,8.344161033630371,0.1484680026769638,0.19592371582984924
OpenBMI_MI,1,11,2,LOCAL_CONSTRAINED_P,100,0.19971786439418793,0.02059369720518589,0.03887142986059189,3.070284366607666,0.05475570634007454,0.07221328467130661
OpenBMI_MI,1,15,1,CE_ONLY_CONTINUATION,100,0.9414517879486084,0.10093154013156891,0.12615643441677094,9.091602325439453,0.16111963987350464,0.20721769332885742
OpenBMI_MI,1,15,1,LOCAL_CONSTRAINED_P,100,0.23835714161396027,0.024159425869584084,0.03211502730846405,3.299067974090576,0.05847248435020447,0.07540201395750046
OpenBMI_MI,1,15,2,CE_ONLY_CONTINUATION,100,1.166543960571289,0.12779396772384644,0.15813569724559784,11.302380561828613,0.20078039169311523,0.21602196991443634
