task,fold,subject,session,variant,suffix,label,BA,macro_F1,NLL,trials
OpenBMI_MI,0,8,1,BASE,original_frozen_SIRE_suffix,POST_HOC_TRANSPLANT_DIAGNOSTIC,0.8200000000000001,0.8193496587715776,0.35484781861305237,100
OpenBMI_MI,0,8,1,FULL_STUDENT,original_frozen_SIRE_suffix,POST_HOC_TRANSPLANT_DIAGNOSTIC,0.78,0.7785829307568438,0.42056384682655334,100
OpenBMI_MI,0,8,1,P_ONLY_CHANGE,original_frozen_SIRE_suffix,POST_HOC_TRANSPLANT_DIAGNOSTIC,0.8200000000000001,0.8193496587715776,0.36085137724876404,100
OpenBMI_MI,0,8,1,C_ONLY_CHANGE,original_frozen_SIRE_suffix,POST_HOC_TRANSPLANT_DIAGNOSTIC,0.78,0.7785829307568438,0.4108758866786957,100
OpenBMI_MI,0,8,2,BASE,original_frozen_SIRE_suffix,POST_HOC_TRANSPLANT_DIAGNOSTIC,0.82,0.82,0.3999220132827759,100
OpenBMI_MI,0,8,2,FULL_STUDENT,original_frozen_SIRE_suffix,POST_HOC_TRANSPLANT_DIAGNOSTIC,0.77,0.7694235588972431,0.4440911114215851,100
OpenBMI_MI,0,8,2,P_ONLY_CHANGE,original_frozen_SIRE_suffix,POST_HOC_TRANSPLANT_DIAGNOSTIC,0.83,0.8299829982998299,0.4013119041919708,100
OpenBMI_MI,0,8,2,C_ONLY_CHANGE,original_frozen_SIRE_suffix,POST_HOC_TRANSPLANT_DIAGNOSTIC,0.77,0.7694235588972431,0.43941253423690796,100
OpenBMI_MI,0,9,1,BASE,original_frozen_SIRE_suffix,POST_HOC_TRANSPLANT_DIAGNOSTIC,0.69,0.6846709388668497,0.629992663860321,100
OpenBMI_MI,0,9,1,FULL_STUDENT,original_frozen_SIRE_suffix,POST_HOC_TRANSPLANT_DIAGNOSTIC,0.66,0.6458333333333333,0.6509102582931519,100
OpenBMI_MI,0,9,1,P_ONLY_CHANGE,original_frozen_SIRE_suffix,POST_HOC_TRANSPLANT_DIAGNOSTIC,0.6799999999999999,0.6692848284415047,0.6346496343612671,100
OpenBMI_MI,0,9,1,C_ONLY_CHANGE,original_frozen_SIRE_suffix,POST_HOC_TRANSPLANT_DIAGNOSTIC,0.6799999999999999,0.6715927750410509,0.6415204405784607,100
OpenBMI_MI,0,9,2,BASE,original_frozen_SIRE_suffix,POST_HOC_TRANSPLANT_DIAGNOSTIC,0.56,0.5592948717948718,0.947243332862854,100
OpenBMI_MI,0,9,2,FULL_STUDENT,original_frozen_SIRE_suffix,POST_HOC_TRANSPLANT_DIAGNOSTIC,0.54,0.5398159263705482,0.9846788048744202,100
OpenBMI_MI,0,9,2,P_ONLY_CHANGE,original_frozen_SIRE_suffix,POST_HOC_TRANSPLANT_DIAGNOSTIC,0.5700000000000001,0.5699569956995699,0.9462110996246338,100
OpenBMI_MI,0,9,2,C_ONLY_CHANGE,original_frozen_SIRE_suffix,POST_HOC_TRANSPLANT_DIAGNOSTIC,0.53,0.52995299529953,0.9823005199432373,100
OpenBMI_MI,0,11,1,BASE,original_frozen_SIRE_suffix,POST_HOC_TRANSPLANT_DIAGNOSTIC,0.71,0.7013695808876532,0.649151623249054,100
OpenBMI_MI,0,11,1,FULL_STUDENT,original_frozen_SIRE_suffix,POST_HOC_TRANSPLANT_DIAGNOSTIC,0.67,0.6515679442508711,0.7513563632965088,100
OpenBMI_MI,0,11,1,P_ONLY_CHANGE,original_frozen_SIRE_suffix,POST_HOC_TRANSPLANT_DIAGNOSTIC,0.7,0.6899545266639107,0.6624755263328552,100
OpenBMI_MI,0,11,1,C_ONLY_CHANGE,original_frozen_SIRE_suffix,POST_HOC_TRANSPLANT_DIAGNOSTIC,0.69,0.6756982948007113,0.7295153737068176,100
OpenBMI_MI,0,11,2,BASE,original_frozen_SIRE_suffix,POST_HOC_TRANSPLANT_DIAGNOSTIC,0.6799999999999999,0.6666666666666666,0.6692366600036621,100
OpenBMI_MI,0,11,2,FULL_STUDENT,original_frozen_SIRE_suffix,POST_HOC_TRANSPLANT_DIAGNOSTIC,0.62,0.5876736111111112,0.7651328444480896,100
OpenBMI_MI,0,11,2,P_ONLY_CHANGE,original_frozen_SIRE_suffix,POST_HOC_TRANSPLANT_DIAGNOSTIC,0.67,0.6515679442508711,0.6786112785339355,100
OpenBMI_MI,0,11,2,C_ONLY_CHANGE,original_frozen_SIRE_suffix,POST_HOC_TRANSPLANT_DIAGNOSTIC,0.62,0.5876736111111112,0.7472784519195557,100
OpenBMI_MI,0,14,1,BASE,original_frozen_SIRE_suffix,POST_HOC_TRANSPLANT_DIAGNOSTIC,0.6699999999999999,0.6624040920716112,0.6540834903717041,100
OpenBMI_MI,0,14,1,FULL_STUDENT,original_frozen_SIRE_suffix,POST_HOC_TRANSPLANT_DIAGNOSTIC,0.69,0.6807743795695603,0.672065794467926,100
