task,fold,arm,biological_subjects,BA,macro_F1,NLL,future_session_BA,worst_session_BA,delta_BA_vs_CE,delta_BA_ci95_lower,delta_BA_ci95_upper
OpenBMI_MI,0,BASELINE,6,0.7316666666666668,0.7276722898896634,0.5823450436194738,0.725,0.7116666666666666,,,
OpenBMI_MI,0,CE_ONLY_CONTINUATION,6,0.7058333333333332,0.6974671477195749,0.6375877435008684,0.6783333333333332,0.6783333333333332,,,
OpenBMI_MI,0,LOCAL_CONSTRAINED_P,6,0.7133333333333334,0.7059529323018889,0.6151288573940595,0.6966666666666667,0.6933333333333334,0.0074999999999999884,-0.004166666666666689,0.018333333333333313
OpenBMI_MI,1,BASELINE,6,0.805,0.8015493389307439,0.474824591850241,0.7999999999999999,0.7783333333333333,,,
OpenBMI_MI,1,CE_ONLY_CONTINUATION,6,0.7875,0.7822487553946514,0.5344268108407656,0.7916666666666666,0.765,,,
OpenBMI_MI,1,LOCAL_CONSTRAINED_P,6,0.7958333333333333,0.7913298935526446,0.5126294965545336,0.7999999999999999,0.7683333333333334,0.00833333333333336,-0.0008333333333332785,0.017500000000000016
OpenBMI_MI,2,BASELINE,6,0.7941666666666668,0.7875259035675807,0.5424843213210503,0.7716666666666668,0.7466666666666666,,,
OpenBMI_MI,2,CE_ONLY_CONTINUATION,6,0.7833333333333333,0.7743355465649512,0.5654589806993803,0.75,0.735,,,
OpenBMI_MI,2,LOCAL_CONSTRAINED_P,6,0.7883333333333332,0.7800146472268934,0.5570870793114105,0.7599999999999999,0.7466666666666667,0.0050000000000000044,-0.005833333333333339,0.01666666666666668
OpenBMI_MI,3,BASELINE,6,0.7783333333333333,0.77074383221137,0.5761105883866549,0.7783333333333333,0.7616666666666666,,,
OpenBMI_MI,3,CE_ONLY_CONTINUATION,6,0.7716666666666665,0.7622066572189455,0.5684703874091307,0.765,0.7549999999999999,,,
OpenBMI_MI,3,LOCAL_CONSTRAINED_P,6,0.775,0.7656524703029833,0.5753192994743586,0.7666666666666666,0.7566666666666667,0.003333333333333355,-0.0074999999999999884,0.011666666666666678
OpenBMI_MI,4,BASELINE,6,0.7391666666666666,0.7308948452646749,0.6463532783091068,0.7433333333333333,0.7033333333333333,,,
OpenBMI_MI,4,CE_ONLY_CONTINUATION,6,0.7316666666666668,0.7219603312352291,0.6534424771865209,0.735,0.7000000000000001,,,
OpenBMI_MI,4,LOCAL_CONSTRAINED_P,6,0.7316666666666666,0.7219514139660972,0.6452402099967003,0.7283333333333332,0.7016666666666667,-3.700743415417188e-17,-0.005833333333333357,0.005833333333333283
