task,fold,arm,epoch,trials,CE,LP,LC,total_loss,mean_teacher_weight_in_batches,P_drift_standardized_rms,C_drift_standardized_rms,optimizer_steps_cumulative,batch_order_manifest_sha256
OpenBMI_MI,0,CE_ONLY_CONTINUATION,1,5200,0.3295231642631384,0.0,0.0,0.3295231642631384,0.0038217285103522816,0.019289377406906064,0.024819969085231586,82,74d257c3287db801f744bac1915e6fb12e80f825b9b325f7d7f0829fb95a0ab9
OpenBMI_MI,0,CE_ONLY_CONTINUATION,2,5200,0.32204506177168624,0.0,0.0,0.32204506177168624,0.0038217285418739684,0.04339987592055247,0.05164526728483347,164,74d257c3287db801f744bac1915e6fb12e80f825b9b325f7d7f0829fb95a0ab9
OpenBMI_MI,0,CE_ONLY_CONTINUATION,3,5200,0.3171292017056392,0.0,0.0,0.3171292017056392,0.0038217285447395763,0.055774656809293305,0.0672989141024076,246,74d257c3287db801f744bac1915e6fb12e80f825b9b325f7d7f0829fb95a0ab9
OpenBMI_MI,0,CE_ONLY_CONTINUATION,4,5200,0.3141716599005919,0.0,0.0,0.3141716599005919,0.003821728550470792,0.07101321967748495,0.08274678292182776,328,74d257c3287db801f744bac1915e6fb12e80f825b9b325f7d7f0829fb95a0ab9
OpenBMI_MI,0,CE_ONLY_CONTINUATION,5,5200,0.31188060467059797,0.0,0.0,0.31188060467059797,0.0038217285347099486,0.08508727766000307,0.09492310950389275,410,74d257c3287db801f744bac1915e6fb12e80f825b9b325f7d7f0829fb95a0ab9
OpenBMI_MI,0,CE_ONLY_CONTINUATION,6,5200,0.30980239923183733,0.0,0.0,0.30980239923183733,0.0038217285375755565,0.09480769959779886,0.10735602839634968,492,74d257c3287db801f744bac1915e6fb12e80f825b9b325f7d7f0829fb95a0ab9
OpenBMI_MI,0,CE_ONLY_CONTINUATION,7,5200,0.3077741334988521,0.0,0.0,0.3077741334988521,0.003821728523247517,0.10417943271306845,0.11569158448622777,574,74d257c3287db801f744bac1915e6fb12e80f825b9b325f7d7f0829fb95a0ab9
OpenBMI_MI,0,CE_ONLY_CONTINUATION,8,5200,0.3059282719171964,0.0,0.0,0.3059282719171964,0.0038217285375755565,0.11380892395973205,0.12499408643979293,656,74d257c3287db801f744bac1915e6fb12e80f825b9b325f7d7f0829fb95a0ab9
OpenBMI_MI,0,CE_ONLY_CONTINUATION,9,5200,0.3045808838880979,0.0,0.0,0.3045808838880979,0.0038217285275459287,0.12363138157587784,0.13599372666615706,738,74d257c3287db801f744bac1915e6fb12e80f825b9b325f7d7f0829fb95a0ab9
OpenBMI_MI,0,CE_ONLY_CONTINUATION,10,5200,0.30305507861650904,0.0,0.0,0.30305507861650904,0.003821728559067616,0.13509681509091304,0.14436045582477863,820,74d257c3287db801f744bac1915e6fb12e80f825b9b325f7d7f0829fb95a0ab9
OpenBMI_MI,0,CE_ONLY_CONTINUATION,11,5200,0.3015250421487368,0.0,0.0,0.3015250421487368,0.0038217285132178896,0.14333366284003624,0.1519807683963042,902,74d257c3287db801f744bac1915e6fb12e80f825b9b325f7d7f0829fb95a0ab9
OpenBMI_MI,0,CE_ONLY_CONTINUATION,12,5200,0.30039469049527096,0.0,0.0,0.30039469049527096,0.0038217285304115367,0.14982454015658453,0.15934418063897354,984,74d257c3287db801f744bac1915e6fb12e80f825b9b325f7d7f0829fb95a0ab9
OpenBMI_MI,0,CE_ONLY_CONTINUATION,13,5200,0.2990528942071474,0.0,0.0,0.2990528942071474,0.0038217285361427525,0.16002209544181822,0.1667854123849135,1066,74d257c3287db801f744bac1915e6fb12e80f825b9b325f7d7f0829fb95a0ab9
