version,candidate,stage,lambda_geometry,lambda_drift,learning_rate,bottleneck,mean_method_BA,mean_control_BA,mean_delta_BA,delta_std,positive_inner_folds,median_method_epoch,median_control_epoch,stage1_rank
V0,V0__lg0.03__ld0.1__lr0.0003__b8,stage1,0.03,0.1,0.0003,8,0.8414523809523811,0.8407857142857142,0.000666666666666682,0.001672777911452422,3,0,0,4
V0,V0__lg0.1__ld0.1__lr0.0003__b8,stage1,0.1,0.1,0.0003,8,0.8417619047619047,0.8407857142857142,0.0009761904761904638,0.002508940928060888,3,0,0,3
V0,V0__lg0.3__ld0.1__lr0.0003__b8,stage1,0.3,0.1,0.0003,8,0.8423809523809525,0.8403571428571428,0.002023809523809539,0.002566573900611764,3,0,0,1
V0,V0__lg1__ld0.1__lr0.0003__b8,stage1,1.0,0.1,0.0003,8,0.8420714285714285,0.8407857142857142,0.00128571428571429,0.0028356333201827915,3,3,0,2
V0,V0__lg0.3__ld0.01__lr0.0001__b8,stage2,0.3,0.01,0.0001,8,0.8413809523809525,0.8409761904761904,0.00040476190476195216,0.0008895972234414081,2,1,2,1
V0,V0__lg0.3__ld0.01__lr0.0003__b8,stage2,0.3,0.01,0.0003,8,0.8423809523809525,0.8403571428571428,0.002023809523809539,0.002566573900611764,3,0,0,1
V0,V0__lg0.3__ld0.1__lr0.0001__b8,stage2,0.3,0.1,0.0001,8,0.8413809523809525,0.8409761904761904,0.00040476190476195216,0.0008895972234414081,2,1,2,1
V0,V0__lg0.3__ld0.1__lr0.0003__b8,stage2,0.3,0.1,0.0003,8,0.8423809523809525,0.8403571428571428,0.002023809523809539,0.002566573900611764,3,0,0,1
V0,V0__lg1__ld0.01__lr0.0001__b8,stage2,1.0,0.01,0.0001,8,0.8419761904761905,0.8409761904761904,0.001000000000000023,0.0008571428571428637,3,2,2,2
V0,V0__lg1__ld0.01__lr0.0003__b8,stage2,1.0,0.01,0.0003,8,0.8420714285714285,0.8407857142857142,0.00128571428571429,0.0028356333201827915,3,3,0,2
V0,V0__lg1__ld0.1__lr0.0001__b8,stage2,1.0,0.1,0.0001,8,0.8419761904761905,0.8409761904761904,0.001000000000000023,0.0008571428571428637,3,2,2,2
V0,V0__lg1__ld0.1__lr0.0003__b8,stage2,1.0,0.1,0.0003,8,0.8420714285714285,0.8407857142857142,0.00128571428571429,0.0028356333201827915,3,3,0,2
