subject,method_BA,control_BA,delta_BA
11,0.61,0.61,0.0
17,0.75,0.75,0.0
19,0.75,0.75,0.0
22,0.735,0.735,0.0
3,0.91,0.9,0.010000000000000009
38,0.7050000000000001,0.7050000000000001,0.0
40,0.725,0.735,-0.010000000000000009
50,0.525,0.525,0.0
7,0.6799999999999999,0.675,0.004999999999999893
