epoch,method_strict_inductive_BA,control_strict_inductive_BA,method_loss,control_loss,geometry_loss,drift_loss,steps,elapsed_seconds
0,0.7050000000000001,0.7055555555555555,1.8078764257296709,0.3723575626040848,4.785393909669258,6.12221943179882e-05,71,2.2046189308166504
1,0.7,0.6966666666666667,1.7560413672890463,0.3597155118912039,4.653089513241405,0.0005466995045909999,71,4.441868305206299
2,0.7066666666666667,0.7033333333333334,1.7668428555340834,0.3618192819642349,4.677267558138135,0.0018377942820145211,71,6.619392395019531
3,0.7038888888888889,0.7083333333333333,1.782908341414492,0.3815653612706023,4.6556523685723965,0.004273339994514073,71,8.84052300453186
4,0.7038888888888889,0.7033333333333334,1.700019681117904,0.39657496209715454,4.319004302293482,0.008297077429310327,71,10.984757900238037
5,0.7050000000000001,0.7044444444444444,1.5744657524874512,0.37692787026015806,3.963939628130953,0.01440539903623957,71,13.163187026977539
6,0.701111111111111,0.7016666666666667,1.4586891380833908,0.3573993971230279,3.6277507644304086,0.022341985137424837,71,15.325084209442139
7,0.7,0.7061111111111111,1.4093665614934034,0.36401375267707126,3.4430988859122906,0.03197870183158928,71,17.503182649612427
8,0.6961111111111111,0.7005555555555556,1.2798215354412374,0.3489166821392489,3.0618953637673822,0.045487142023696026,71,19.665766716003418
9,0.7033333333333334,0.7050000000000001,1.221139263099348,0.3441845457738554,2.856499606454876,0.06345439980357466,71,21.813018798828125
10,0.7,0.7038888888888889,1.2157179012265005,0.35660266960170905,2.799420029344693,0.07902826856769307,71,24.01981496810913
11,0.7016666666666667,0.7055555555555555,1.2309155119976527,0.3762548322408972,2.773991869369023,0.09695915993250592,71,26.148939609527588
12,0.695,0.6983333333333334,1.1638188450269296,0.3690755052465788,2.574436191941651,0.11172806356154696,71,28.349082231521606
13,0.6972222222222222,0.6977777777777778,1.1080203127693122,0.36067453887261136,2.4044193407179604,0.14451963339053409,71,30.47009515762329
14,0.6961111111111111,0.7044444444444444,1.0206574344299209,0.3522118092842505,2.1354132680825786,0.1677542004576871,71,32.676114559173584
15,0.6972222222222222,0.6994444444444444,1.0202863812446594,0.36878775354002563,2.0662809236788413,0.1822244756868188,71,34.881083726882935
16,0.6944444444444444,0.7011111111111111,0.988122433843747,0.3628731067751495,1.976295874991887,0.22112190670950313,71,37.1013879776001
17,0.6933333333333334,0.6966666666666667,0.9260376175524483,0.3538606026223008,1.7818438007797994,0.22998744753045094,71,39.27411198616028
18,0.6961111111111111,0.701111111111111,1.0159796606486953,0.37158273517245977,2.0205453239696127,0.2564157868774844,71,41.45541214942932
19,0.7016666666666667,0.7038888888888889,0.9745118042952577,0.3643900666018607,1.8892323634993862,0.289190304111427,71,43.63727259635925
20,0.6933333333333334,0.7044444444444444,0.8308121125463029,0.36140847436978785,1.4287228536018184,0.3134293497448236,71,45.8545286655426
21,0.6950000000000001,0.6972222222222222,0.9155593631972729,0.36108112775943646,1.6887637511105604,0.3320607391881271,71,48.08310556411743
22,0.6938888888888889,0.7022222222222223,0.7929861121614215,0.35649155563032126,1.2948190725185502,0.35515095398459634,71,50.27535939216614
23,0.6944444444444444,0.7005555555555556,0.9002334143913967,0.3667085305066176,1.6158189018007736,0.3854957338370068,71,52.524707078933716
