regime,task,fold,selected_epoch,epoch0_inner_val_BA,selected_inner_val_BA,selected_delta_BA,selected_delta_BA_pp,status,early_stop_epoch,patience,selected_checkpoint,selected_eligible
XRA_G1_ADAPTER_SCALE,OpenBMI_ERP,0,4,0.8751515151515151,0.8759090909090909,0.0007575757575757347,0.07575757575757347,positive,9,5,/root/rivermind-data/xinit_residual_adapter_seed0_single_inner_runtime/stage_a/xra_g1_adapter_scale/openbmi_erp/fold0/split0/best.pt,True
XRA_G1_ADAPTER_SCALE,OpenBMI_ERP,1,0,0.832979797979798,0.832979797979798,0.0,0.0,zero,5,5,/root/rivermind-data/xinit_residual_adapter_seed0_single_inner_runtime/stage_a/xra_g1_adapter_scale/openbmi_erp/fold1/split0/best.pt,True
XRA_G1_ADAPTER_SCALE,OpenBMI_ERP,2,0,0.7990909090909092,0.7990909090909092,0.0,0.0,zero,5,5,/root/rivermind-data/xinit_residual_adapter_seed0_single_inner_runtime/stage_a/xra_g1_adapter_scale/openbmi_erp/fold2/split0/best.pt,True
XRA_G1_ADAPTER_SCALE,OpenBMI_ERP,3,2,0.8388888888888889,0.8399999999999999,0.0011111111111109517,0.11111111111109517,positive,7,5,/root/rivermind-data/xinit_residual_adapter_seed0_single_inner_runtime/stage_a/xra_g1_adapter_scale/openbmi_erp/fold3/split0/best.pt,True
XRA_G1_ADAPTER_SCALE,OpenBMI_ERP,4,5,0.8256565656565656,0.8276767676767677,0.002020202020202033,0.20202020202020332,positive,10,5,/root/rivermind-data/xinit_residual_adapter_seed0_single_inner_runtime/stage_a/xra_g1_adapter_scale/openbmi_erp/fold4/split0/best.pt,True
XRA_G1_ADAPTER_SCALE,OpenBMI_MI,0,0,0.7616666666666667,0.7616666666666667,0.0,0.0,zero,5,5,/root/rivermind-data/xinit_residual_adapter_seed0_single_inner_runtime/stage_a/xra_g1_adapter_scale/openbmi_mi/fold0/split0/best.pt,True
XRA_G1_ADAPTER_SCALE,OpenBMI_MI,1,0,0.8133333333333334,0.8133333333333334,0.0,0.0,zero,5,5,/root/rivermind-data/xinit_residual_adapter_seed0_single_inner_runtime/stage_a/xra_g1_adapter_scale/openbmi_mi/fold1/split0/best.pt,True
XRA_G1_ADAPTER_SCALE,OpenBMI_MI,2,0,0.8033333333333333,0.8033333333333333,0.0,0.0,zero,5,5,/root/rivermind-data/xinit_residual_adapter_seed0_single_inner_runtime/stage_a/xra_g1_adapter_scale/openbmi_mi/fold2/split0/best.pt,True
XRA_G1_ADAPTER_SCALE,OpenBMI_MI,3,0,0.8249999999999998,0.8249999999999998,0.0,0.0,zero,5,5,/root/rivermind-data/xinit_residual_adapter_seed0_single_inner_runtime/stage_a/xra_g1_adapter_scale/openbmi_mi/fold3/split0/best.pt,True
XRA_G1_ADAPTER_SCALE,OpenBMI_MI,4,0,0.7616666666666667,0.7616666666666667,0.0,0.0,zero,5,5,/root/rivermind-data/xinit_residual_adapter_seed0_single_inner_runtime/stage_a/xra_g1_adapter_scale/openbmi_mi/fold4/split0/best.pt,True
