task,folds,task_mean_delta_pp,positive_folds,zero_folds,negative_folds
OpenBMI_ERP,5,0.07777777777777439,3,2,0
OpenBMI_MI,5,0.0,0,5,0
OpenBMI_SSVEP,5,0.09999999999999788,1,4,0
WBCIC_MI,5,0.05999999999999784,3,2,0
