task,cohort,comparison,positive_subjects,negative_subjects,tied_subjects,bootstrap_ci_low_pp,bootstrap_ci_high_pp,resamples
WBCIC_MI,OUTER,MS4-B0,16,12,3,-0.9351580319322227,0.5808080808080831,10000
WBCIC_MI,OUTER,MS4-C0,13,15,3,-1.016332681655262,0.516511893124793,10000
WBCIC_MI,INTERNAL_HELDOUT,MS4-B0,5,5,0,-0.22999999999999243,0.9100000000000097,10000
WBCIC_MI,INTERNAL_HELDOUT,MS4-C0,5,5,0,-0.34999999999999587,0.5500000000000027,10000
