task,fold,precision,loss_exact,max_abs_loss_diff,gradients_exact,max_abs_gradient_diff,model_state_exact,max_abs_model_state_diff,main_rng_exact,secondary_after_B_exact,scaler_exact,status
WBCIC_MI,0,AMP_FP16,True,0.0,True,0.0,True,0.0,True,True,True,PASS
WBCIC_MI,0,FP32,True,0.0,True,0.0,True,0.0,True,True,True,PASS
WBCIC_MI,1,AMP_FP16,True,0.0,True,0.0,True,0.0,True,True,True,PASS
WBCIC_MI,1,FP32,True,0.0,True,0.0,True,0.0,True,True,True,PASS
WBCIC_MI,2,AMP_FP16,True,0.0,True,0.0,True,0.0,True,True,True,PASS
WBCIC_MI,2,FP32,True,0.0,True,0.0,True,0.0,True,True,True,PASS
WBCIC_MI,3,AMP_FP16,True,0.0,True,0.0,True,0.0,True,True,True,PASS
WBCIC_MI,3,FP32,True,0.0,True,0.0,True,0.0,True,True,True,PASS
WBCIC_MI,4,AMP_FP16,True,0.0,True,0.0,True,0.0,True,True,True,PASS
WBCIC_MI,4,FP32,True,0.0,True,0.0,True,0.0,True,True,True,PASS
