task,fold,method,subjects,BA,macro_F1,accuracy,selected_epoch,selected_inner_val_BA,MS4_minus_B0_BA_pp,MS4_minus_C0_BA_pp
WBCIC_MI,0,B0_Exact_LiteBN,7,0.7871428571428571,0.7848240946364273,0.7871428571428571,36,0.6876994949494949,-0.5000000000000004,-0.28571428571428914
WBCIC_MI,0,C0_LiteBN_DualCE,7,0.785,0.7847933936230197,0.785,36,0.6966893939393939,-0.5000000000000004,-0.28571428571428914
WBCIC_MI,0,MS4_LiteBN_FourSampleCE,7,0.7821428571428571,0.7817491791986079,0.7821428571428571,35,0.6997108585858586,-0.5000000000000004,-0.28571428571428914
WBCIC_MI,1,B0_Exact_LiteBN,6,0.7774999999999999,0.7653097944712327,0.7775,46,0.8926792929292929,0.33333333333335213,-0.5833333333333246
WBCIC_MI,1,C0_LiteBN_DualCE,6,0.7866666666666666,0.7725198299830337,0.7866666666666666,39,0.8916704545454547,0.33333333333335213,-0.5833333333333246
WBCIC_MI,1,MS4_LiteBN_FourSampleCE,6,0.7808333333333334,0.770555006622137,0.7808333333333334,46,0.8886060606060605,0.33333333333335213,-0.5833333333333246
WBCIC_MI,2,B0_Exact_LiteBN,6,0.7525000000000001,0.7509868754740777,0.7525,56,0.8879999999999999,0.5833333333333246,-0.6666666666666821
WBCIC_MI,2,C0_LiteBN_DualCE,6,0.7650000000000001,0.7641355371569253,0.765,50,0.8880000000000001,0.5833333333333246,-0.6666666666666821
WBCIC_MI,2,MS4_LiteBN_FourSampleCE,6,0.7583333333333333,0.7576002690519611,0.7583333333333333,56,0.8880000000000001,0.5833333333333246,-0.6666666666666821
WBCIC_MI,3,B0_Exact_LiteBN,6,0.848917297979798,0.8481250390819112,0.8488675213675214,44,0.749,-0.8324915824915902,0.08228114478112669
WBCIC_MI,3,C0_LiteBN_DualCE,6,0.8397695707070708,0.8348958796684897,0.8396153846153847,33,0.7550000000000001,-0.8324915824915902,0.08228114478112669
WBCIC_MI,3,MS4_LiteBN_FourSampleCE,6,0.8405923821548821,0.840206835682244,0.8405555555555555,51,0.763,-0.8324915824915902,0.08228114478112669
WBCIC_MI,4,B0_Exact_LiteBN,6,0.7858333333333333,0.779940226425874,0.7858333333333333,55,0.7609999999999999,-0.24999999999997247,0.16666666666668162
WBCIC_MI,4,C0_LiteBN_DualCE,6,0.7816666666666667,0.7769209125424016,0.7816666666666667,44,0.767,-0.24999999999997247,0.16666666666668162
WBCIC_MI,4,MS4_LiteBN_FourSampleCE,6,0.7833333333333335,0.777622193509873,0.7833333333333335,38,0.767,-0.24999999999997247,0.16666666666668162
