data_status,task,cohort,comparison,left_method,right_method,left_BA,right_BA,delta_pp,positive_subjects,negative_subjects,tied_subjects,bootstrap_ci_low_pp,bootstrap_ci_high_pp,resamples
DEVELOPMENT_MODEL_SELECTION_DATA,WBCIC_MI,INTERNAL_HELDOUT,MS4-B0,MS4_LiteBN_FourSampleCE,B0_Exact_LiteBN,0.8007,0.7975999999999999,0.31000000000000694,5,5,0,-0.22999999999999243,0.9100000000000097,10000
DEVELOPMENT_MODEL_SELECTION_DATA,WBCIC_MI,INTERNAL_HELDOUT,MS4-C0,MS4_LiteBN_FourSampleCE,C0_LiteBN_DualCE,0.8007,0.7999,0.08000000000000451,5,5,0,-0.34999999999999587,0.5500000000000027,10000
