task,variant,seed,subject_id,session,BA,macro_F1,folds
OpenBMI_ERP,B2_SCALE_COLLAPSE,0,51,S2,0.7496969696969698,0.6953315120851495,5
OpenBMI_ERP,B2_SCALE_COLLAPSE,0,54,S1,0.7091515151515152,0.6901684767358482,5
OpenBMI_ERP,B2_SCALE_COLLAPSE,0,54,S2,0.7173333333333334,0.6967902677378985,5
OpenBMI_ERP,B2_SCALE_COLLAPSE,1,12,S1,0.9426060606060606,0.8765446201030933,5
OpenBMI_ERP,B2_SCALE_COLLAPSE,1,12,S2,0.9624848484848485,0.9245137586590235,5
OpenBMI_ERP,B2_SCALE_COLLAPSE,1,13,S1,0.9049696969696971,0.8355290998604387,5
OpenBMI_ERP,B2_SCALE_COLLAPSE,1,13,S2,0.9141818181818182,0.850541424169322,5
OpenBMI_ERP,B2_SCALE_COLLAPSE,1,17,S1,0.8303030303030303,0.7481275150375641,5
OpenBMI_ERP,B2_SCALE_COLLAPSE,1,17,S2,0.8227878787878786,0.7349597366365639,5
OpenBMI_ERP,B2_SCALE_COLLAPSE,1,18,S1,0.7438535751695242,0.7428391926790061,5
OpenBMI_ERP,B2_SCALE_COLLAPSE,1,18,S2,0.9019999999999999,0.8865243485548776,5
OpenBMI_ERP,B2_SCALE_COLLAPSE,1,24,S1,0.9503030303030302,0.8988744457676774,5
OpenBMI_ERP,B2_SCALE_COLLAPSE,1,24,S2,0.8173333333333334,0.7779902838798793,5
OpenBMI_ERP,B2_SCALE_COLLAPSE,1,25,S1,0.7854545454545455,0.7914197764789149,5
OpenBMI_ERP,B2_SCALE_COLLAPSE,1,25,S2,0.7721212121212121,0.7743960691301662,5
OpenBMI_ERP,B2_SCALE_COLLAPSE,1,29,S1,0.8027878787878787,0.7857611031863201,5
OpenBMI_ERP,B2_SCALE_COLLAPSE,1,29,S2,0.8426666666666666,0.8225625573937568,5
OpenBMI_ERP,B2_SCALE_COLLAPSE,1,36,S1,0.9487878787878788,0.8999291418130682,5
OpenBMI_ERP,B2_SCALE_COLLAPSE,1,36,S2,0.9572121212121212,0.9047504387812229,5
OpenBMI_ERP,B2_SCALE_COLLAPSE,1,37,S1,0.8581818181818182,0.8082786787677941,5
