task,variant,reference,biological_subjects,delta_future_BA_pp,delta_future_BA_CI95_low_pp,delta_future_BA_CI95_high_pp,delta_future_macro_F1_pp,delta_future_macro_F1_CI95_low_pp,delta_future_macro_F1_CI95_high_pp,delta_WS_BA_pp,delta_WS_BA_CI95_low_pp,delta_WS_BA_CI95_high_pp
OpenBMI_MI,B1_SAME_SCALE_63,OFFICIAL_FINAL_LITEBN_REFERENCE,14,-2.2714285714285776,-3.671428571428579,-1.0619047619047672,-2.0521546457704622,-3.694922185309356,-0.5711065922252395,-2.2428571428571473,-3.738095238095241,-0.9380952380952419
OpenBMI_MI,B2_SCALE_COLLAPSE,OFFICIAL_FINAL_LITEBN_REFERENCE,14,-4.966666666666673,-6.557142857142861,-3.5570238095238227,-4.995179787922649,-6.859264317866107,-3.30369890424986,-4.771428571428574,-6.504761904761911,-3.2379761904762008
OpenBMI_MI,B3_SINGLE_SPATIAL_BASIS,OFFICIAL_FINAL_LITEBN_REFERENCE,14,-3.780952380952384,-5.3190476190476215,-2.3904761904761926,-3.703315892212191,-5.445819604526495,-2.0624615647572346,-3.1904761904761934,-5.223809523809527,-1.1761904761904816
OpenBMI_MI,B4_ONE_STAGE_BACKEND,OFFICIAL_FINAL_LITEBN_REFERENCE,14,-3.714285714285719,-5.161904761904766,-2.419047619047624,-3.870908760482604,-5.3932063983097605,-2.4870492731007197,-3.3428571428571456,-4.8523809523809565,-2.0666666666666713
OpenBMI_ERP,B1_SAME_SCALE_63,OFFICIAL_FINAL_LITEBN_REFERENCE,14,0.40663780663780585,0.07791486291486033,0.8147186147186141,0.799070031929617,0.2818409233839521,1.5711743901996837,0.6640713642532992,0.23187950937951704,1.1516729672187578
OpenBMI_ERP,B2_SCALE_COLLAPSE,OFFICIAL_FINAL_LITEBN_REFERENCE,14,0.1707070707070681,-0.14805194805195349,0.5155844155844137,0.3649098466627048,-0.0883821151592062,0.921694270128126,0.3631948874520142,0.009797765404189546,0.7217552331773112
OpenBMI_ERP,B3_SINGLE_SPATIAL_BASIS,OFFICIAL_FINAL_LITEBN_REFERENCE,14,0.24357864357863865,-0.07936507936508388,0.5675360750360707,0.5286879263581702,0.05988573637278519,1.1115097696693463,0.4946387552209258,0.012546897546894338,1.0277907245372386
OpenBMI_ERP,B4_ONE_STAGE_BACKEND,OFFICIAL_FINAL_LITEBN_REFERENCE,14,-0.5943722943722951,-0.9113997113997108,-0.2579978354978364,-0.6978577712962023,-1.182673133399522,-0.16379992318469527,-0.5176245693528877,-0.8183496775779965,-0.232939837603266
OpenBMI_SSVEP,B1_SAME_SCALE_63,OFFICIAL_FINAL_LITEBN_REFERENCE,14,-0.7666666666666678,-1.395238095238097,-0.2619047619047608,-0.8825219295070195,-1.5814915042789761,-0.2936875860857218,-0.6190476190476167,-1.4619047619047605,0.20952380952381502
OpenBMI_SSVEP,B2_SCALE_COLLAPSE,OFFICIAL_FINAL_LITEBN_REFERENCE,14,-0.7333333333333326,-1.61904761904762,-0.11904761904761545,-0.6925910920454351,-1.6041879818895226,-0.05726409548672421,-0.7761904761904747,-1.5809523809523796,-0.08095238095237918
OpenBMI_SSVEP,B3_SINGLE_SPATIAL_BASIS,OFFICIAL_FINAL_LITEBN_REFERENCE,14,-0.1809523809523808,-0.8952380952380926,0.3285714285714297,-0.2304980139029673,-0.9545619541987429,0.27756267558152825,-0.061904761904759846,-0.5809523809523804,0.34285714285714475
OpenBMI_SSVEP,B4_ONE_STAGE_BACKEND,OFFICIAL_FINAL_LITEBN_REFERENCE,14,-4.480952380952379,-7.028571428571426,-2.195238095238094,-4.806830504971741,-7.559218110040675,-2.341350880656507,-5.628571428571426,-8.628571428571425,-2.971428571428571
WBCIC_MI,B1_SAME_SCALE_63,OFFICIAL_FINAL_LITEBN_REFERENCE,10,-0.2999999999999969,-0.9899999999999975,0.37333333333333657,-0.23438976106407994,-0.9018393216134415,0.4251027770053169,-0.3733333333333333,-1.020000000000002,0.23333333333333206
WBCIC_MI,B2_SCALE_COLLAPSE,OFFICIAL_FINAL_LITEBN_REFERENCE,10,-0.8366666666666639,-1.6433333333333267,-0.12999999999999623,-0.8888387181038964,-1.7901516502601518,-0.12037601401444636,-1.256666666666666,-2.213333333333333,-0.5066666666666647
WBCIC_MI,B3_SINGLE_SPATIAL_BASIS,OFFICIAL_FINAL_LITEBN_REFERENCE,10,-0.08333333333333304,-0.739999999999994,0.5433333333333312,0.024926267573923133,-0.672971705893427,0.7003445004787339,-0.7300000000000013,-1.9033333333333364,0.12333333333333196
WBCIC_MI,B4_ONE_STAGE_BACKEND,OFFICIAL_FINAL_LITEBN_REFERENCE,10,-1.8833333333333317,-2.9533333333333345,-0.9633333333333315,-1.8474509297697714,-3.0024694616324874,-0.8985779348216463,-1.8666666666666654,-2.866666666666667,-0.8399999999999952
