task,variant,biological_subjects,params,MACs_T1000,future_BA,future_BA_CI95_low,future_BA_CI95_high,future_macro_F1,future_macro_F1_CI95_low,future_macro_F1_CI95_high,WS_BA,WS_BA_CI95_low,WS_BA_CI95_high
OpenBMI_MI,OFFICIAL_FINAL_LITEBN_REFERENCE,14,47978,106396896,0.7490476190476192,0.6963785714285714,0.805667857142857,0.740420692227716,0.6808490076082311,0.8009903209115158,0.7144285714285715,0.6720476190476191,0.759904761904762
OpenBMI_MI,B1_SAME_SCALE_63,14,47850,98460896,0.7263333333333335,0.6744285714285713,0.7843821428571428,0.7198991457700112,0.6653644308773691,0.7810321359128021,0.6920000000000001,0.6555702380952378,0.7344285714285713
OpenBMI_MI,B2_SCALE_COLLAPSE,14,47978,106396896,0.6993809523809523,0.6471428571428571,0.7583357142857139,0.6904688943484895,0.6351087423995223,0.7525104175300215,0.6667142857142857,0.63,0.7072380952380952
OpenBMI_MI,B3_SINGLE_SPATIAL_BASIS,14,46874,105292896,0.7112380952380952,0.6575714285714286,0.7715726190476191,0.7033875333055939,0.6462755801839767,0.766030897106191,0.6825238095238095,0.6421904761904763,0.7267619047619046
OpenBMI_MI,B4_ONE_STAGE_BACKEND,14,41770,105636896,0.7119047619047618,0.6534273809523807,0.7745738095238094,0.7017116046228898,0.6389929527247132,0.7698616727694227,0.6809999999999999,0.637095238095238,0.7314761904761904
OpenBMI_ERP,OFFICIAL_FINAL_LITEBN_REFERENCE,14,47978,106396896,0.8479668109668111,0.8035107142857142,0.8904318903318903,0.8048852407749282,0.7599562258847039,0.8493162326123562,0.8152478409670646,0.778472754465735,0.8545674242424242
OpenBMI_ERP,B1_SAME_SCALE_63,14,47850,98460896,0.8520331890331889,0.8085971861471862,0.8931471861471861,0.8128759410942245,0.7680009514057681,0.8559997795099074,0.8218885546095978,0.7847787828908507,0.8606095876026137
OpenBMI_ERP,B2_SCALE_COLLAPSE,14,47978,106396896,0.8496738816738817,0.8070676046176046,0.8914723304473302,0.8085343392415554,0.7646970193677077,0.8512033184018667,0.8188797898415849,0.7823125437210187,0.8576526835757731
OpenBMI_ERP,B3_SINGLE_SPATIAL_BASIS,14,46874,105292896,0.8504025974025974,0.8070084054834057,0.8930795093795093,0.8101721200385098,0.7660259016051497,0.8532976566804753,0.8201942285192743,0.7842538600288601,0.8586935935855128
OpenBMI_ERP,B4_ONE_STAGE_BACKEND,14,41770,105636896,0.8420230880230882,0.7975856060606064,0.8856301226551226,0.7979066630619662,0.751198434981213,0.8422839800807442,0.8100715952735359,0.7717815519834926,0.8497418331718817
OpenBMI_SSVEP,OFFICIAL_FINAL_LITEBN_REFERENCE,14,48108,106397024,0.9102380952380952,0.8465714285714284,0.9634785714285713,0.9091469849006006,0.8444165972702643,0.9618531175684556,0.8995714285714286,0.8365226190476189,0.9527142857142857
OpenBMI_SSVEP,B1_SAME_SCALE_63,14,47980,98461024,0.9025714285714287,0.8375702380952379,0.9573333333333334,0.9003217656055303,0.8314691220992609,0.9567962699598652,0.8933809523809524,0.8268095238095239,0.948952380952381
OpenBMI_SSVEP,B2_SCALE_COLLAPSE,14,48108,106397024,0.902904761904762,0.8367607142857142,0.9577142857142859,0.9022210739801463,0.8355681437630358,0.9567186273426194,0.8918095238095239,0.8257130952380952,0.9469523809523811
OpenBMI_SSVEP,B3_SINGLE_SPATIAL_BASIS,14,47004,105293024,0.9084285714285715,0.844617857142857,0.9606666666666666,0.9068420047615708,0.8420424270821106,0.9601870406922953,0.898952380952381,0.8366666666666667,0.9512857142857143
OpenBMI_SSVEP,B4_ONE_STAGE_BACKEND,14,41900,105637024,0.8654285714285714,0.7929511904761904,0.9330011904761903,0.8610786798508833,0.7843329514707988,0.9310732016757669,0.8432857142857142,0.76495,0.9135238095238093
WBCIC_MI,OFFICIAL_FINAL_LITEBN_REFERENCE,10,47786,99644896,0.8047333333333333,0.7143658333333333,0.8840999999999999,0.8023025851215749,0.7090276719208402,0.8838008114817393,0.7285999999999999,0.6298316666666666,0.8293666666666667
WBCIC_MI,B1_SAME_SCALE_63,10,47658,92220896,0.8017333333333333,0.7100666666666666,0.8853675,0.7999586875109342,0.7073799522089464,0.883877052252782,0.7248666666666667,0.6227,0.8327016666666666
WBCIC_MI,B2_SCALE_COLLAPSE,10,47786,99644896,0.7963666666666668,0.7063991666666667,0.8758008333333334,0.793414197940536,0.701070633164683,0.8761438175039199,0.7160333333333333,0.6134,0.8219033333333331
WBCIC_MI,B3_SINGLE_SPATIAL_BASIS,10,46778,98636896,0.8039,0.7173,0.8824016666666665,0.8025518477973141,0.7133021233128133,0.882647209679917,0.7213,0.6182658333333332,0.8271674999999998
WBCIC_MI,B4_ONE_STAGE_BACKEND,10,41578,98884896,0.7858999999999999,0.6994325,0.8623341666666667,0.7838280758238771,0.6973202954721914,0.8606398472143386,0.7099333333333332,0.6085666666666667,0.8120333333333333
