checkpoint,checkpoint_sha256,early_stopped,elapsed_seconds,epochs_ran,fold,inner_val_BA,model,seed,selected_epoch,task,trainable_parameters,variant,reused_from_completed_seed0
/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_ablation_v2_seed0/runtime/checkpoints/OpenBMI_MI/B1_SAME_SCALE_63/fold0/selected.pt,1e2e4993f771e565a3e6e4c5185b54b75a660fd9509ef041e1fe6e4591e7a6b4,True,68.46623025927693,39,0,0.7233333333333333,LiteBN,0,31,OpenBMI_MI,47850,B1_SAME_SCALE_63,True
/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_ablation_v2_seed0/runtime/checkpoints/OpenBMI_MI/B2_SCALE_COLLAPSE/fold0/selected.pt,8f07b191e820355569845847cea9a75f8ea0406f119d6e3185faf60b5d4a990b,True,68.67159596644342,40,0,0.7116666666666666,LiteBN,0,32,OpenBMI_MI,47978,B2_SCALE_COLLAPSE,True
/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_ablation_v2_seed0/runtime/checkpoints/OpenBMI_MI/B3_SINGLE_SPATIAL_BASIS/fold0/selected.pt,fd2c36c370aa7ec649354cdeb87ef135c3077e15c285929df2bfc7bcf73ab161,True,60.043112765066326,40,0,0.7133333333333334,LiteBN,0,32,OpenBMI_MI,46874,B3_SINGLE_SPATIAL_BASIS,True
/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_ablation_v2_seed0/runtime/checkpoints/OpenBMI_MI/B4_ONE_STAGE_BACKEND/fold0/selected.pt,51e8da57570d308193378c9bf1e2d8b3c69bcfdeab03b9ceb0009c72711520b4,True,61.01393064111471,36,0,0.7183333333333334,LiteBN,0,28,OpenBMI_MI,41770,B4_ONE_STAGE_BACKEND,True
/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_ablation_v2_seed0/runtime/checkpoints/OpenBMI_MI/B1_SAME_SCALE_63/fold1/selected.pt,be40c243d1bedfdf843e0f9b1fac18c6406aeca17b8af72354ded89f5c5567f4,True,56.055193171836436,33,1,0.775,LiteBN,0,25,OpenBMI_MI,47850,B1_SAME_SCALE_63,True
/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_ablation_v2_seed0/runtime/checkpoints/OpenBMI_MI/B2_SCALE_COLLAPSE/fold1/selected.pt,7de0094489b57033001c50b7bb94831cb5ceeedbcb78a46acbff9c830f91c435,True,37.47461019549519,22,1,0.7383333333333333,LiteBN,0,14,OpenBMI_MI,47978,B2_SCALE_COLLAPSE,True
/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_ablation_v2_seed0/runtime/checkpoints/OpenBMI_MI/B3_SINGLE_SPATIAL_BASIS/fold1/selected.pt,58bb1eaf2ed8f62200bdcedb2db89e55cf61f0d6ebbb57857948307643107ec8,True,44.62465321365744,30,1,0.7233333333333333,LiteBN,0,22,OpenBMI_MI,46874,B3_SINGLE_SPATIAL_BASIS,True
/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_ablation_v2_seed0/runtime/checkpoints/OpenBMI_MI/B4_ONE_STAGE_BACKEND/fold1/selected.pt,9748c14cc60345933f68a409eadbd9bd9aa031a1189f0ff095eed1c91daab721,True,87.86313547659665,52,1,0.7966666666666667,LiteBN,0,44,OpenBMI_MI,41770,B4_ONE_STAGE_BACKEND,True
/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_ablation_v2_seed0/runtime/checkpoints/OpenBMI_MI/B1_SAME_SCALE_63/fold2/selected.pt,f61d7c6094fd254c7a7b75627fefa2004ecf8f8166d243403ed3e6920430ea0b,True,34.013435550034046,20,2,0.755,LiteBN,0,12,OpenBMI_MI,47850,B1_SAME_SCALE_63,True
/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_ablation_v2_seed0/runtime/checkpoints/OpenBMI_MI/B2_SCALE_COLLAPSE/fold2/selected.pt,500319ba3fcb0e04f98e028c324e17ff9055ae3b7cec967b6a023e801b4b51a2,True,32.32742284797132,19,2,0.745,LiteBN,0,11,OpenBMI_MI,47978,B2_SCALE_COLLAPSE,True
