dataset,fold,seed,stage,method,selected_epoch,initial_state_sha256,normalizer_mean_sha256,normalizer_std_sha256,training_subjects,discovery_subjects,weight_mean,weight_min,weight_max,fit_sec,fit_sec_per_epoch,completed_epochs,total_epoch_sec_including_resumed,resumed,checkpoint_cache_hit
OpenBMI,0,0,rapid_triage_initial_selection,SUBJECT_BALANCED_ERM,34,f06e10573fa46cbf61b530332e7ea332c1feba63e7ce74bc960b80ca5a25e483,6afaa82d8a5d38df0e88cfbcfca1ee4091bdde2538bb6629c1bd86e1283b91a4,0ead81d5266e796804102040552688bd839536753c652150f1a68fb670776edc,34,9,1.0,1.0,1.0,20.91844629996922,30.45456526904378,42,1279.0917412998388,True,False
OpenBMI,0,0,rapid_triage_initial_selection,GEOSR,28,f06e10573fa46cbf61b530332e7ea332c1feba63e7ce74bc960b80ca5a25e483,6afaa82d8a5d38df0e88cfbcfca1ee4091bdde2538bb6629c1bd86e1283b91a4,0ead81d5266e796804102040552688bd839536753c652150f1a68fb670776edc,34,9,1.0,0.5454545617103577,1.4696969985961914,56.0289810000686,1.5440620694425888,36,55.5862344999332,False,False
WBCIC,0,0,rapid_triage_initial_selection,SUBJECT_BALANCED_ERM,8,da8290a977a3323a37483a386efdad9dccba261f9671de5442c63c915635851f,619194d855aa6708d8b93c41035872a1635cfc0169ece4627dd5b32fcc52e5b0,69bc6aa62ac6403e50a9ec6f3dac3a43ffcb535e55b91ddd1983c56288dd40c7,24,8,1.0,0.9995833039283752,1.0046063661575315,23.116006799973547,57.41892555622326,16,918.702808899572,True,False
WBCIC,0,0,rapid_triage_initial_selection,GEOSR,30,da8290a977a3323a37483a386efdad9dccba261f9671de5442c63c915635851f,619194d855aa6708d8b93c41035872a1635cfc0169ece4627dd5b32fcc52e5b0,69bc6aa62ac6403e50a9ec6f3dac3a43ffcb535e55b91ddd1983c56288dd40c7,24,8,1.0,0.4997916519641876,1.4993749856948853,76.89340200007427,2.0112339815854,38,76.42689130024519,False,False
