dataset,fold,seed,subject_id,SB_ERM_BA,GEOSR_BA,delta_BA_pp,SB_ERM_macro_F1,GEOSR_macro_F1,delta_macro_F1_pp
OpenBMI,0,0,13,0.77,0.67,-9.999999999999998,0.7699769976997699,0.6659580929243851,-10.401890477538478
OpenBMI,0,0,14,0.71,0.7,-1.0000000000000009,0.7076318177235609,0.6921182266009853,-1.5513591122575554
OpenBMI,0,0,19,0.7,0.66,-3.9999999999999925,0.6847414880201765,0.6353496353496353,-4.939185267054125
OpenBMI,0,0,2,0.8,0.81,1.0000000000000009,0.8,0.8099809980998101,0.9980998099810012
OpenBMI,0,0,32,0.76,0.76,0.0,0.7591328783621036,0.7591328783621036,0.0
OpenBMI,0,0,33,0.94,0.86,-7.9999999999999964,0.9399038461538461,0.8579545454545454,-8.194930069930074
OpenBMI,0,0,36,0.98,0.99,1.0000000000000009,0.9799919967987194,0.9899989998999901,1.0007003101270673
OpenBMI,0,0,40,0.8,0.8,0.0,0.7999199679871949,0.7992773986350863,-0.06425693521086018
OpenBMI,0,0,47,0.9299999999999999,0.9299999999999999,0.0,0.9298245614035088,0.9299929992999301,0.01684378964212918
OpenBMI,0,0,50,0.5800000000000001,0.59,0.9999999999999898,0.5625,0.5829518868884143,2.045188688841426
OpenBMI,0,0,53,0.8,0.79,-1.0000000000000009,0.797979797979798,0.7898108297467721,-0.8168968233025931
WBCIC,0,0,1,0.9299999999999999,0.925,-0.49999999999998934,0.9299929992999301,0.9247724366207779,-0.5220562679152163
WBCIC,0,0,16,0.53,0.53,0.0,0.5283018867924528,0.5242433444680635,-0.40585423243892915
WBCIC,0,0,19,0.96,0.9450000000000001,-1.4999999999999902,0.96,0.9449876222149984,-1.501237778500153
WBCIC,0,0,21,0.8300000000000001,0.86,2.9999999999999916,0.8297275641025641,0.859873886497848,3.014632239528392
WBCIC,0,0,28,0.595,0.685,9.000000000000007,0.5874818568409259,0.6836634781953754,9.618162135444951
WBCIC,0,0,3,0.8500000000000001,0.865,1.4999999999999902,0.8497596153846154,0.8648344221671547,1.5074806782539252
WBCIC,0,0,33,0.935,0.9299999999999999,-0.5000000000000115,0.9349853717086345,0.9299369432489241,-0.504842845971043
WBCIC,0,0,37,0.835,0.87,3.500000000000003,0.8349958748968724,0.8698828946051447,3.4887019708272238
WBCIC,0,0,5,0.76,0.785,2.500000000000002,0.7596153846153846,0.784865540963102,2.5250156347717434
