dataset,fold,seed,subject_id,N_geo,N_loss,r_geo,r_loss,weight_SUBJECT_BALANCED_ERM,weight_GEOSR,random_rank_source_position,stage
OpenBMI,0,0,11,0.1834824681282043,1.1466388702392578,0.8484848484848485,1.0,1.0,1.4242424242424243,7,initial_selection
OpenBMI,0,0,12,0.0982667207717895,0.468248963356018,0.3333333333333333,0.3939393939393939,1.0,0.8636363636363635,16,initial_selection
OpenBMI,0,0,15,0.1000779867172241,0.1954517364501953,0.3636363636363636,0.0303030303030303,1.0,0.696969696969697,13,initial_selection
OpenBMI,0,0,16,0.1520100235939026,0.492637038230896,0.696969696969697,0.4545454545454545,1.0,1.0757575757575757,9,initial_selection
OpenBMI,0,0,18,0.314517617225647,0.611918568611145,0.9090909090909092,0.7272727272727273,1.0,1.3181818181818183,20,initial_selection
OpenBMI,0,0,20,0.0775047540664672,0.4283336400985718,0.1515151515151515,0.2727272727272727,1.0,0.7121212121212122,25,initial_selection
OpenBMI,0,0,21,0.0618278086185455,0.0895665884017944,0.0909090909090909,0.0,1.0,0.5454545454545454,11,initial_selection
OpenBMI,0,0,22,0.1796511113643646,0.7255940437316895,0.8181818181818182,0.8787878787878788,1.0,1.3484848484848486,27,initial_selection
OpenBMI,0,0,23,0.1191146671772003,0.6632568836212158,0.5454545454545454,0.7878787878787878,1.0,1.1666666666666663,30,initial_selection
OpenBMI,0,0,24,0.3993441462516784,1.1463968753814695,0.9696969696969696,0.9696969696969696,1.0,1.4696969696969695,31,initial_selection
OpenBMI,0,0,25,0.0843425989151001,0.318020612001419,0.2121212121212121,0.1818181818181818,1.0,0.696969696969697,0,initial_selection
OpenBMI,0,0,26,0.036260038614273,0.3509367704391479,0.0,0.2121212121212121,1.0,0.6060606060606061,28,initial_selection
OpenBMI,0,0,27,0.0623550415039062,0.2168764024972915,0.1212121212121212,0.0909090909090909,1.0,0.606060606060606,18,initial_selection
OpenBMI,0,0,29,0.0863286554813385,0.3980295658111572,0.2727272727272727,0.2424242424242424,1.0,0.7575757575757576,8,initial_selection
OpenBMI,0,0,30,0.1420055031776428,0.5443412661552429,0.6363636363636364,0.5151515151515151,1.0,1.0757575757575757,10,initial_selection
OpenBMI,0,0,31,0.0478076934814453,0.2108311802148819,0.0606060606060606,0.0606060606060606,1.0,0.5606060606060606,23,initial_selection
OpenBMI,0,0,34,0.4173754304647445,0.7754001617431641,1.0,0.9393939393939394,1.0,1.4696969696969695,4,initial_selection
OpenBMI,0,0,35,0.1080223619937896,0.2941449582576751,0.4242424242424242,0.1515151515151515,1.0,0.787878787878788,5,initial_selection
OpenBMI,0,0,37,0.1037104427814483,0.4617472290992737,0.3939393939393939,0.3636363636363636,1.0,0.8787878787878789,17,initial_selection
OpenBMI,0,0,38,0.2189156115055084,0.6998948454856873,0.8787878787878788,0.8181818181818182,1.0,1.3484848484848486,32,initial_selection
OpenBMI,0,0,39,0.0852871239185333,0.556584358215332,0.2424242424242424,0.5454545454545454,1.0,0.8939393939393939,2,initial_selection
OpenBMI,0,0,4,0.3502020835876465,0.6535751819610596,0.9393939393939394,0.7575757575757576,1.0,1.3484848484848486,33,initial_selection
OpenBMI,0,0,41,0.1496840119361877,0.5919239521026611,0.6666666666666666,0.6363636363636364,1.0,1.1515151515151514,26,initial_selection
OpenBMI,0,0,42,0.1285570561885833,0.6084091663360596,0.5757575757575758,0.696969696969697,1.0,1.1363636363636362,22,initial_selection
OpenBMI,0,0,43,0.038241297006607,0.2857451438903808,0.0303030303030303,0.1212121212121212,1.0,0.5757575757575757,21,initial_selection
OpenBMI,0,0,44,0.1667516827583313,0.5037621855735779,0.7575757575757576,0.4848484848484848,1.0,1.121212121212121,29,initial_selection
OpenBMI,0,0,46,0.1678826808929443,0.719433605670929,0.7878787878787878,0.8484848484848485,1.0,1.318181818181818,14,initial_selection
OpenBMI,0,0,49,0.0775432586669921,0.4498621523380279,0.1818181818181818,0.3333333333333333,1.0,0.7575757575757576,3,initial_selection
OpenBMI,0,0,5,0.112066775560379,0.438694417476654,0.5151515151515151,0.303030303030303,1.0,0.9090909090909092,15,initial_selection
OpenBMI,0,0,51,0.1295612454414367,0.5589621067047119,0.6060606060606061,0.5757575757575758,1.0,1.0909090909090908,12,initial_selection
OpenBMI,0,0,52,0.0918529033660888,0.7478557825088501,0.303030303030303,0.9090909090909092,1.0,1.106060606060606,1,initial_selection
OpenBMI,0,0,7,0.1093117892742157,0.4793771803379059,0.4545454545454545,0.4242424242424242,1.0,0.9393939393939394,6,initial_selection
OpenBMI,0,0,8,0.1102808117866516,0.573948085308075,0.4848484848484848,0.6060606060606061,1.0,1.0454545454545454,24,initial_selection
OpenBMI,0,0,9,0.1521235704421997,0.596327543258667,0.7272727272727273,0.6666666666666666,1.0,1.196969696969697,19,initial_selection
WBCIC,0,0,12,0.6253008599160239,0.7215694785118103,0.8260869565217391,0.8695652173913043,1.0,1.3478260869565215,9,initial_selection
WBCIC,0,0,14,0.7749044224619865,0.8202645778656006,0.9565217391304348,0.9565217391304348,1.0,1.4565217391304348,3,initial_selection
WBCIC,0,0,17,0.0550135374069213,0.3785222172737121,0.4782608695652174,0.3478260869565217,1.0,0.9130434782608696,4,initial_selection
WBCIC,0,0,22,0.1499602794647216,0.5080811381340027,0.7391304347826086,0.4347826086956521,1.0,1.0869565217391304,10,initial_selection
WBCIC,0,0,23,0.0477868616580963,0.6314826011657715,0.3478260869565217,0.6956521739130435,1.0,1.0217391304347827,22,initial_selection
WBCIC,0,0,24,0.048917144536972,0.6129698753356934,0.391304347826087,0.6521739130434783,1.0,1.0217391304347827,19,initial_selection
WBCIC,0,0,25,0.0290341675281524,0.2623957395553589,0.1304347826086956,0.0869565217391304,1.0,0.608695652173913,0,initial_selection
WBCIC,0,0,26,0.0940003395080566,0.3198899328708648,0.5652173913043478,0.217391304347826,1.0,0.8913043478260869,1,initial_selection
WBCIC,0,0,29,0.6487381085753441,0.6703298091888428,0.8695652173913043,0.782608695652174,1.0,1.326086956521739,11,initial_selection
WBCIC,0,0,30,0.0492937266826629,0.1472432017326355,0.4347826086956521,0.0434782608695652,1.0,0.7391304347826086,7,initial_selection
WBCIC,0,0,31,0.1276485919952392,0.6002660989761353,0.6521739130434783,0.5652173913043478,1.0,1.108695652173913,13,initial_selection
WBCIC,0,0,32,0.6686557307839394,0.7940284013748169,0.9130434782608696,0.9130434782608696,1.0,1.4130434782608696,23,initial_selection
WBCIC,0,0,34,1.2212375737726688,0.8498975038528442,1.0,1.0,1.0,1.5,18,initial_selection
WBCIC,0,0,35,0.0206598937511444,0.5889459848403931,0.0869565217391304,0.5217391304347826,1.0,0.8043478260869565,20,initial_selection
WBCIC,0,0,38,0.5575682613998652,0.689122200012207,0.782608695652174,0.8260869565217391,1.0,1.3043478260869563,16,initial_selection
WBCIC,0,0,41,0.0373947024345397,0.4256576895713806,0.2608695652173913,0.391304347826087,1.0,0.8260869565217391,5,initial_selection
WBCIC,0,0,42,0.1034046113491058,0.5423575043678284,0.6086956521739131,0.4782608695652174,1.0,1.0434782608695652,15,initial_selection
WBCIC,0,0,47,0.0188322961330413,0.3304204642772674,0.0434782608695652,0.2608695652173913,1.0,0.6521739130434783,12,initial_selection
