dataset,fold,stage,inner_k,subject_id,N_geo,N_loss,teacher_epoch,teacher_init_seed,teacher_initial_state_sha256,teacher_normalizer_mean_sha256,teacher_normalizer_std_sha256,seed
OpenBMI,0,initial_selection,2,11,0.1834824681282043,1.1466388702392578,50,163756074369038290,cf3ef19172737cf2122cc760a89000defb93a2e09abded5e229b5d9f920640a3,c5a36b5a704b48d2f524eee6c55031c0f7506e33b43aa41cb31372dac3f5eec4,a44c40b97db1890fc8cb33330d60c5ab1849fb2165cb8370a99d99c57ca066f0,0
OpenBMI,0,initial_selection,4,12,0.0982667207717895,0.468248963356018,36,3956286254063049688,7b06d1a0734c10c72cd4cc68498402387079f4ddb3d87436bdf400379cd322a8,dffeb4c4107893ca646b60c15fc4e8d5a68d48ab51ffba84901e5a834d49c541,3e4e740a5fee36e77ec547f05f82cfeb1a279fb658d790128000713705da281d,0
OpenBMI,0,initial_selection,1,15,0.1000779867172241,0.1954517364501953,29,3533006879752003818,f4cde1b6919bd43315c9b70803059ef303ddcb32833d639a31dcdc83df73490c,189130fb4aa9844322295a3561bddea5587cdd235ebf03dd9a7ff3c2132cdf45,82bed7a47aba71e81ba337962f0a507d7c0352e93cfa203fa60d91952d20a835,0
OpenBMI,0,initial_selection,1,16,0.1520100235939026,0.492637038230896,29,3533006879752003818,f4cde1b6919bd43315c9b70803059ef303ddcb32833d639a31dcdc83df73490c,189130fb4aa9844322295a3561bddea5587cdd235ebf03dd9a7ff3c2132cdf45,82bed7a47aba71e81ba337962f0a507d7c0352e93cfa203fa60d91952d20a835,0
OpenBMI,0,initial_selection,3,18,0.314517617225647,0.611918568611145,10,3014319833934354805,664965a3ae9a823b5cb4a40ed60e8a86d993e616d66469f480b36d9475dd0660,97764d72b2e16ce784fa89e4d34cec3f3e74e3421663d89d0ed847e96e0e9a25,80d988e9281da730aa3075ed7950e10287deee098f6be40e85dd36fc32d13c1f,0
OpenBMI,0,initial_selection,4,20,0.0775047540664672,0.4283336400985718,36,3956286254063049688,7b06d1a0734c10c72cd4cc68498402387079f4ddb3d87436bdf400379cd322a8,dffeb4c4107893ca646b60c15fc4e8d5a68d48ab51ffba84901e5a834d49c541,3e4e740a5fee36e77ec547f05f82cfeb1a279fb658d790128000713705da281d,0
OpenBMI,0,initial_selection,1,21,0.0618278086185455,0.0895665884017944,29,3533006879752003818,f4cde1b6919bd43315c9b70803059ef303ddcb32833d639a31dcdc83df73490c,189130fb4aa9844322295a3561bddea5587cdd235ebf03dd9a7ff3c2132cdf45,82bed7a47aba71e81ba337962f0a507d7c0352e93cfa203fa60d91952d20a835,0
OpenBMI,0,initial_selection,0,22,0.1796511113643646,0.7255940437316895,40,680161721446078012,b7cb25624ac3bbc25fc8165bd60e4d31f88516d80d2dd84c55d1f02baefde7bc,e65cfed1e2fc5e22c7cdba5f27f560ac74b2cd657892dbecfdce8f9f044a1c6e,408d8f1879ef2dcdf9c8936841ba3e16f63ecee79ac64d17463c29c6d2701b3d,0
OpenBMI,0,initial_selection,1,23,0.1191146671772003,0.6632568836212158,29,3533006879752003818,f4cde1b6919bd43315c9b70803059ef303ddcb32833d639a31dcdc83df73490c,189130fb4aa9844322295a3561bddea5587cdd235ebf03dd9a7ff3c2132cdf45,82bed7a47aba71e81ba337962f0a507d7c0352e93cfa203fa60d91952d20a835,0
OpenBMI,0,initial_selection,2,24,0.3993441462516784,1.1463968753814695,50,163756074369038290,cf3ef19172737cf2122cc760a89000defb93a2e09abded5e229b5d9f920640a3,c5a36b5a704b48d2f524eee6c55031c0f7506e33b43aa41cb31372dac3f5eec4,a44c40b97db1890fc8cb33330d60c5ab1849fb2165cb8370a99d99c57ca066f0,0
OpenBMI,0,initial_selection,2,25,0.0843425989151001,0.318020612001419,50,163756074369038290,cf3ef19172737cf2122cc760a89000defb93a2e09abded5e229b5d9f920640a3,c5a36b5a704b48d2f524eee6c55031c0f7506e33b43aa41cb31372dac3f5eec4,a44c40b97db1890fc8cb33330d60c5ab1849fb2165cb8370a99d99c57ca066f0,0
OpenBMI,0,initial_selection,3,26,0.036260038614273,0.3509367704391479,10,3014319833934354805,664965a3ae9a823b5cb4a40ed60e8a86d993e616d66469f480b36d9475dd0660,97764d72b2e16ce784fa89e4d34cec3f3e74e3421663d89d0ed847e96e0e9a25,80d988e9281da730aa3075ed7950e10287deee098f6be40e85dd36fc32d13c1f,0
OpenBMI,0,initial_selection,1,27,0.0623550415039062,0.2168764024972915,29,3533006879752003818,f4cde1b6919bd43315c9b70803059ef303ddcb32833d639a31dcdc83df73490c,189130fb4aa9844322295a3561bddea5587cdd235ebf03dd9a7ff3c2132cdf45,82bed7a47aba71e81ba337962f0a507d7c0352e93cfa203fa60d91952d20a835,0
OpenBMI,0,initial_selection,0,29,0.0863286554813385,0.3980295658111572,40,680161721446078012,b7cb25624ac3bbc25fc8165bd60e4d31f88516d80d2dd84c55d1f02baefde7bc,e65cfed1e2fc5e22c7cdba5f27f560ac74b2cd657892dbecfdce8f9f044a1c6e,408d8f1879ef2dcdf9c8936841ba3e16f63ecee79ac64d17463c29c6d2701b3d,0
