dataset,fold,stage,inner_k,teacher_epoch,teacher_initial_state_sha256,teacher_history_last,teacher_fit_subject_count,held_out_subject_count,held_out_rows,teacher_select_sec,teacher_fit_sec,teacher_fit_sec_per_epoch,cache_hit
OpenBMI,0,initial_selection,0,40,b7cb25624ac3bbc25fc8165bd60e4d31f88516d80d2dd84c55d1f02baefde7bc,"{""epoch"":48,""train_loss"":0.33154836838895624,""val_BA"":0.7883333333333332,""val_NLL"":0.49603932599226636,""sec"":22.27473559998907}",27,7,896,1099.57456930005,1024.0066756999586,25.600166892498965,False
OpenBMI,0,initial_selection,1,29,f4cde1b6919bd43315c9b70803059ef303ddcb32833d639a31dcdc83df73490c,"{""epoch"":37,""train_loss"":0.3618156345504703,""val_BA"":0.7666666666666667,""val_NLL"":0.497305100162824,""sec"":22.21056909998879}",27,7,896,833.1234949000645,729.4977685000049,25.15509546551741,False
OpenBMI,0,initial_selection,2,50,cf3ef19172737cf2122cc760a89000defb93a2e09abded5e229b5d9f920640a3,"{""epoch"":58,""train_loss"":0.31793948398395017,""val_BA"":0.7766666666666667,""val_NLL"":0.5089626411596934,""sec"":22.473646400030702}",27,7,896,1313.134013199946,1280.1905486999312,25.603810973998623,False
OpenBMI,0,initial_selection,3,10,664965a3ae9a823b5cb4a40ed60e8a86d993e616d66469f480b36d9475dd0660,"{""epoch"":18,""train_loss"":0.4259669067281665,""val_BA"":0.68,""val_NLL"":0.6617530236641566,""sec"":23.087195500032976}",27,7,896,410.4706955000293,257.39743690006435,25.739743690006435,False
OpenBMI,0,initial_selection,4,36,7b06d1a0734c10c72cd4cc68498402387079f4ddb3d87436bdf400379cd322a8,"{""epoch"":44,""train_loss"":0.3346393801595854,""val_BA"":0.7933333333333333,""val_NLL"":0.4529040890435378,""sec"":26.49345959990751}",28,6,768,1073.556014599977,985.0799270999852,27.36333130833292,False
WBCIC,0,initial_selection,0,3,123dde7cf75c97c005a7f305f11c07233d52bb18c0c8c8c438409592f31fa2cf,"{""epoch"":11,""train_loss"":0.36767328562254603,""val_BA"":0.5,""val_NLL"":0.6925376355648041,""sec"":67.74250709998887}",19,5,640,736.0097047999734,224.0317192999646,74.67723976665486,False
WBCIC,0,initial_selection,1,8,284225b262f83c067c24d36d5b387213f43700e34ee0e2e5d6d7bb8d776a0707,"{""epoch"":16,""train_loss"":0.33768570185341734,""val_BA"":0.77375,""val_NLL"":0.43689505755901337,""sec"":65.44519299990498}",19,5,640,1058.2384308000328,582.0416378999362,72.75520473749202,False
WBCIC,0,initial_selection,2,8,a4c4147e148e96ab1dcff4578dcc4ec4c6a5eff3f757b9ba0d0b0e2712ecdaf2,"{""epoch"":16,""train_loss"":0.45074650042868675,""val_BA"":0.50125,""val_NLL"":0.6795444786548615,""sec"":66.50452910002787}",19,5,640,1042.5820990999928,584.9249107999494,73.11561384999368,False
WBCIC,0,initial_selection,3,21,722633ac5de4242aa379198e180a58ea7c5a892c6e50c8af36669cbc88efd0c2,"{""epoch"":29,""train_loss"":0.3466380896403434,""val_BA"":0.6512499999999999,""val_NLL"":0.6712595075368881,""sec"":66.65587060002144}",19,5,640,1925.336850499967,1552.2679290999658,73.9175204333317,False
WBCIC,0,initial_selection,4,17,ebb2c6dbc932e2a892b268da7ff35d9968b87e9ddc8d1364f6f172c91ca37966,"{""epoch"":25,""train_loss"":0.34068558990955355,""val_BA"":0.82125,""val_NLL"":0.36714485473930836,""sec"":72.51149930001702}",20,4,512,1736.0312915000832,1309.6801596999867,77.04000939411686,False
