dataset,fold,stage,inner_k,fit_subjects,held_out_subjects,teacher_train_subjects,teacher_inner_train_subjects,teacher_inner_validation_subjects,held_out_subjects_hash,teacher_protocol
OpenBMI,0,initial_selection,0,"4,5,7,8,9,11,12,15,16,18,20,21,23,24,25,26,27,30,31,34,37,38,41,44,46,49,51","22,29,35,39,42,43,52","4,5,7,8,9,11,12,15,16,18,20,21,23,24,25,26,27,30,31,34,37,38,41,44,46,49,51","4,5,7,8,9,11,12,15,18,20,21,23,26,27,30,31,34,37,38,41,51","16,24,25,44,46,49",6ae936326c56ae2886e4e3c8ad35e9355bb44e33fc9ca9abfa4a548450bc50af,A_k-only; held-out B_k never in teacher training/normalizer
OpenBMI,0,initial_selection,1,"4,5,7,8,9,11,12,18,20,22,24,25,26,29,30,31,35,37,39,41,42,43,44,46,49,51,52","15,16,21,23,27,34,38","4,5,7,8,9,11,12,18,20,22,24,25,26,29,30,31,35,37,39,41,42,43,44,46,49,51,52","5,7,8,9,20,22,24,25,29,30,35,37,39,41,42,43,44,46,49,51,52","4,11,12,18,26,31",64d9b4e9fcbb6c6ba15ad5dd4e390432e121812505c3dd21c5c35635cf81d844,A_k-only; held-out B_k never in teacher training/normalizer
OpenBMI,0,initial_selection,2,"5,7,8,12,15,16,18,20,21,22,23,26,27,29,31,34,35,38,39,41,42,43,44,46,49,51,52","4,9,11,24,25,30,37","5,7,8,12,15,16,18,20,21,22,23,26,27,29,31,34,35,38,39,41,42,43,44,46,49,51,52","5,8,12,18,20,21,22,26,27,29,31,34,35,38,39,42,43,46,49,51,52","7,15,16,23,41,44",2b842eb89b17206019f9fd5cba1411eb975416c3da1f7c25592f2f61d7971d32,A_k-only; held-out B_k never in teacher training/normalizer
OpenBMI,0,initial_selection,3,"4,7,9,11,12,15,16,20,21,22,23,24,25,27,29,30,31,34,35,37,38,39,42,43,46,49,52","5,8,18,26,41,44,51","4,7,9,11,12,15,16,20,21,22,23,24,25,27,29,30,31,34,35,37,38,39,42,43,46,49,52","4,9,15,16,20,21,22,23,25,27,29,30,31,34,35,37,38,39,42,43,49","7,11,12,24,46,52",80e550ec0c712cdc0493b7089f9a4bda5a0148bf752ca5242da6dde04fb1d1a6,A_k-only; held-out B_k never in teacher training/normalizer
OpenBMI,0,initial_selection,4,"4,5,8,9,11,15,16,18,21,22,23,24,25,26,27,29,30,34,35,37,38,39,41,42,43,44,51,52","7,12,20,31,46,49","4,5,8,9,11,15,16,18,21,22,23,24,25,26,27,29,30,34,35,37,38,39,41,42,43,44,51,52","9,11,16,18,23,24,25,26,27,29,30,34,35,37,38,39,41,42,43,44,51,52","4,5,8,15,21,22",56f28f3baf44a88c402f35acb717796c67d09b96f232bf9864f338a8ae7e4ce9,A_k-only; held-out B_k never in teacher training/normalizer
WBCIC,0,initial_selection,0,"6,7,9,12,14,17,22,23,24,25,26,30,32,35,38,47,48,49,50","29,31,34,41,42","6,7,9,12,14,17,22,23,24,25,26,30,32,35,38,47,48,49,50","6,12,14,17,23,24,25,26,30,32,38,47,48,49,50","7,9,22,35",4c55544be65f11fa988bf434a8a9479b885d86b9dd74bdfd518843730118a652,A_k-only; held-out B_k never in teacher training/normalizer
WBCIC,0,initial_selection,1,"7,14,17,22,23,24,26,29,30,31,34,35,38,41,42,47,48,49,50","6,9,12,25,32","7,14,17,22,23,24,26,29,30,31,34,35,38,41,42,47,48,49,50","7,14,17,22,24,26,30,31,35,38,41,42,47,49,50","23,29,34,48",5ce1f72fef389c3b66db0d0a5528e1564280794e5ed7e9ccfdd7e22dc608dc9f,A_k-only; held-out B_k never in teacher training/normalizer
WBCIC,0,initial_selection,2,"6,9,12,14,17,22,25,26,29,30,31,32,34,41,42,47,48,49,50","7,23,24,35,38","6,9,12,14,17,22,25,26,29,30,31,32,34,41,42,47,48,49,50","6,9,12,14,22,29,30,31,32,34,41,42,47,48,49","17,25,26,50",fd3585a5c69718c362db51cb2b2fe490bf6044c4b961cd3f634bab2885072ecb,A_k-only; held-out B_k never in teacher training/normalizer
WBCIC,0,initial_selection,3,"6,7,9,12,14,22,23,24,25,29,30,31,32,34,35,38,41,42,50","17,26,47,48,49","6,7,9,12,14,22,23,24,25,29,30,31,32,34,35,38,41,42,50","6,7,9,14,22,24,25,29,30,34,35,38,41,42,50","12,23,31,32",4fe5ed27e64fcd6883ca856d3f3fb9f93de1501da60a2d222fc7c3f306eab1c5,A_k-only; held-out B_k never in teacher training/normalizer
WBCIC,0,initial_selection,4,"6,7,9,12,17,23,24,25,26,29,31,32,34,35,38,41,42,47,48,49","14,22,30,50","6,7,9,12,17,23,24,25,26,29,31,32,34,35,38,41,42,47,48,49","7,9,12,17,24,25,26,31,34,35,38,41,42,47,48,49","6,23,29,32",029a5ed8cf9a0e64f8098a4300f3ae51b4862ddf6c3459e62535273b1170aeac,A_k-only; held-out B_k never in teacher training/normalizer
