dataset,fold,seed,subject_id,BA,accuracy,macro_F1,NLL,trials,method
OpenBMI,0,0,13,0.77,0.77,0.7699769976997699,0.5264987349510193,100,SUBJECT_BALANCED_ERM
OpenBMI,0,0,14,0.71,0.71,0.7076318177235609,0.6440424919128418,100,SUBJECT_BALANCED_ERM
OpenBMI,0,0,19,0.7,0.7,0.6847414880201765,0.6042757630348206,100,SUBJECT_BALANCED_ERM
OpenBMI,0,0,2,0.8,0.8,0.8,0.4010530412197113,100,SUBJECT_BALANCED_ERM
OpenBMI,0,0,32,0.76,0.76,0.7591328783621036,0.5144510269165039,100,SUBJECT_BALANCED_ERM
OpenBMI,0,0,33,0.94,0.94,0.9399038461538461,0.18891054391860962,100,SUBJECT_BALANCED_ERM
OpenBMI,0,0,36,0.98,0.98,0.9799919967987194,0.08094017207622528,100,SUBJECT_BALANCED_ERM
OpenBMI,0,0,40,0.8,0.8,0.7999199679871949,0.37940606474876404,100,SUBJECT_BALANCED_ERM
OpenBMI,0,0,47,0.9299999999999999,0.93,0.9298245614035088,0.15696217119693756,100,SUBJECT_BALANCED_ERM
OpenBMI,0,0,50,0.5800000000000001,0.58,0.5625,0.8269572257995605,100,SUBJECT_BALANCED_ERM
OpenBMI,0,0,53,0.8,0.8,0.797979797979798,0.4416191577911377,100,SUBJECT_BALANCED_ERM
OpenBMI,0,0,13,0.67,0.67,0.6659580929243851,0.548728883266449,100,GEOSR
OpenBMI,0,0,14,0.7,0.7,0.6921182266009853,0.6500809192657471,100,GEOSR
OpenBMI,0,0,19,0.66,0.66,0.6353496353496353,0.6415489315986633,100,GEOSR
OpenBMI,0,0,2,0.81,0.81,0.8099809980998101,0.39926013350486755,100,GEOSR
OpenBMI,0,0,32,0.76,0.76,0.7591328783621036,0.5566263198852539,100,GEOSR
OpenBMI,0,0,33,0.86,0.86,0.8579545454545454,0.27673161029815674,100,GEOSR
OpenBMI,0,0,36,0.99,0.99,0.9899989998999901,0.0978178083896637,100,GEOSR
OpenBMI,0,0,40,0.8,0.8,0.7992773986350863,0.42662957310676575,100,GEOSR
OpenBMI,0,0,47,0.9299999999999999,0.93,0.9299929992999301,0.20540013909339905,100,GEOSR
OpenBMI,0,0,50,0.59,0.59,0.5829518868884143,0.7805533409118652,100,GEOSR
OpenBMI,0,0,53,0.79,0.79,0.7898108297467721,0.5012248754501343,100,GEOSR
WBCIC,0,0,1,0.9299999999999999,0.93,0.9299929992999301,0.258326917886734,200,SUBJECT_BALANCED_ERM
WBCIC,0,0,16,0.53,0.53,0.5283018867924528,0.7773995399475098,200,SUBJECT_BALANCED_ERM
WBCIC,0,0,19,0.96,0.96,0.96,0.13943079113960266,200,SUBJECT_BALANCED_ERM
WBCIC,0,0,21,0.8300000000000001,0.83,0.8297275641025641,0.355641633272171,200,SUBJECT_BALANCED_ERM
WBCIC,0,0,28,0.595,0.595,0.5874818568409259,0.6355748176574707,200,SUBJECT_BALANCED_ERM
WBCIC,0,0,3,0.8500000000000001,0.85,0.8497596153846154,0.3712621331214905,200,SUBJECT_BALANCED_ERM
WBCIC,0,0,33,0.935,0.935,0.9349853717086345,0.20966753363609314,200,SUBJECT_BALANCED_ERM
WBCIC,0,0,37,0.835,0.835,0.8349958748968724,0.42163485288619995,200,SUBJECT_BALANCED_ERM
WBCIC,0,0,5,0.76,0.76,0.7596153846153846,0.4968586266040802,200,SUBJECT_BALANCED_ERM
WBCIC,0,0,1,0.925,0.925,0.9247724366207779,0.24320243299007416,200,GEOSR
WBCIC,0,0,16,0.53,0.53,0.5242433444680635,0.7782319784164429,200,GEOSR
WBCIC,0,0,19,0.9450000000000001,0.945,0.9449876222149984,0.1492919623851776,200,GEOSR
WBCIC,0,0,21,0.86,0.86,0.859873886497848,0.3117760121822357,200,GEOSR
WBCIC,0,0,28,0.685,0.685,0.6836634781953754,0.639506459236145,200,GEOSR
WBCIC,0,0,3,0.865,0.865,0.8648344221671547,0.2944677472114563,200,GEOSR
WBCIC,0,0,33,0.9299999999999999,0.93,0.9299369432489241,0.17914123833179474,200,GEOSR
WBCIC,0,0,37,0.87,0.87,0.8698828946051447,0.3688153028488159,200,GEOSR
WBCIC,0,0,5,0.785,0.785,0.784865540963102,0.4239392876625061,200,GEOSR
