fold,epoch,rank,decision_dependence,decision_median,decision_positive_fraction,decision_p_raw,n_subject_measurements,decision_p_holm,gate
0,0,1,-0.007463268789628538,-0.005306765909891922,0.0,1.0,32,1.0,False
0,0,2,-0.019767563511433547,-0.02034849466573445,0.0,1.0,32,1.0,False
0,0,4,-0.012547591047315784,-0.012082576225109267,0.0,1.0,32,1.0,False
1,0,1,-0.00934178436320675,-0.009796880180373089,0.45454545454545453,0.99995,33,1.0,False
1,0,2,-0.006071048224993577,-0.006337183418181307,0.24242424242424243,1.0,33,1.0,False
1,0,4,-0.004883403704857883,-0.004577583244846719,0.030303030303030304,1.0,33,1.0,False
2,0,1,-0.00904641652738873,-0.007141857301883448,0.12121212121212122,1.0,33,1.0,False
2,0,2,-0.013874583964884748,-0.007081077535729293,0.24242424242424243,0.9998,33,1.0,False
2,0,4,-0.039549482123215886,-0.030606559119934096,0.0,1.0,33,1.0,False
3,0,1,-0.07071183340330012,-0.07698541762620663,0.0,1.0,33,1.0,False
3,0,2,-0.0908320499909483,-0.1034834112009345,0.0,1.0,33,1.0,False
3,0,4,-0.08313912639204438,-0.06761210186827539,0.0,1.0,33,1.0,False
4,0,1,-0.01858895264904998,-0.008729959492742405,0.0,1.0,33,1.0,False
4,0,2,-0.029790269850267264,-0.021104903830382493,0.0,1.0,33,1.0,False
4,0,4,-0.029367759316116966,-0.023917638397546286,0.030303030303030304,1.0,33,1.0,False
0,5,1,-0.00929976309020297,-0.00737273249231481,0.0,1.0,32,1.0,False
0,5,2,-0.006991224874005705,-0.006506624275533283,0.0,1.0,32,1.0,False
0,5,4,-0.006596704485741659,-0.00420645888969623,0.0,1.0,32,1.0,False
1,5,1,-0.001253553530705878,-0.00028907633287072017,0.30303030303030304,0.99044,33,1.0,False
1,5,2,-0.0027431928041521457,-0.002141583703468726,0.21212121212121213,0.99998,33,1.0,False
1,5,4,-0.005308484524387808,-0.004765989216602021,0.09090909090909091,1.0,33,1.0,False
2,5,1,-0.005794353087683136,-0.004860674985415661,0.48484848484848486,0.99892,33,1.0,False
2,5,2,-0.036706144375141275,-0.0364799224339232,0.0,1.0,33,1.0,False
2,5,4,-0.021341335607919096,-0.01933470532049903,0.0,1.0,33,1.0,False
3,5,1,-0.02551881031171724,0.0022597802776362867,0.5151515151515151,0.99867,33,1.0,False
3,5,2,-0.06106112044877964,-0.04049229955617317,0.0,1.0,33,1.0,False
3,5,4,-0.045477980549836025,-0.027597179675901022,0.0,1.0,33,1.0,False
4,5,1,-0.006002751444942379,-0.0017798119974717138,0.36363636363636365,0.99996,33,1.0,False
4,5,2,-0.0364008247167796,-0.025402083071854473,0.0,1.0,33,1.0,False
4,5,4,-0.04190915076992681,-0.033783790543106006,0.0,1.0,33,1.0,False
0,10,1,-0.008409727216002808,-0.008148616796303479,0.03125,1.0,32,1.0,False
0,10,2,-0.0051338377450273025,-0.005284403875218351,0.1875,1.0,32,1.0,False
0,10,4,-0.004849353093654588,-0.004009337676174979,0.0,1.0,32,1.0,False
1,10,1,-0.0033666374242474163,-0.003619964292737914,0.24242424242424243,1.0,33,1.0,False
1,10,2,-0.0017881665656627936,-0.0007858614426136134,0.30303030303030304,0.94,33,1.0,False
1,10,4,-0.0010278016154306932,-0.002014599711581277,0.2727272727272727,0.96856,33,1.0,False
2,10,1,-0.001464067451413275,0.005257048601135428,0.7575757575757576,0.72069,33,1.0,False
2,10,2,-0.021173427296955514,-0.00794709447068542,0.3939393939393939,0.99894,33,1.0,False
2,10,4,-0.012234676124350398,-0.009452134384547149,0.24242424242424243,0.99999,33,1.0,False
3,10,1,-0.06299862017992922,-0.043268685359533245,0.0,1.0,33,1.0,False
3,10,2,-0.07764418764692023,-0.0752529556130188,0.0,1.0,33,1.0,False
3,10,4,-0.027371789393632946,-0.026967962885312932,0.24242424242424243,0.99994,33,1.0,False
4,10,1,-0.026449842268537957,-0.016431758195123183,0.0,1.0,33,1.0,False
4,10,2,-0.0391055254994475,-0.03395333528589946,0.0,1.0,33,1.0,False
4,10,4,-0.05131141501799397,-0.04177514840052969,0.0,1.0,33,1.0,False
0,15,1,-0.004805851247093354,-0.005885030905141585,0.25,0.99999,32,1.0,False
0,15,2,-0.0030068521580375947,-0.0029135613113246348,0.0,1.0,32,1.0,False
0,15,4,-0.007677882347122423,-0.007699695590266146,0.0,1.0,32,1.0,False
1,15,1,-0.0020045959394513627,-0.0011335285518642938,0.06060606060606061,1.0,33,1.0,False
1,15,2,-0.00028881650316262307,0.000631138699617304,0.6666666666666666,0.65722,33,1.0,False
1,15,4,-0.00012343067939567476,-0.0005554239936956216,0.42424242424242425,0.62854,33,1.0,False
2,15,1,-0.00762319127281143,-0.010377197622877598,0.48484848484848486,0.99802,33,1.0,False
2,15,2,-0.03609895412820792,-0.033335940670966464,0.030303030303030304,1.0,33,1.0,False
2,15,4,-0.03227381096341742,-0.038859477371705656,0.36363636363636365,0.99998,33,1.0,False
3,15,1,-0.020513926004969936,-0.0169425657506568,0.0,1.0,33,1.0,False
3,15,2,-0.1001556067568288,-0.08442571638497198,0.0,1.0,33,1.0,False
3,15,4,-0.061903646402270605,-0.070609771600789,0.15151515151515152,1.0,33,1.0,False
4,15,1,-0.016652141627779813,-0.012595813487359577,0.0,1.0,33,1.0,False
4,15,2,-0.026946235108879172,-0.02028999121912859,0.0,1.0,33,1.0,False
4,15,4,-0.050519208968348606,-0.04582262389166312,0.0,1.0,33,1.0,False
0,20,1,0.0004700204879555839,-0.0003733632919839195,0.3125,0.21762,32,0.65286,False
