fold,rank,pool_size,ordinary_random_energy_mean,ordinary_random_energy_sd,ordinary_random_energy_q05,ordinary_random_energy_q95,matched_random_energy,candidate_energy,relative_mismatch,pool_index,within_tolerance,outcome_matching
0,1,256,0.019813305859888858,0.01121194933153464,0.007373893003781179,0.040661827033978,0.0445397103402471,0.04537040481074991,0.018309170349434228,24,True,False
0,2,256,0.03758657659871841,0.014961064737129057,0.019226030499999977,0.06852705044033103,0.05199326011345305,0.05207411654770844,0.0015527183102820004,83,True,False
0,4,256,0.07185080677135428,0.01854070424582931,0.04636192128488981,0.10282564624292859,0.0634449748365934,0.06340899158896797,0.0005674786291933053,134,True,False
1,1,256,0.03439174933727174,0.019080087145558863,0.013939823338089411,0.07136881087013391,0.0446882461442108,0.0456166992120545,0.02035335927151774,153,True,False
1,2,256,0.0654834981039888,0.02557890711892449,0.035645894044034954,0.11197419474302095,0.06307189125093016,0.06288488456600956,0.002973793880853786,160,True,False
1,4,256,0.13143842522194582,0.03342915409163261,0.08632622158359908,0.1965829701100344,0.090294015778862,0.08995082559412347,0.003815308892072515,210,True,False
2,1,256,0.822979687177503,0.3994307993916819,0.3651558533375516,1.6667842581996553,0.43161180814870925,0.43310203790949214,0.003440828327606052,242,True,False
2,2,256,1.6651215262034205,0.616101482022388,0.9082512450608939,2.8714058189610014,1.1599171415946992,1.1518703326009128,0.00698586356991831,98,True,False
2,4,256,3.268111954254654,0.8023273537311622,2.1446249145332135,4.826110420221944,1.736916411533893,1.7048489403626865,0.01880956747076054,187,True,False
3,1,256,0.6570933104696594,0.319670935058185,0.3112530881325102,1.3154234967256473,1.1308685899449464,1.1434548810881109,0.011007247729081663,242,True,False
3,2,256,1.2928027126779789,0.45110079898981226,0.7033966306344932,2.151059794986505,1.6196688737050258,1.620337247248621,0.0004124903903370716,1,True,False
3,4,256,2.703664410258426,0.6029978468622901,1.7755809949274592,3.753713877278261,2.259459649843959,2.25549110130404,0.0017595052969283593,0,True,False
4,1,256,0.3900882877529487,0.21745683174432864,0.1525631258282766,0.8635998546117656,0.26247179784211466,0.26262824919500266,0.0005957141067937161,84,True,False
4,2,256,0.8211943277533602,0.33289486370868876,0.37536334693362183,1.415274947779869,0.8538540873903532,0.8525116543573353,0.001574679977870606,112,True,False
4,4,256,1.6159723626132028,0.4163569066004878,0.9981258657086888,2.36656922834959,1.1774917328343832,1.1764880581763681,0.0008531107910868699,199,True,False
