fold,epoch,rank,signed_utility,utility_median,utility_positive_fraction,utility_p_raw,n_subject_measurements,utility_p_holm,gate
0,0,1,-0.0018509607762098312,-0.0009885132312774658,0.25,0.99999,32,1.0,False
0,0,2,-0.009236475452780724,-0.006842702627182007,0.15625,1.0,32,1.0,False
0,0,4,-0.005593376234173775,-0.004726201295852661,0.15625,1.0,32,1.0,False
1,0,1,-0.004102655432441018,-0.001028299331665039,0.42424242424242425,0.99967,33,1.0,False
1,0,2,-0.0032444153771255956,-0.0013507604598999023,0.2727272727272727,0.99974,33,1.0,False
1,0,4,-0.003083996700518059,-0.0022316575050354004,0.18181818181818182,1.0,33,1.0,False
2,0,1,5.834256157730565e-05,-0.00014162063598632812,0.45454545454545453,0.38908,33,0.89901,False
2,0,2,0.0002070766958323392,-0.00013297796249389648,0.48484848484848486,0.37718,33,0.89901,False
2,0,4,0.000468786692980564,-0.00025218725204467773,0.48484848484848486,0.29967,33,0.89901,False
3,0,1,0.0014328794045881791,0.0003736913204193115,0.5151515151515151,0.2605,33,0.521,False
3,0,2,0.002781606081760291,0.001487433910369873,0.5151515151515151,0.12319,33,0.36956999999999995,False
3,0,4,-0.003658944007122155,-0.0018299520015716553,0.3333333333333333,0.9515,33,0.9515,False
4,0,1,-0.0008614699948917736,-0.0001431107521057129,0.42424242424242425,0.95137,33,1.0,False
4,0,2,-0.0026239371209433584,-0.0012149810791015625,0.21212121212121213,0.99876,33,1.0,False
4,0,4,-0.0029623497164610662,-0.0030089467763900757,0.18181818181818182,0.99978,33,1.0,False
0,5,1,-0.002768450416624546,-0.0018482804298400879,0.21875,1.0,32,1.0,False
0,5,2,-0.0022493889555335045,-0.0015142560005187988,0.28125,0.99995,32,1.0,False
0,5,4,-0.002329486422240734,-0.0018084198236465454,0.25,0.99985,32,1.0,False
1,5,1,-0.000327452565684463,-5.0127506256103516e-05,0.42424242424242425,0.99154,33,1.0,False
1,5,2,-0.0004710383487470222,-0.00025084614753723145,0.2727272727272727,0.98199,33,1.0,False
1,5,4,-0.001266797383626302,-0.0006783604621887207,0.18181818181818182,0.99888,33,1.0,False
2,5,1,0.00040358530752586597,5.945563316345215e-05,0.5151515151515151,0.19491,33,0.58473,False
2,5,2,-0.0003925182602622292,-0.0012341141700744629,0.3939393939393939,0.67433,33,1.0,False
2,5,4,-0.0020521183808644614,-0.0016893446445465088,0.3939393939393939,0.98754,33,1.0,False
3,5,1,-0.0012013000069242535,0.0005390048027038574,0.5151515151515151,0.81559,33,1.0,False
3,5,2,-0.004954250924515001,-0.0007645487785339355,0.45454545454545453,0.95849,33,1.0,False
3,5,4,-0.004732381213795055,-0.0007675886154174805,0.45454545454545453,0.97445,33,1.0,False
