fold,epoch,rank,persistence,n_subject_measurements
0,0,1,0.16999893796770416,32
0,0,2,0.1975494191816988,32
0,0,4,0.23705842214746708,32
1,0,1,0.1377538453469516,33
1,0,2,0.18462884850406303,33
1,0,4,0.23494825484593873,33
2,0,1,0.2183204062948652,33
2,0,2,0.3228910449830617,33
2,0,4,0.4277318957378983,33
3,0,1,0.17114832684867243,33
3,0,2,0.2960313912111597,33
3,0,4,0.3975194866962875,33
4,0,1,0.19989834613574917,33
4,0,2,0.30865633320358427,33
4,0,4,0.4245095546602901,33
0,5,1,0.1700023929526143,32
0,5,2,0.19755297956485168,32
0,5,4,0.23705578494529134,32
1,5,1,0.13775008101756314,33
1,5,2,0.1846239800727726,33
1,5,4,0.23494229815254997,33
2,5,1,0.21831962174171266,33
2,5,2,0.32289020627226145,33
2,5,4,0.4277307630391561,33
3,5,1,0.17114785678671868,33
3,5,2,0.29602981566666814,33
3,5,4,0.3975181563770436,33
4,5,1,0.19989725158534466,33
4,5,2,0.3086546200730402,33
4,5,4,0.4245071093836932,33
0,10,1,0.17000230762430202,32
0,10,2,0.1975527038347572,32
0,10,4,0.2370533264708476,32
1,10,1,0.13774851810673477,33
1,10,2,0.184622330680795,33
1,10,4,0.23493975932907782,33
2,10,1,0.21831946591896864,33
2,10,2,0.322890037223333,33
2,10,4,0.42773033351114187,33
3,10,1,0.17114776293767434,33
3,10,2,0.29602932442784213,33
3,10,4,0.3975178130793094,33
4,10,1,0.19989539671085632,33
4,10,2,0.30865215975356924,33
4,10,4,0.4245042722461989,33
0,15,1,0.17000187857124271,32
0,15,2,0.19755178266309398,32
0,15,4,0.23705098354308557,32
1,15,1,0.1377476363272246,33
1,15,2,0.18462148326072822,33
1,15,4,0.23493829927322119,33
2,15,1,0.21831942043510785,33
2,15,2,0.32288998294442883,33
2,15,4,0.4277300846670862,33
3,15,1,0.17114769675735966,33
3,15,2,0.296029100397069,33
3,15,4,0.3975176297767972,33
4,15,1,0.1998940083089354,33
4,15,2,0.308650329748322,33
4,15,4,0.4245018343801291,33
0,20,1,0.17000142767529974,32
0,20,2,0.19755085520495824,32
0,20,4,0.237049905017398,32
1,20,1,0.13774783516657785,33
1,20,2,0.18462165420799606,33
1,20,4,0.2349379128745286,33
2,20,1,0.2183193840277119,33
2,20,2,0.3228899378051359,33
2,20,4,0.42772985146371756,33
3,20,1,0.1711477134119499,33
3,20,2,0.2960290175375169,33
3,20,4,0.3975175219127663,33
4,20,1,0.19989308051427712,33
4,20,2,0.30864901332043776,33
4,20,4,0.42450021697807905,33
0,25,1,0.17000087855645424,32
0,25,2,0.1975493975020081,32
0,25,4,0.23704861406473965,32
1,25,1,0.1377481685884221,33
1,25,2,0.18462201856175522,33
1,25,4,0.23493775146425327,33
2,25,1,0.21831935610560738,33
2,25,2,0.3228898982699503,33
2,25,4,0.42772972164278866,33
3,25,1,0.1711477405543822,33
3,25,2,0.29602903633615957,33
3,25,4,0.39751757299378304,33
4,25,1,0.1998922196349711,33
4,25,2,0.30864783923937683,33
4,25,4,0.42449861505677444,33
