fold,legal_subjects,candidate_count,orthonormality_error,anchor_sha256,basis_sha256,anchor_state_sha256
0,32,8,6.661338147750939e-16,609667a3ccb5c14597d83a0f120924cd2a3380f4ce34c288089cf40ce1758cd2,50141235a09aa3238e42bd195862eff1388d346ac2810a8c318d921841440788,ff8dd7913b3b604bdcf9edcf12ddf9830fcc3896094bf2877f99fc2ddf77b216
1,33,8,4.440892098500626e-16,35ec7e159cd8a2c134d02e7a90da9a638b6d2ee7b614831f63223e32035e4d61,89b10623d445f6aa1836acb266b4c77751673471e4ac33758bbe879d4c7dd10f,37912c95fe7ea37b6a79d626c39b74f0e38221cbebdf3fb75ba8b18084e742c1
2,33,8,6.661338147750939e-16,4ac8a4e1e48bcd7d37e36cf69dd12ba365550aec7f9bf5069569d6d4be3a022c,8a75c896772000e6550fd706c4418f35b7ab535c10fb7a6aa19314ed1aeb3e93,cd3e7d0936ff08993a25933eaa135ed6b3d790aae0ae4419143cda32e1c7b1f8
3,33,8,4.440892098500626e-16,a6afc51f038607cedce91b5be0263ca13322ef66a6d1c461feecd324fc5dfe91,784defc6b51c2e315a41d9f73912a2ed5c06dd77d8f4712cff82bfea32494ed7,9f48203e54c1e3acc445403a82da33b4031d5fe45fd6fd1c984fc1c305f7092c
4,33,8,7.771561172376096e-16,deda010a7e82ac4ec6cea797fef0c8bb0c015dfd62c4195333d5f79d139a8c09,25a61b68a692ef99200773e98279e6167bf895c6813854cc97e5ed2b90d44bd1,88da4412a0128cca82a7a5de8b6c995b4686cb5ff152c0ee7184205d59b6a474
