fold,rank,persistence_strength,candidate_energy,matched_random_energy,relative_mismatch,within_tolerance,candidate_removed_energy,matched_removed_energy,candidate_removed_rms,matched_removed_rms,candidate_variance_fraction,matched_variance_fraction,candidate_logit_response,matched_logit_response,candidate_mean_delta_ce,matched_mean_delta_ce
0,1,0.17118796128353914,0.04537040477879901,0.04453971031866695,0.018309170133748286,True,0.04537040481074991,0.044539710340247105,0.21300329765228967,0.21104433264185776,0.07954533376991671,0.07808892470342071,0.0013001094872580256,0.0032858171957885463,6.35981559753418e-05,7.194280624389648e-05
0,2,0.19538306825448912,0.05207411650407293,0.051993260100967546,0.0015527177133972583,True,0.05207411654770843,0.051993260113453045,0.22819753843481405,0.2280203063620717,0.0912985678404077,0.09115680688241938,0.0024710039131125854,0.006277503958911326,0.00011301040649414062,0.0008690357208251953
0,4,0.22997188258459939,0.0634089915422795,0.06344497481563663,0.0005674790354162814,True,0.06340899158896797,0.0634449748365934,0.25181142068811724,0.25188285935448923,0.11117135544629783,0.11123444281469205,0.00281875576171006,0.01807900171704926,0.0004070401191711426,0.007984042167663574
1,1,0.13673159155413128,0.04561669914170105,0.044688246142655354,0.02035335779473224,True,0.0456166992120545,0.04468824614421078,0.2135806620742021,0.21139594637601447,0.043891630760943386,0.04299828863105309,0.0047688908287533225,0.012770693719418936,-0.0001658797264099121,0.004530131816864014
1,2,0.1799633062125479,0.0628848844903327,0.06307189124706272,0.002973795026351331,True,0.06288488456600955,0.06307189125093014,0.2507685876779816,0.25114117792773477,0.06050679206281675,0.060686726790803246,0.005211942737438914,0.018319329662675354,-0.00023233890533447266,0.003637373447418213
1,4,0.22496098326844677,0.08995082550362528,0.09029401574986717,0.0038153095796554255,True,0.08995082559412347,0.09029401577886197,0.29991803145880286,0.300489626740861,0.08654919123512504,0.08687940313404607,0.007509263465084861,0.008870480391913845,0.0003642439842224121,0.0024987459182739258
2,1,0.20985903987528742,0.43310203495194954,0.43161180803417104,0.0034408217868194414,True,0.4331020379094921,0.43161180814870914,0.6581048836693829,0.656971695089453,0.016540883157238544,0.016483968817907493,0.008831489705435767,0.01805496678159314,-0.00012832880020141602,-0.00013047456741333008
2,2,0.3074151238286436,1.1518703288567969,1.159917141216928,0.0069858665151288565,True,1.1518703326009128,1.1599171415946992,1.0732522222669343,1.0769944946909893,0.04399183313892143,0.04429915408342054,0.01731653421000315,0.06597017988565472,-0.00013303756713867188,0.001013427972793579
2,4,0.4077831590957727,1.7048489363684503,1.7369164103205832,0.018809569146015264,True,1.7048489403626865,1.7369164115338938,1.3056986407141147,1.3179212463322283,0.0651110007687708,0.06633571053081977,0.025848616766159495,0.03988032747817527,-0.0004216432571411133,8.374452590942383e-06
3,1,0.16032222269058793,1.1434548808190925,1.130868589823747,0.01100724760239742,True,1.1434548810881107,1.1308685899449464,1.0693244975628824,1.0634230531378124,0.054850254794734314,0.054246504452205434,0.0022250189349857937,0.16833664912963023,1.2516975402832031e-05,-0.000830918550491333
3,2,0.287169443930244,1.620337246184405,1.6196688724440682,0.0004124905120280908,True,1.6203372472486206,1.6196688737050264,1.2729246824728557,1.2726621207944497,0.07772576980073846,0.07769370866761416,0.01741290190882014,0.10165969522506117,-0.0006444752216339111,-0.002381563186645508
3,4,0.3748307928707066,2.255491100083265,2.259459649311672,0.0017595056031303625,True,2.25549110130404,2.2594596498439596,1.5018292517140688,1.5031499093051097,0.10819339148393517,0.10838375832934383,0.017955846703344783,0.10440369102260595,-0.0008218288421630859,-0.004933387041091919
4,1,0.18375232201357877,0.26262824868118256,0.2624717977972086,0.0005957123224924035,True,0.2626282491950026,0.2624717978421148,0.5124726814133633,0.5123200150707707,0.019858710613152007,0.019846880499097032,0.0019549014208415294,0.002827651596337511,9.804964065551758e-06,1.913309097290039e-05
4,2,0.2786473860336156,0.8525116533698189,0.853854087344647,0.0015746810844422335,True,0.8525116543573353,0.8538540873903533,0.9233155767977357,0.9240422541152289,0.06446291398626869,0.06456442244623807,0.009584227513551313,0.08788012827924996,9.72449779510498e-05,0.007500171661376953
4,4,0.39923712947600015,1.1764880562910243,1.1774917323857668,0.0008531120136541566,True,1.1764880581763681,1.1774917328343832,1.0846603423083043,1.0851229113950103,0.08896048295934118,0.0890363761073341,0.013727786852567918,0.0762988270347477,0.00017282366752624512,0.005093097686767578
