fold,epoch,direction,persistence,signed_utility,utility_positive_fraction,utility_p_raw,decision_dependence,decision_positive_fraction,decision_p_raw,n_subject_measurements,utility_p_holm,decision_p_holm,gate
0,0,1,0.16999893796770416,-0.004204466938972473,0.1875,1.0,-0.015008827740196603,0.0,1.0,32,1.0,1.0,False
0,0,2,0.027550481213994664,2.1900981664657593e-05,0.4375,0.27885,0.000490729698574604,0.75,0.01148,32,1.0,0.05740000000000001,False
0,0,3,0.022169608669788357,-0.0003543831408023834,0.65625,0.95503,-0.00010323150302367136,0.75,0.57658,32,1.0,1.0,False
0,0,4,0.01733939429597995,-0.00031992048025131226,0.40625,0.99218,-0.0011367750753614124,0.40625,0.99907,32,1.0,1.0,False
0,0,5,0.013278765706702833,9.72989946603775e-05,0.625,0.01536,0.0005154298461562767,0.75,0.00441,32,0.12288,0.026459999999999997,False
0,0,6,0.009006043281049208,-0.0007419195026159286,0.4375,0.99502,-0.0005167915160869808,0.75,0.81133,32,1.0,1.0,False
0,0,7,0.007400737560993211,6.467103958129883e-05,0.625,0.10355,0.0006265722038806102,0.75,4e-05,32,0.6213,0.00032,False
0,0,8,0.005637171395613883,9.509176015853882e-05,0.5625,0.07533,0.0008443591552164847,0.75,0.00034,32,0.52731,0.00238,False
1,0,1,0.1377538453469516,-0.0038978972218253398,0.15151515151515152,0.99999,-0.007836131466693527,0.24242424242424243,1.0,33,1.0,1.0,False
1,0,2,0.04687500315711146,-0.001175039645397302,0.18181818181818182,1.0,-0.0045207121382336455,0.0,1.0,33,1.0,1.0,False
1,0,3,0.030049074277424852,-0.00031318267186482746,0.42424242424242425,0.99618,-0.0013000820222279022,0.24242424242424243,1.0,33,1.0,1.0,False
1,0,4,0.02027033206445087,0.00021544369784268466,0.5151515151515151,0.04609,0.0011168761712569315,0.7272727272727273,0.00047,33,0.36872,0.00376,False
1,0,5,0.01686203188823514,0.0002016614783893932,0.6060606060606061,0.05573,0.0004356341256807053,0.48484848484848486,0.04559,33,0.39011,0.31912999999999997,False
1,0,6,0.012567050194794302,-0.0003564150044412324,0.5454545454545454,0.96975,-0.0006182903024025293,0.7272727272727273,0.94124,33,1.0,1.0,False
1,0,7,0.009936954358696007,5.0049839597759824e-06,0.5757575757575758,0.47439,-0.0003424813444158486,0.7272727272727273,0.93584,33,1.0,1.0,False
1,0,8,0.007798423816471103,-7.037592656684644e-05,0.3333333333333333,0.86072,-0.00125994677357537,0.0,1.0,33,1.0,1.0,False
2,0,1,0.2183204062948652,-0.0001977207985791293,0.3939393939393939,0.86769,-0.0012277031221350173,0.5151515151515151,0.72351,33,1.0,1.0,False
2,0,2,0.10457063868819644,0.00031284310600974345,0.45454545454545453,0.35488,-0.025817259093738693,0.24242424242424243,0.99999,33,1.0,1.0,False
2,0,3,0.0610072510207344,0.00011405213312669234,0.5151515151515151,0.23382,-0.005468100273275415,0.24242424242424243,0.99921,33,1.0,1.0,False
2,0,4,0.043833599734102245,-4.5657609448288426e-05,0.2727272727272727,0.56759,-0.004138401236378642,0.48484848484848486,0.99417,33,1.0,1.0,False
2,0,5,0.030619449601317038,-1.6890240438056715e-05,0.5151515151515151,0.54579,-0.003217199150025934,0.48484848484848486,0.99414,33,1.0,1.0,False
2,0,6,0.023085195954702563,0.00014681843194094571,0.5757575757575758,0.2472,-0.006916842815551616,0.0,1.0,33,1.0,1.0,False
2,0,7,0.01770854784856073,0.00010555169799111106,0.5454545454545454,0.13061,-0.00036658067316393185,0.2727272727272727,0.72425,33,1.0,1.0,False
2,0,8,0.014077184533358572,-6.599859757856889e-05,0.5151515151515151,0.71028,-0.001445847936969309,0.48484848484848486,0.89854,33,1.0,1.0,False
3,0,1,0.17114832684867243,-0.0008394781387213504,0.2727272727272727,0.68083,-0.05460259698196036,0.0,1.0,33,1.0,1.0,False
3,0,2,0.12488306436248728,0.0007241747596047142,0.5454545454545454,0.19233,-0.021317246457311825,0.24242424242424243,0.99999,33,1.0,1.0,False
3,0,3,0.0578267725107366,0.0002831360607436209,0.5151515151515151,0.05672,-0.0023216712467576004,0.24242424242424243,0.99995,33,0.45376,1.0,False
3,0,4,0.043661322974391244,-0.00018008956403443307,0.5151515151515151,0.76428,-0.008523135245740728,0.5151515151515151,0.99948,33,1.0,1.0,False
3,0,5,0.03362662500288249,0.0001443028450012207,0.48484848484848486,0.11485,-0.005196524446922391,0.24242424242424243,0.99996,33,0.8039499999999999,1.0,False
3,0,6,0.02706666932995376,6.50363438057177e-05,0.3939393939393939,0.3197,-0.00550954545859877,0.24242424242424243,1.0,33,1.0,1.0,False
3,0,7,0.020686603599415408,-0.0005313623132127705,0.2727272727272727,0.97589,-0.010150420454674932,0.15151515151515152,1.0,33,1.0,1.0,False
3,0,8,0.013382779543993717,-0.00019177117130973122,0.48484848484848486,0.92113,-0.004570541894560085,0.24242424242424243,0.99927,33,1.0,1.0,False
4,0,1,0.19989834613574917,-0.0006417257316184766,0.48484848484848486,0.70425,-0.03258276158231131,0.0,1.0,33,1.0,1.0,False
4,0,2,0.10875798706783515,-0.001323510751579747,0.3939393939393939,0.99418,-0.02620833795681442,0.030303030303030304,1.0,33,1.0,1.0,False
4,0,3,0.07169847080255999,-0.00016802775137352222,0.36363636363636365,0.96156,-0.004457927157310508,0.030303030303030304,1.0,33,1.0,1.0,False
4,0,4,0.044154750654145807,-0.0019317172241933417,0.30303030303030304,0.99159,-0.02030986056529385,0.0,1.0,33,1.0,1.0,False
4,0,5,0.03142429568295992,-0.0002580384413401286,0.3939393939393939,0.97281,-0.007638286425783226,0.24242424242424243,1.0,33,1.0,1.0,False
