fold,subject,method,seed_aggregation,BA,Frozen_BA,delta_BA_vs_Frozen,macro_F1,accuracy
0,sub-1,Frozen,single_seed,0.51,0.51,0.0,0.36330561330561334,0.51
0,sub-3,Frozen,single_seed,0.595,0.595,0.0,0.5201279658757665,0.595
0,sub-5,Frozen,single_seed,0.635,0.635,0.0,0.5888597899242488,0.635
0,sub-16,Frozen,single_seed,0.5,0.5,0.0,0.3333333333333333,0.5
0,sub-19,Frozen,single_seed,0.7,0.7,0.0,0.6703296703296704,0.7
0,sub-21,Frozen,single_seed,0.5700000000000001,0.5700000000000001,0.0,0.4724573671942093,0.57
0,sub-28,Frozen,single_seed,0.525,0.525,0.0,0.39395872539950877,0.525
0,sub-33,Frozen,single_seed,0.6799999999999999,0.6799999999999999,0.0,0.64349376114082,0.68
0,sub-37,Frozen,single_seed,0.605,0.605,0.0,0.5319766580763649,0.605
0,sub-1,Generic,mean_logits,0.9,0.51,0.39,0.8999599839935974,0.9
0,sub-3,Generic,mean_logits,0.7350000000000001,0.595,0.14000000000000012,0.7341959427267484,0.735
0,sub-5,Generic,mean_logits,0.73,0.635,0.09499999999999997,0.7298919567827131,0.73
0,sub-16,Generic,mean_logits,0.515,0.5,0.015000000000000013,0.5146966854283928,0.515
0,sub-19,Generic,mean_logits,0.915,0.7,0.21500000000000008,0.9149468417761101,0.915
0,sub-21,Generic,mean_logits,0.785,0.5700000000000001,0.21499999999999997,0.7849946248656217,0.785
0,sub-28,Generic,mean_logits,0.6699999999999999,0.525,0.1449999999999999,0.6683750376846548,0.67
0,sub-33,Generic,mean_logits,0.94,0.6799999999999999,0.26,0.9399759903961584,0.94
0,sub-37,Generic,mean_logits,0.86,0.605,0.255,0.8588567395906845,0.86
1,sub-2,Frozen,single_seed,0.62,0.62,0.0,0.5703301673450927,0.62
1,sub-11,Frozen,single_seed,0.645,0.645,0.0,0.6159567275185936,0.645
1,sub-13,Frozen,single_seed,0.64,0.64,0.0,0.592944369063772,0.64
1,sub-18,Frozen,single_seed,0.545,0.545,0.0,0.4326506437233081,0.545
1,sub-27,Frozen,single_seed,0.51,0.51,0.0,0.3551783129359126,0.51
1,sub-36,Frozen,single_seed,0.87,0.87,0.0,0.8677652324280338,0.87
