fold,seed,method,adapter_state_sha256,mean_S3_BA
0,0,Generic,6daa66274d9df187a6c1a4430eabfd87eef39f438b2cc33c833c0b97fef4e4b5,0.7844444444444445
0,1,Generic,ed158e8fdce10ad20375cae7eab96ab77deb814f50b53f3cfdd098b40efd729c,0.7944444444444444
0,2,Generic,027d0003c3dbec56fd80dd9b23f1669b736dfcd1adf07433dce1aa32c230c4d2,0.7872222222222223
1,0,Generic,6bbaf83286689f24133e3077827c7aa3695673ffb47d3a3e7a708619633b5ddb,0.7825
1,1,Generic,f93403e088164108c97827d2faaf3a94252a10c550d054575d3d0e65d938888f,0.785625
1,2,Generic,8e95febd3803c7a8b57e9fa21507da9dae2727319e6bd6dbc521f7ca0d856f8a,0.785625
2,0,Generic,caaef53f854c57f24523ca5ce5dda8e8c6500fb3fa7b2f8ad045ce5af341320e,0.7525000000000001
2,1,Generic,e07b67e5214c6879f3d3892d521ec71057174fc9f314a7741f1361c512967deb,0.75
2,2,Generic,7197c858065976240e0ba72ce380719fe9f1890ca7c7ce439dbb5f23f1b4315c,0.754375
3,0,Generic,c69fbbeb407dcbbf3a580d90f52516612f90ea73f3690419334c17b1a4e6f659,0.7765838068181818
3,1,Generic,86c1660ac629eba39504497be16383fc741833d56657bbb03d377328adcd8414,0.7709651199494949
3,2,Generic,3faeb52ceb8ac1d4f84dc1b97383564e0a4ce5c91c86f35a1d2a876f6292cd37,0.7778338068181818
4,0,Generic,5376bf161bc8e7615b9606a8aa429f24865fd14af21aa717b2a011294e5e999b,0.75875
4,1,Generic,19451bfb4a7a393fbe26920596419af1d6e03d085d3e2a0e386003f4d9497b15,0.7525
4,2,Generic,d46d225eeca36284a13c0a5b5a098231034d241cc3241602bf088756e372f93c,0.7581249999999999
