fold,rank,emerged,t_star,utility_t_star,utility_final,utility_delta_final_minus_t_star,collapse_replicated,generic_delta_BA
0,,False,,,,,False,0.1922222222222222
1,,False,,,,,False,0.12124999999999991
2,,False,,,,,False,0.004374999999999974
3,,False,,,,,False,0.004394728535353462
4,,False,,,,,False,0.011249999999999987
