benchmark,role,Delta_BA,CI95_L,CI95_U,value_found,conclusion,OUTER_TEST_USED
OpenBMI,predictive_features,-0.0008653846153846,-0.0029807692307692,0.0012499999999999,False,"No reliable raw BA, calibration, or robustness increment.",False
WBCIC-development,action_safety,,,,True,"P01_04 remained PROTECTED; no block passed H1-H5, so ACTION was vetoed.",False
