comparison,Delta_BA,CI95_L,CI95_U,conclusion,OUTER_TEST_USED
fold_compatible_shared_context_vs_W1,0.0014774267060852,-0.0035085612219758,0.0064777770078836,weak_and_not_significant,False
CSP_context_increment_over_M12,0.0017123983739838478,,,small_increment; CSP direct control is weak and is not claimed as a competent standalone expert,False
