subject_id,base_BA,base_macro_F1,base_accuracy,base_recall_0,base_recall_1,base_trials,raw_BA,raw_macro_F1,raw_accuracy,raw_recall_0,raw_recall_1,raw_trials,relative_BA,relative_macro_F1,relative_accuracy,relative_recall_0,relative_recall_1,relative_trials,delta_capacity_pp,delta_relative_pp,delta_total_pp
15,0.78,0.779205138498595,0.78,0.84,0.72,100,0.8,0.7987117552334944,0.8,0.88,0.72,100,0.8,0.7987117552334944,0.8,0.88,0.72,100,2.0000000000000018,0.0,2.0000000000000018
38,0.6799999999999999,0.677938808373591,0.68,0.76,0.6,100,0.68,0.6753246753246753,0.68,0.8,0.56,100,0.7,0.6956168831168831,0.7,0.82,0.58,100,1.1102230246251565e-14,1.9999999999999907,2.0000000000000018
6,0.96,0.959983993597439,0.96,0.94,0.98,100,0.96,0.959983993597439,0.96,0.94,0.98,100,0.96,0.959983993597439,0.96,0.94,0.98,100,0.0,0.0,0.0
33,0.8,0.797979797979798,0.8,0.9,0.7,100,0.78,0.7767857142857143,0.78,0.9,0.66,100,0.79,0.7874278773155178,0.79,0.9,0.68,100,-2.0000000000000018,1.0000000000000009,-1.0000000000000009
32,0.65,0.6471418489767113,0.65,0.56,0.74,100,0.65,0.6471418489767113,0.65,0.56,0.74,100,0.65,0.6471418489767113,0.65,0.56,0.74,100,0.0,0.0,0.0
3,0.8200000000000001,0.8152709359605912,0.82,0.66,0.98,100,0.8300000000000001,0.8260869565217391,0.83,0.68,0.98,100,0.8300000000000001,0.8260869565217391,0.83,0.68,0.98,100,1.0000000000000009,0.0,1.0000000000000009
5,0.74,0.7373737373737375,0.74,0.84,0.64,100,0.7,0.6940024479804161,0.7,0.84,0.56,100,0.7,0.6940024479804161,0.7,0.84,0.56,100,-4.0000000000000036,0.0,-4.0000000000000036
47,0.89,0.8899889988998899,0.89,0.9,0.88,100,0.88,0.8799519807923168,0.88,0.9,0.86,100,0.89,0.8899889988998899,0.89,0.9,0.88,100,-1.0000000000000009,1.0000000000000009,0.0
26,0.8500000000000001,0.849624060150376,0.85,0.8,0.9,100,0.8400000000000001,0.8397435897435898,0.84,0.8,0.88,100,0.8400000000000001,0.8397435897435898,0.84,0.8,0.88,100,-1.0000000000000009,0.0,-1.0000000000000009
2,0.8,0.7960016319869441,0.8,0.66,0.94,100,0.79,0.7863899908452854,0.79,0.66,0.92,100,0.79,0.7863899908452854,0.79,0.66,0.92,100,-1.0000000000000009,0.0,-1.0000000000000009
14,0.72,0.7126436781609196,0.72,0.56,0.88,100,0.72,0.7144022847817217,0.72,0.58,0.86,100,0.71,0.7050147492625369,0.71,0.58,0.84,100,0.0,-1.0000000000000009,-1.0000000000000009
31,0.76,0.7519636213311285,0.76,0.94,0.58,100,0.76,0.7519636213311285,0.76,0.94,0.58,100,0.76,0.7519636213311285,0.76,0.94,0.58,100,0.0,0.0,0.0
28,0.84,0.8376623376623377,0.84,0.72,0.96,100,0.83,0.8279178054458953,0.83,0.72,0.94,100,0.83,0.8279178054458953,0.83,0.72,0.94,100,-1.0000000000000009,0.0,-1.0000000000000009
35,0.86,0.8590982286634461,0.86,0.94,0.78,100,0.85,0.8481627695110842,0.85,0.96,0.74,100,0.85,0.8481627695110842,0.85,0.96,0.74,100,-1.0000000000000009,0.0,-1.0000000000000009
