fold,seed,control_macro_BA,ct_macro_BA,delta_macro_BA,control_mi_BA,ct_mi_BA,control_erp_BA,ct_erp_BA,control_ssvep_BA,ct_ssvep_BA,outer_test_used
0,0,0.7743817591870314,0.7752983086246662,0.0009165494376347505,0.7474254848551658,0.7474397086957449,0.6178137726939597,0.620536584008238,0.9579060200119691,0.9579186331700156,False
0,1,0.7854683605551993,0.7859104090727197,0.0004420485175203881,0.7593333333333333,0.7613333333333333,0.6455708106074853,0.6455708106074853,0.9515009377247795,0.9508270832773402,False
1,0,0.7490426898836432,0.7495019695553323,0.00045927967168912787,0.7012533890395128,0.7026312280545802,0.5984019886363636,0.5984019886363636,0.9474726919750532,0.9474726919750532,False
1,1,0.7396313567066223,0.7403102946576908,0.0006789379510685478,0.6982574679943101,0.7002667140825036,0.5637075062177394,0.5637075062177394,0.9569290959078172,0.9569566636728295,False
2,0,0.7672988315920707,0.7672609734454033,-3.785814666734666e-05,0.7524182076813656,0.7470483641536273,0.6227866179648892,0.626723625838905,0.9266916691299574,0.9280109303436777,False
2,1,0.7632990120419619,0.7624107141950413,-0.0008882978469206826,0.7512480088747298,0.7479128740471044,0.6271849445785569,0.6271849445785569,0.911464082672599,0.9121343239594624,False
